price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,288,849",2288849.0,"322 Military Rd, Pembrooke NSW 2771",Pembrooke,2,2,0,Villa,https://www.realestateview.com.au/property/pembrooke/villa-0,realestateview.com.au
"$591,773",591773.0,"971 Ocean Rd, Pembrooke NSW 2700",Pembrooke,3,3,0,Townhouse,https://www.realestateview.com.au/property/pembrooke/townhouse-2,realestateview.com.au
"$1,719,482 ONO",1719482.0,"438 King St, Pembrooke NSW 2939",Pembrooke,6,4,2,Penthouse,https://www.realestate.com.au/property/pembrooke/penthouse-3,realestate.com.au
"$764,208",764208.0,"540 Railway St, Pembrooke NSW 2945",Pembrooke,0,1,2,Studio,https://www.realestateview.com.au/property/pembrooke/studio-4,realestateview.com.au
"From $2,131,459",2131459.0,"841 The Boulevarde, Pembrooke NSW 2372",Pembrooke,6,2,0,Penthouse,https://www.realestate.com.au/property/pembrooke/penthouse-5,realestate.com.au
"$2,057,651 - $2,189,430",2057651.0,"572 Railway St, Pembrooke NSW 2616",Pembrooke,4,2,0,Penthouse,https://www.realestateview.com.au/property/pembrooke/penthouse-6,realestateview.com.au
"Guide $751,949",751949.0,"984 Pacific Highway, Pembrooke NSW 2655",Pembrooke,5,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pembrooke/apartment--unit--flat-8,realestateview.com.au
"$985,630 - $1,260,545",985630.0,"564 Main St, Pembrooke NSW 2505",Pembrooke,3,4,1,Villa,https://www.realestateview.com.au/property/pembrooke/villa-9,realestateview.com.au
"$2,292,975 - $2,576,300",2292975.0,"659 Park Ave, Pembrooke NSW 2336",Pembrooke,3,2,2,Penthouse,https://www.domain.com.au/property/pembrooke/penthouse-10,domain.com.au
"$845,740 ONO",845740.0,"205 Edward St, Pembrooke NSW 2681",Pembrooke,0,1,0,Studio,https://www.realestate.com.au/property/pembrooke/studio-11,realestate.com.au
"From $1,343,029",1343029.0,"804 High St, Pembrooke NSW 2849",Pembrooke,4,3,3,House,https://www.domain.com.au/property/pembrooke/house-13,domain.com.au
"$2,365,871 - $2,599,883",2365871.0,"243 Railway St, Pembrooke NSW 2842",Pembrooke,4,4,2,Townhouse,https://www.realestateview.com.au/property/pembrooke/townhouse-14,realestateview.com.au
"Guide $795,689",795689.0,"882 High St, Pembrooke NSW 2432",Pembrooke,1,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/pembrooke/apartment--unit--flat-15,rent.com.au
"Guide $880,263",880263.0,"320 Ocean Rd, Pembrooke NSW 2219",Pembrooke,4,3,2,Villa,https://www.domain.com.au/property/pembrooke/villa-16,domain.com.au
"$1,393,072 - $1,599,382",1393072.0,"322 Railway St, Pembrooke NSW 2390",Pembrooke,4,4,2,Penthouse,https://www.realestate.com.au/property/pembrooke/penthouse-17,realestate.com.au
"From $2,337,928",2337928.0,"410 Market St, Pembrooke NSW 2661",Pembrooke,0,1,0,Studio,https://www.domain.com.au/property/pembrooke/studio-18,domain.com.au
"$1,847,614",1847614.0,"25 Edward St, Pembrooke NSW 2456",Pembrooke,2,2,2,Townhouse,https://www.rent.com.au/property/pembrooke/townhouse-19,rent.com.au
"$2,454,281",2454281.0,"22 Church St, Pembrooke NSW 2532",Pembrooke,3,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pembrooke/apartment--unit--flat-20,realestateview.com.au
"Guide $1,525,291",1525291.0,"960 High St, Pembrooke NSW 2378",Pembrooke,0,1,0,Studio,https://www.domain.com.au/property/pembrooke/studio-21,domain.com.au
"From $1,806,353",1806353.0,"444 William St, Pembrooke NSW 2816",Pembrooke,2,2,0,Townhouse,https://www.realestate.com.au/property/pembrooke/townhouse-22,realestate.com.au
"Guide $1,642,825",1642825.0,"33 Pacific Highway, Pembrooke NSW 2843",Pembrooke,4,2,1,Villa,https://www.realestate.com.au/property/pembrooke/villa-23,realestate.com.au
"$797,189",797189.0,"896 Victoria St, Pembrooke NSW 2166",Pembrooke,0,1,2,Studio,https://www.rent.com.au/property/pembrooke/studio-24,rent.com.au
