price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,507,950",1507950.0,"216 Ocean Rd, Pendle Hill NSW 2660",Pendle Hill,1,2,1,House,https://www.realestateview.com.au/property/pendle-hill/house-1,realestateview.com.au
"$2,332,706 ONO",2332706.0,"472 Princes Highway, Pendle Hill NSW 2534",Pendle Hill,2,1,2,Villa,https://www.realestate.com.au/property/pendle-hill/villa-2,realestate.com.au
"$969,011 - $1,253,108",969011.0,"119 Edward St, Pendle Hill NSW 2517",Pendle Hill,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/pendle-hill/apartment--unit--flat-4,rent.com.au
"$2,446,497 - $2,641,536",2446497.0,"170 Military Rd, Pendle Hill NSW 2150",Pendle Hill,4,1,2,Townhouse,https://www.realestateview.com.au/property/pendle-hill/townhouse-5,realestateview.com.au
"$1,584,357",1584357.0,"607 Victoria St, Pendle Hill NSW 2974",Pendle Hill,4,1,1,House,https://www.realestateview.com.au/property/pendle-hill/house-7,realestateview.com.au
"$881,951 - $1,140,818",881951.0,"221 Main St, Pendle Hill NSW 2647",Pendle Hill,3,3,3,Penthouse,https://www.realestate.com.au/property/pendle-hill/penthouse-8,realestate.com.au
"Guide $729,478",729478.0,"516 George St, Pendle Hill NSW 2225",Pendle Hill,0,1,2,Studio,https://www.realestate.com.au/property/pendle-hill/studio-10,realestate.com.au
"$1,987,961 - $2,103,285",1987961.0,"477 Edward St, Pendle Hill NSW 2570",Pendle Hill,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/pendle-hill/apartment--unit--flat-11,realestate.com.au
"$1,249,673 ONO",1249673.0,"96 Market St, Pendle Hill NSW 2501",Pendle Hill,1,1,0,Villa,https://www.realestate.com.au/property/pendle-hill/villa-13,realestate.com.au
"$676,970",676970.0,"493 Church St, Pendle Hill NSW 2304",Pendle Hill,2,3,3,Villa,https://www.rent.com.au/property/pendle-hill/villa-14,rent.com.au
"From $561,383",561383.0,"606 Military Rd, Pendle Hill NSW 2062",Pendle Hill,1,1,0,House,https://www.domain.com.au/property/pendle-hill/house-15,domain.com.au
"$1,042,195 - $1,263,339",1042195.0,"486 Princes Highway, Pendle Hill NSW 2520",Pendle Hill,0,1,3,Studio,https://www.realestateview.com.au/property/pendle-hill/studio-16,realestateview.com.au
"From $1,133,753",1133753.0,"105 Military Rd, Pendle Hill NSW 2152",Pendle Hill,2,2,0,House,https://www.rent.com.au/property/pendle-hill/house-17,rent.com.au
"$1,233,851 - $1,302,003",1233851.0,"34 Beach Rd, Pendle Hill NSW 2778",Pendle Hill,1,2,3,Townhouse,https://www.domain.com.au/property/pendle-hill/townhouse-18,domain.com.au
"Guide $1,785,852",1785852.0,"695 James St, Pendle Hill NSW 2008",Pendle Hill,1,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pendle-hill/apartment--unit--flat-19,realestateview.com.au
"From $1,826,587",1826587.0,"641 George St, Pendle Hill NSW 2239",Pendle Hill,0,1,3,Studio,https://www.domain.com.au/property/pendle-hill/studio-20,domain.com.au
"$639,724 ONO",639724.0,"688 Park Ave, Pendle Hill NSW 2244",Pendle Hill,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/pendle-hill/apartment--unit--flat-21,domain.com.au
"$2,051,097 - $2,172,543",2051097.0,"617 Church St, Pendle Hill NSW 2337",Pendle Hill,4,2,0,House,https://www.rent.com.au/property/pendle-hill/house-22,rent.com.au
"$2,374,001 - $2,492,831",2374001.0,"15 George St, Pendle Hill NSW 2277",Pendle Hill,0,1,3,Studio,https://www.realestate.com.au/property/pendle-hill/studio-23,realestate.com.au
"From $2,054,671",2054671.0,"989 Church St, Pendle Hill NSW 2645",Pendle Hill,0,1,1,Studio,https://www.rent.com.au/property/pendle-hill/studio-24,rent.com.au
