price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$923,844 ONO",923844.0,"258 James St, Pennant Hills NSW 2189",Pennant Hills,4,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/pennant-hills/apartment--unit--flat-0,rent.com.au
"$1,477,831 ONO",1477831.0,"293 The Boulevarde, Pennant Hills NSW 2601",Pennant Hills,6,2,1,Penthouse,https://www.domain.com.au/property/pennant-hills/penthouse-1,domain.com.au
"$1,936,225",1936225.0,"423 The Boulevarde, Pennant Hills NSW 2458",Pennant Hills,5,2,0,House,https://www.realestate.com.au/property/pennant-hills/house-2,realestate.com.au
"From $1,184,093",1184093.0,"508 Queen St, Pennant Hills NSW 2427",Pennant Hills,2,1,1,Villa,https://www.domain.com.au/property/pennant-hills/villa-3,domain.com.au
"Guide $2,299,871",2299871.0,"325 Queen St, Pennant Hills NSW 2688",Pennant Hills,0,1,0,Studio,https://www.rent.com.au/property/pennant-hills/studio-4,rent.com.au
"From $523,736",523736.0,"337 Church St, Pennant Hills NSW 2632",Pennant Hills,0,1,2,Studio,https://www.realestate.com.au/property/pennant-hills/studio-5,realestate.com.au
"$2,132,180 - $2,413,498",2132180.0,"622 Beach Rd, Pennant Hills NSW 2457",Pennant Hills,4,4,2,Townhouse,https://www.realestate.com.au/property/pennant-hills/townhouse-6,realestate.com.au
"From $1,378,733",1378733.0,"551 Elizabeth St, Pennant Hills NSW 2893",Pennant Hills,3,2,0,Townhouse,https://www.realestateview.com.au/property/pennant-hills/townhouse-7,realestateview.com.au
"$1,800,669",1800669.0,"543 High St, Pennant Hills NSW 2098",Pennant Hills,4,2,1,Penthouse,https://www.domain.com.au/property/pennant-hills/penthouse-8,domain.com.au
"$2,312,423 - $2,570,568",2312423.0,"614 James St, Pennant Hills NSW 2297",Pennant Hills,3,4,0,Villa,https://www.realestateview.com.au/property/pennant-hills/villa-9,realestateview.com.au
"$1,712,605",1712605.0,"564 William St, Pennant Hills NSW 2159",Pennant Hills,4,1,0,House,https://www.realestateview.com.au/property/pennant-hills/house-10,realestateview.com.au
"$698,401",698401.0,"91 Queen St, Pennant Hills NSW 2232",Pennant Hills,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pennant-hills/apartment--unit--flat-11,realestateview.com.au
"Guide $1,516,649",1516649.0,"138 Elizabeth St, Pennant Hills NSW 2131",Pennant Hills,2,3,0,House,https://www.rent.com.au/property/pennant-hills/house-12,rent.com.au
"Guide $1,700,803",1700803.0,"637 Queen St, Pennant Hills NSW 2630",Pennant Hills,1,2,1,Villa,https://www.domain.com.au/property/pennant-hills/villa-13,domain.com.au
"Guide $1,367,141",1367141.0,"772 Princes Highway, Pennant Hills NSW 2837",Pennant Hills,3,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/pennant-hills/apartment--unit--flat-14,domain.com.au
"Guide $2,358,900",2358900.0,"226 Market St, Pennant Hills NSW 2621",Pennant Hills,0,1,3,Studio,https://www.rent.com.au/property/pennant-hills/studio-15,rent.com.au
"$1,305,161 - $1,442,222",1305161.0,"572 The Boulevarde, Pennant Hills NSW 2587",Pennant Hills,2,3,1,Villa,https://www.realestateview.com.au/property/pennant-hills/villa-16,realestateview.com.au
"From $1,331,160",1331160.0,"452 Main St, Pennant Hills NSW 2372",Pennant Hills,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pennant-hills/apartment--unit--flat-17,realestateview.com.au
"$2,457,194 ONO",2457194.0,"696 The Boulevarde, Pennant Hills NSW 2786",Pennant Hills,0,1,1,Studio,https://www.realestateview.com.au/property/pennant-hills/studio-18,realestateview.com.au
"$1,935,688 - $2,020,025",1935688.0,"100 George St, Pennant Hills NSW 2340",Pennant Hills,5,2,2,Penthouse,https://www.domain.com.au/property/pennant-hills/penthouse-19,domain.com.au
"$1,310,010 ONO",1310010.0,"730 Main St, Pennant Hills NSW 2515",Pennant Hills,5,4,3,Villa,https://www.realestateview.com.au/property/pennant-hills/villa-20,realestateview.com.au
"$1,661,770",1661770.0,"38 Market St, Pennant Hills NSW 2124",Pennant Hills,1,2,0,Villa,https://www.realestateview.com.au/property/pennant-hills/villa-22,realestateview.com.au
"$893,557 - $1,156,981",893557.0,"596 George St, Pennant Hills NSW 2911",Pennant Hills,3,2,1,House,https://www.realestate.com.au/property/pennant-hills/house-23,realestate.com.au
"$921,347",921347.0,"140 Queen St, Pennant Hills NSW 2873",Pennant Hills,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pennant-hills/apartment--unit--flat-24,realestateview.com.au
