price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,408,941 ONO",2408941.0,"18 Victoria St, Picnic Point NSW 2822",Picnic Point,4,3,1,Penthouse,https://www.realestate.com.au/property/picnic-point/penthouse-0,realestate.com.au
"Guide $2,030,131",2030131.0,"948 Pacific Highway, Picnic Point NSW 2178",Picnic Point,6,4,1,Penthouse,https://www.realestate.com.au/property/picnic-point/penthouse-1,realestate.com.au
"$1,040,531",1040531.0,"475 Park Ave, Picnic Point NSW 2107",Picnic Point,3,3,1,House,https://www.rent.com.au/property/picnic-point/house-2,rent.com.au
"$969,679",969679.0,"151 Albert St, Picnic Point NSW 2204",Picnic Point,4,1,0,House,https://www.rent.com.au/property/picnic-point/house-3,rent.com.au
"From $1,372,979",1372979.0,"451 Albert St, Picnic Point NSW 2699",Picnic Point,2,3,0,Villa,https://www.domain.com.au/property/picnic-point/villa-4,domain.com.au
"$2,204,688 - $2,431,128",2204688.0,"761 Queen St, Picnic Point NSW 2493",Picnic Point,2,1,0,House,https://www.domain.com.au/property/picnic-point/house-5,domain.com.au
"From $1,032,832",1032832.0,"50 Princes Highway, Picnic Point NSW 2495",Picnic Point,6,4,2,Penthouse,https://www.rent.com.au/property/picnic-point/penthouse-6,rent.com.au
"$1,895,962 ONO",1895962.0,"249 Beach Rd, Picnic Point NSW 2687",Picnic Point,3,1,0,Townhouse,https://www.rent.com.au/property/picnic-point/townhouse-7,rent.com.au
"$2,064,635 ONO",2064635.0,"801 Main St, Picnic Point NSW 2678",Picnic Point,0,1,3,Studio,https://www.realestate.com.au/property/picnic-point/studio-8,realestate.com.au
"From $2,332,223",2332223.0,"670 Market St, Picnic Point NSW 2009",Picnic Point,3,2,0,Villa,https://www.domain.com.au/property/picnic-point/villa-9,domain.com.au
"Guide $785,140",785140.0,"353 The Boulevarde, Picnic Point NSW 2601",Picnic Point,2,1,1,Townhouse,https://www.domain.com.au/property/picnic-point/townhouse-10,domain.com.au
"From $1,240,602",1240602.0,"764 Ocean Rd, Picnic Point NSW 2420",Picnic Point,0,1,0,Studio,https://www.realestateview.com.au/property/picnic-point/studio-11,realestateview.com.au
"$964,319 - $1,159,433",964319.0,"261 Ocean Rd, Picnic Point NSW 2592",Picnic Point,4,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/picnic-point/apartment--unit--flat-13,realestate.com.au
"$2,469,667 ONO",2469667.0,"457 King St, Picnic Point NSW 2851",Picnic Point,2,1,1,Townhouse,https://www.realestate.com.au/property/picnic-point/townhouse-14,realestate.com.au
"$2,021,711 ONO",2021711.0,"397 The Boulevarde, Picnic Point NSW 2287",Picnic Point,2,2,1,Villa,https://www.realestate.com.au/property/picnic-point/villa-15,realestate.com.au
"$2,142,751",2142751.0,"196 Railway St, Picnic Point NSW 2375",Picnic Point,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/picnic-point/apartment--unit--flat-16,realestate.com.au
"From $1,307,257",1307257.0,"900 Main St, Picnic Point NSW 2591",Picnic Point,6,2,1,Penthouse,https://www.realestate.com.au/property/picnic-point/penthouse-18,realestate.com.au
"$1,836,616",1836616.0,"359 Victoria St, Picnic Point NSW 2965",Picnic Point,3,3,0,Penthouse,https://www.realestateview.com.au/property/picnic-point/penthouse-19,realestateview.com.au
"$1,889,731 ONO",1889731.0,"37 Park Ave, Picnic Point NSW 2265",Picnic Point,1,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/picnic-point/apartment--unit--flat-20,domain.com.au
"$1,892,205",1892205.0,"511 Church St, Picnic Point NSW 2254",Picnic Point,2,2,1,Villa,https://www.realestate.com.au/property/picnic-point/villa-21,realestate.com.au
"$1,886,318 - $1,950,184",1886318.0,"256 William St, Picnic Point NSW 2055",Picnic Point,2,1,3,Villa,https://www.rent.com.au/property/picnic-point/villa-22,rent.com.au
"Guide $897,438",897438.0,"667 Ocean Rd, Picnic Point NSW 2936",Picnic Point,0,1,1,Studio,https://www.realestateview.com.au/property/picnic-point/studio-23,realestateview.com.au
"Guide $659,354",659354.0,"758 Pacific Highway, Picnic Point NSW 2117",Picnic Point,3,4,2,Townhouse,https://www.realestateview.com.au/property/picnic-point/townhouse-24,realestateview.com.au
