price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$746,771 - $966,772",746771.0,"874 Queen St, Pittwater NSW 2514",Pittwater,5,1,0,Townhouse,https://www.realestate.com.au/property/pittwater/townhouse-0,realestate.com.au
"Guide $2,043,499",2043499.0,"498 King St, Pittwater NSW 2921",Pittwater,4,3,4,Apartment / Unit / Flat,https://www.domain.com.au/property/pittwater/apartment--unit--flat-1,domain.com.au
"$2,398,396 - $2,475,354",2398396.0,"288 The Boulevarde, Pittwater NSW 2123",Pittwater,4,2,3,House,https://www.realestate.com.au/property/pittwater/house-2,realestate.com.au
"Guide $864,476",864476.0,"626 Albert St, Pittwater NSW 2438",Pittwater,6,2,2,Penthouse,https://www.rent.com.au/property/pittwater/penthouse-3,rent.com.au
"$781,101 - $1,069,744",781101.0,"414 Beach Rd, Pittwater NSW 2003",Pittwater,2,1,4,House,https://www.realestateview.com.au/property/pittwater/house-4,realestateview.com.au
"$2,157,810",2157810.0,"53 Victoria St, Pittwater NSW 2785",Pittwater,0,1,1,Studio,https://www.rent.com.au/property/pittwater/studio-6,rent.com.au
"$2,490,580 ONO",2490580.0,"817 Railway St, Pittwater NSW 2051",Pittwater,5,2,1,Townhouse,https://www.rent.com.au/property/pittwater/townhouse-7,rent.com.au
"$860,332 ONO",860332.0,"168 Market St, Pittwater NSW 2939",Pittwater,3,4,1,Villa,https://www.rent.com.au/property/pittwater/villa-10,rent.com.au
"$963,925 - $1,175,106",963925.0,"578 Queen St, Pittwater NSW 2000",Pittwater,5,4,3,Penthouse,https://www.realestate.com.au/property/pittwater/penthouse-11,realestate.com.au
"$2,255,457 ONO",2255457.0,"903 High St, Pittwater NSW 2953",Pittwater,0,1,3,Studio,https://www.domain.com.au/property/pittwater/studio-12,domain.com.au
"$562,143 - $798,572",562143.0,"871 Church St, Pittwater NSW 2201",Pittwater,4,1,2,Villa,https://www.realestateview.com.au/property/pittwater/villa-13,realestateview.com.au
"$1,425,258 ONO",1425258.0,"301 High St, Pittwater NSW 2883",Pittwater,3,1,1,House,https://www.rent.com.au/property/pittwater/house-15,rent.com.au
"$787,323 ONO",787323.0,"984 Railway St, Pittwater NSW 2727",Pittwater,4,4,1,Townhouse,https://www.realestateview.com.au/property/pittwater/townhouse-16,realestateview.com.au
"From $932,240",932240.0,"316 Princes Highway, Pittwater NSW 2309",Pittwater,1,1,2,Townhouse,https://www.realestateview.com.au/property/pittwater/townhouse-17,realestateview.com.au
"$1,227,770 ONO",1227770.0,"66 The Boulevarde, Pittwater NSW 2364",Pittwater,4,4,1,Villa,https://www.realestateview.com.au/property/pittwater/villa-18,realestateview.com.au
"$1,018,934 ONO",1018934.0,"282 James St, Pittwater NSW 2274",Pittwater,0,1,0,Studio,https://www.realestate.com.au/property/pittwater/studio-19,realestate.com.au
"$2,064,376 - $2,230,673",2064376.0,"242 Elizabeth St, Pittwater NSW 2070",Pittwater,0,1,0,Studio,https://www.realestateview.com.au/property/pittwater/studio-20,realestateview.com.au
"$1,853,571 - $1,990,689",1853571.0,"19 Main St, Pittwater NSW 2390",Pittwater,3,3,2,Villa,https://www.rent.com.au/property/pittwater/villa-21,rent.com.au
"$2,102,116 - $2,254,345",2102116.0,"927 William St, Pittwater NSW 2730",Pittwater,2,3,1,Villa,https://www.realestateview.com.au/property/pittwater/villa-22,realestateview.com.au
"$2,063,583 - $2,265,363",2063583.0,"921 Market St, Pittwater NSW 2081",Pittwater,3,3,0,Townhouse,https://www.rent.com.au/property/pittwater/townhouse-23,rent.com.au
"$2,216,829 - $2,364,834",2216829.0,"975 Beach Rd, Pittwater NSW 2534",Pittwater,6,3,4,Penthouse,https://www.rent.com.au/property/pittwater/penthouse-24,rent.com.au
