price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$684,053 - $858,881",684053.0,"287 George St, Plumpton NSW 2518",Plumpton,4,4,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/plumpton/apartment--unit--flat-0,realestate.com.au
"$526,290 ONO",526290.0,"731 Albert St, Plumpton NSW 2518",Plumpton,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/plumpton/apartment--unit--flat-1,rent.com.au
"$1,796,541 - $1,985,688",1796541.0,"143 William St, Plumpton NSW 2937",Plumpton,3,1,4,Townhouse,https://www.rent.com.au/property/plumpton/townhouse-2,rent.com.au
"From $819,972",819972.0,"604 Elizabeth St, Plumpton NSW 2345",Plumpton,5,2,3,Penthouse,https://www.realestate.com.au/property/plumpton/penthouse-3,realestate.com.au
"From $968,868",968868.0,"807 Main St, Plumpton NSW 2129",Plumpton,3,4,1,Villa,https://www.rent.com.au/property/plumpton/villa-4,rent.com.au
"$641,579 - $928,291",641579.0,"158 James St, Plumpton NSW 2167",Plumpton,2,2,1,Townhouse,https://www.rent.com.au/property/plumpton/townhouse-5,rent.com.au
"From $1,080,049",1080049.0,"757 Main St, Plumpton NSW 2157",Plumpton,1,1,1,Townhouse,https://www.rent.com.au/property/plumpton/townhouse-6,rent.com.au
"$905,607 ONO",905607.0,"466 Church St, Plumpton NSW 2822",Plumpton,2,2,2,Villa,https://www.realestate.com.au/property/plumpton/villa-7,realestate.com.au
"$855,753 - $1,045,059",855753.0,"878 James St, Plumpton NSW 2629",Plumpton,0,1,2,Studio,https://www.rent.com.au/property/plumpton/studio-8,rent.com.au
"$658,687 - $789,698",658687.0,"100 Princes Highway, Plumpton NSW 2524",Plumpton,1,2,1,Villa,https://www.realestate.com.au/property/plumpton/villa-9,realestate.com.au
"$1,598,142",1598142.0,"939 King St, Plumpton NSW 2392",Plumpton,1,2,2,Villa,https://www.domain.com.au/property/plumpton/villa-10,domain.com.au
"$1,239,041",1239041.0,"872 Park Ave, Plumpton NSW 2915",Plumpton,1,2,2,Villa,https://www.realestate.com.au/property/plumpton/villa-11,realestate.com.au
"$557,160",557160.0,"792 Market St, Plumpton NSW 2892",Plumpton,1,1,4,House,https://www.realestateview.com.au/property/plumpton/house-12,realestateview.com.au
"$1,689,139 ONO",1689139.0,"272 Queen St, Plumpton NSW 2522",Plumpton,1,1,3,Villa,https://www.rent.com.au/property/plumpton/villa-13,rent.com.au
"$2,403,170 ONO",2403170.0,"712 Park Ave, Plumpton NSW 2846",Plumpton,2,2,1,Villa,https://www.domain.com.au/property/plumpton/villa-14,domain.com.au
"$523,357 ONO",523357.0,"672 High St, Plumpton NSW 2661",Plumpton,2,2,1,House,https://www.rent.com.au/property/plumpton/house-15,rent.com.au
"$2,032,404 ONO",2032404.0,"952 Beach Rd, Plumpton NSW 2345",Plumpton,0,1,3,Studio,https://www.domain.com.au/property/plumpton/studio-16,domain.com.au
"$1,453,174 ONO",1453174.0,"774 Victoria St, Plumpton NSW 2787",Plumpton,2,1,0,House,https://www.rent.com.au/property/plumpton/house-17,rent.com.au
"$811,335 ONO",811335.0,"130 George St, Plumpton NSW 2456",Plumpton,5,3,1,Villa,https://www.domain.com.au/property/plumpton/villa-18,domain.com.au
"Guide $1,854,493",1854493.0,"49 George St, Plumpton NSW 2851",Plumpton,4,3,0,Villa,https://www.realestateview.com.au/property/plumpton/villa-19,realestateview.com.au
"From $1,096,086",1096086.0,"92 King St, Plumpton NSW 2335",Plumpton,2,3,0,Townhouse,https://www.realestateview.com.au/property/plumpton/townhouse-20,realestateview.com.au
"$1,669,579 - $1,768,255",1669579.0,"329 Victoria St, Plumpton NSW 2398",Plumpton,2,2,0,House,https://www.rent.com.au/property/plumpton/house-21,rent.com.au
"From $1,548,645",1548645.0,"129 Park Ave, Plumpton NSW 2533",Plumpton,3,1,0,House,https://www.domain.com.au/property/plumpton/house-22,domain.com.au
"From $707,992",707992.0,"60 William St, Plumpton NSW 2733",Plumpton,5,4,0,Penthouse,https://www.rent.com.au/property/plumpton/penthouse-23,rent.com.au
"$751,707",751707.0,"528 James St, Plumpton NSW 2629",Plumpton,4,4,4,Penthouse,https://www.realestate.com.au/property/plumpton/penthouse-24,realestate.com.au
