price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,852,220",1852220.0,"414 Railway St, Port Hacking NSW 2866",Port Hacking,5,2,1,Penthouse,https://www.realestateview.com.au/property/port-hacking/penthouse-1,realestateview.com.au
"$1,371,763",1371763.0,"542 William St, Port Hacking NSW 2565",Port Hacking,2,1,1,Villa,https://www.realestate.com.au/property/port-hacking/villa-2,realestate.com.au
"$1,531,963",1531963.0,"259 Main St, Port Hacking NSW 2885",Port Hacking,5,4,1,Penthouse,https://www.realestate.com.au/property/port-hacking/penthouse-3,realestate.com.au
"Guide $2,069,671",2069671.0,"881 Beach Rd, Port Hacking NSW 2462",Port Hacking,3,3,2,Villa,https://www.domain.com.au/property/port-hacking/villa-4,domain.com.au
"Guide $1,610,754",1610754.0,"754 George St, Port Hacking NSW 2358",Port Hacking,6,4,0,Penthouse,https://www.realestate.com.au/property/port-hacking/penthouse-6,realestate.com.au
"Guide $1,204,514",1204514.0,"314 George St, Port Hacking NSW 2493",Port Hacking,0,1,3,Studio,https://www.realestateview.com.au/property/port-hacking/studio-7,realestateview.com.au
"$1,104,332 - $1,307,389",1104332.0,"419 Ocean Rd, Port Hacking NSW 2953",Port Hacking,4,3,2,Villa,https://www.realestate.com.au/property/port-hacking/villa-8,realestate.com.au
"From $2,266,981",2266981.0,"158 Victoria St, Port Hacking NSW 2605",Port Hacking,3,3,2,House,https://www.rent.com.au/property/port-hacking/house-9,rent.com.au
"$854,720 - $962,108",854720.0,"375 Park Ave, Port Hacking NSW 2624",Port Hacking,5,3,1,Penthouse,https://www.realestateview.com.au/property/port-hacking/penthouse-10,realestateview.com.au
"From $2,332,517",2332517.0,"191 Military Rd, Port Hacking NSW 2129",Port Hacking,1,2,0,Townhouse,https://www.realestate.com.au/property/port-hacking/townhouse-11,realestate.com.au
"$1,124,136 - $1,245,994",1124136.0,"208 Elizabeth St, Port Hacking NSW 2325",Port Hacking,0,1,0,Studio,https://www.rent.com.au/property/port-hacking/studio-12,rent.com.au
"$1,417,577 - $1,677,878",1417577.0,"545 Market St, Port Hacking NSW 2829",Port Hacking,1,2,0,House,https://www.domain.com.au/property/port-hacking/house-14,domain.com.au
"$715,246",715246.0,"302 Church St, Port Hacking NSW 2119",Port Hacking,5,1,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/port-hacking/apartment--unit--flat-15,realestate.com.au
"$993,195",993195.0,"652 George St, Port Hacking NSW 2911",Port Hacking,3,2,0,House,https://www.rent.com.au/property/port-hacking/house-16,rent.com.au
"$1,188,610",1188610.0,"578 Main St, Port Hacking NSW 2668",Port Hacking,0,1,2,Studio,https://www.domain.com.au/property/port-hacking/studio-17,domain.com.au
"$857,621",857621.0,"467 James St, Port Hacking NSW 2145",Port Hacking,6,4,2,Penthouse,https://www.realestate.com.au/property/port-hacking/penthouse-18,realestate.com.au
"From $990,880",990880.0,"392 The Boulevarde, Port Hacking NSW 2870",Port Hacking,4,3,1,House,https://www.domain.com.au/property/port-hacking/house-19,domain.com.au
"From $1,161,798",1161798.0,"76 Railway St, Port Hacking NSW 2023",Port Hacking,0,1,1,Studio,https://www.realestateview.com.au/property/port-hacking/studio-20,realestateview.com.au
"From $1,719,272",1719272.0,"9 High St, Port Hacking NSW 2337",Port Hacking,2,2,1,Villa,https://www.rent.com.au/property/port-hacking/villa-21,rent.com.au
"$1,159,228 - $1,423,841",1159228.0,"423 James St, Port Hacking NSW 2340",Port Hacking,0,1,3,Studio,https://www.realestateview.com.au/property/port-hacking/studio-22,realestateview.com.au
"$1,551,914",1551914.0,"230 Albert St, Port Hacking NSW 2912",Port Hacking,1,2,0,Villa,https://www.domain.com.au/property/port-hacking/villa-23,domain.com.au
"$2,347,183 ONO",2347183.0,"356 Railway St, Port Hacking NSW 2634",Port Hacking,3,2,1,House,https://www.realestate.com.au/property/port-hacking/house-24,realestate.com.au
