price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,362,965 ONO",2362965.0,"304 Main St, Potts Hill NSW 2052",Potts Hill,5,2,1,Penthouse,https://www.domain.com.au/property/potts-hill/penthouse-0,domain.com.au
"$1,350,349",1350349.0,"406 Victoria St, Potts Hill NSW 2195",Potts Hill,3,2,1,House,https://www.domain.com.au/property/potts-hill/house-1,domain.com.au
"$915,992 - $1,109,638",915992.0,"510 William St, Potts Hill NSW 2409",Potts Hill,3,2,1,Penthouse,https://www.realestateview.com.au/property/potts-hill/penthouse-2,realestateview.com.au
"Guide $1,999,087",1999087.0,"688 King St, Potts Hill NSW 2137",Potts Hill,2,3,2,House,https://www.realestate.com.au/property/potts-hill/house-3,realestate.com.au
"From $1,016,095",1016095.0,"54 Victoria St, Potts Hill NSW 2026",Potts Hill,4,2,2,Penthouse,https://www.realestateview.com.au/property/potts-hill/penthouse-4,realestateview.com.au
"Guide $2,192,733",2192733.0,"104 Beach Rd, Potts Hill NSW 2927",Potts Hill,5,4,0,House,https://www.realestateview.com.au/property/potts-hill/house-6,realestateview.com.au
"Guide $928,149",928149.0,"302 High St, Potts Hill NSW 2612",Potts Hill,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/potts-hill/apartment--unit--flat-7,rent.com.au
"Guide $2,098,322",2098322.0,"504 Market St, Potts Hill NSW 2489",Potts Hill,4,4,2,Villa,https://www.realestate.com.au/property/potts-hill/villa-8,realestate.com.au
"From $1,433,665",1433665.0,"13 Edward St, Potts Hill NSW 2173",Potts Hill,3,4,0,House,https://www.realestateview.com.au/property/potts-hill/house-9,realestateview.com.au
"Guide $1,006,244",1006244.0,"230 The Boulevarde, Potts Hill NSW 2074",Potts Hill,4,2,2,Penthouse,https://www.realestate.com.au/property/potts-hill/penthouse-10,realestate.com.au
"$2,353,548 ONO",2353548.0,"536 Pacific Highway, Potts Hill NSW 2606",Potts Hill,4,1,1,Townhouse,https://www.realestate.com.au/property/potts-hill/townhouse-11,realestate.com.au
"$1,669,197 - $1,774,907",1669197.0,"423 Queen St, Potts Hill NSW 2289",Potts Hill,2,1,0,Townhouse,https://www.domain.com.au/property/potts-hill/townhouse-12,domain.com.au
"Guide $582,997",582997.0,"116 King St, Potts Hill NSW 2347",Potts Hill,4,3,1,Villa,https://www.domain.com.au/property/potts-hill/villa-13,domain.com.au
"Guide $1,118,572",1118572.0,"338 Military Rd, Potts Hill NSW 2045",Potts Hill,4,3,0,Penthouse,https://www.realestate.com.au/property/potts-hill/penthouse-14,realestate.com.au
"$2,460,183 ONO",2460183.0,"776 Albert St, Potts Hill NSW 2758",Potts Hill,4,2,0,Villa,https://www.rent.com.au/property/potts-hill/villa-15,rent.com.au
"Guide $1,791,444",1791444.0,"176 Edward St, Potts Hill NSW 2747",Potts Hill,5,2,1,House,https://www.realestateview.com.au/property/potts-hill/house-16,realestateview.com.au
"From $1,699,279",1699279.0,"994 Church St, Potts Hill NSW 2991",Potts Hill,2,1,1,Villa,https://www.realestateview.com.au/property/potts-hill/villa-17,realestateview.com.au
"Guide $1,401,970",1401970.0,"553 Albert St, Potts Hill NSW 2485",Potts Hill,2,1,1,Townhouse,https://www.domain.com.au/property/potts-hill/townhouse-18,domain.com.au
"$1,038,853 ONO",1038853.0,"6 Princes Highway, Potts Hill NSW 2182",Potts Hill,3,3,1,House,https://www.domain.com.au/property/potts-hill/house-19,domain.com.au
"$1,082,329 - $1,164,213",1082329.0,"91 Elizabeth St, Potts Hill NSW 2205",Potts Hill,4,3,0,Townhouse,https://www.domain.com.au/property/potts-hill/townhouse-21,domain.com.au
"$1,789,006 - $1,909,886",1789006.0,"836 Railway St, Potts Hill NSW 2936",Potts Hill,4,4,2,House,https://www.domain.com.au/property/potts-hill/house-22,domain.com.au
"$559,987 - $681,716",559987.0,"133 Elizabeth St, Potts Hill NSW 2943",Potts Hill,1,2,0,House,https://www.rent.com.au/property/potts-hill/house-23,rent.com.au
"Guide $2,300,793",2300793.0,"412 The Boulevarde, Potts Hill NSW 2471",Potts Hill,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/potts-hill/apartment--unit--flat-24,realestateview.com.au
