price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,425,602",2425602.0,"507 Ocean Rd, Prairiewood NSW 2876",Prairiewood,2,3,1,Villa,https://www.domain.com.au/property/prairiewood/villa-0,domain.com.au
"From $1,325,245",1325245.0,"817 Edward St, Prairiewood NSW 2815",Prairiewood,6,2,0,Penthouse,https://www.domain.com.au/property/prairiewood/penthouse-1,domain.com.au
"$579,887 - $706,520",579887.0,"181 King St, Prairiewood NSW 2195",Prairiewood,3,2,3,Townhouse,https://www.domain.com.au/property/prairiewood/townhouse-2,domain.com.au
"Guide $1,661,407",1661407.0,"809 James St, Prairiewood NSW 2283",Prairiewood,3,3,0,House,https://www.realestateview.com.au/property/prairiewood/house-3,realestateview.com.au
"Guide $776,336",776336.0,"655 Queen St, Prairiewood NSW 2455",Prairiewood,0,1,1,Studio,https://www.realestate.com.au/property/prairiewood/studio-4,realestate.com.au
"From $2,004,074",2004074.0,"589 Princes Highway, Prairiewood NSW 2416",Prairiewood,6,4,0,Penthouse,https://www.domain.com.au/property/prairiewood/penthouse-5,domain.com.au
"From $1,324,994",1324994.0,"103 Victoria St, Prairiewood NSW 2119",Prairiewood,3,3,2,Villa,https://www.domain.com.au/property/prairiewood/villa-6,domain.com.au
"$1,663,453 - $1,808,046",1663453.0,"234 Pacific Highway, Prairiewood NSW 2302",Prairiewood,0,1,3,Studio,https://www.realestate.com.au/property/prairiewood/studio-8,realestate.com.au
"From $1,678,007",1678007.0,"153 Princes Highway, Prairiewood NSW 2483",Prairiewood,1,2,3,Townhouse,https://www.realestateview.com.au/property/prairiewood/townhouse-9,realestateview.com.au
"From $543,951",543951.0,"836 Queen St, Prairiewood NSW 2882",Prairiewood,3,4,0,Penthouse,https://www.realestate.com.au/property/prairiewood/penthouse-10,realestate.com.au
"Guide $1,990,344",1990344.0,"373 Albert St, Prairiewood NSW 2369",Prairiewood,3,3,1,Penthouse,https://www.domain.com.au/property/prairiewood/penthouse-11,domain.com.au
"Guide $2,303,226",2303226.0,"45 The Boulevarde, Prairiewood NSW 2107",Prairiewood,3,3,3,Townhouse,https://www.realestateview.com.au/property/prairiewood/townhouse-12,realestateview.com.au
"From $1,599,329",1599329.0,"376 The Boulevarde, Prairiewood NSW 2612",Prairiewood,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/prairiewood/apartment--unit--flat-13,realestate.com.au
"$2,003,848 ONO",2003848.0,"259 King St, Prairiewood NSW 2497",Prairiewood,0,1,1,Studio,https://www.realestate.com.au/property/prairiewood/studio-14,realestate.com.au
"$1,863,011 - $2,043,325",1863011.0,"525 George St, Prairiewood NSW 2253",Prairiewood,5,3,3,Villa,https://www.rent.com.au/property/prairiewood/villa-15,rent.com.au
"$1,312,160 ONO",1312160.0,"249 Beach Rd, Prairiewood NSW 2286",Prairiewood,3,2,2,Penthouse,https://www.realestate.com.au/property/prairiewood/penthouse-16,realestate.com.au
"From $2,352,631",2352631.0,"182 Beach Rd, Prairiewood NSW 2948",Prairiewood,5,3,1,Penthouse,https://www.realestateview.com.au/property/prairiewood/penthouse-17,realestateview.com.au
"$843,353",843353.0,"175 Elizabeth St, Prairiewood NSW 2900",Prairiewood,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/prairiewood/apartment--unit--flat-18,domain.com.au
"$626,369 ONO",626369.0,"186 Albert St, Prairiewood NSW 2262",Prairiewood,3,4,0,Penthouse,https://www.realestate.com.au/property/prairiewood/penthouse-19,realestate.com.au
"From $1,555,163",1555163.0,"681 Ocean Rd, Prairiewood NSW 2602",Prairiewood,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/prairiewood/apartment--unit--flat-20,realestateview.com.au
"$780,066",780066.0,"799 Military Rd, Prairiewood NSW 2920",Prairiewood,0,1,0,Studio,https://www.domain.com.au/property/prairiewood/studio-21,domain.com.au
"$2,303,051",2303051.0,"948 Main St, Prairiewood NSW 2022",Prairiewood,4,2,0,Villa,https://www.realestate.com.au/property/prairiewood/villa-23,realestate.com.au
"$1,306,979 - $1,487,143",1306979.0,"587 Albert St, Prairiewood NSW 2430",Prairiewood,5,4,0,Penthouse,https://www.rent.com.au/property/prairiewood/penthouse-24,rent.com.au
