price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,285,666",2285666.0,"860 James St, Prestons NSW 2314",Prestons,0,1,1,Studio,https://www.realestate.com.au/property/prestons/studio-0,realestate.com.au
"$1,683,893",1683893.0,"538 The Boulevarde, Prestons NSW 2110",Prestons,1,1,2,Villa,https://www.rent.com.au/property/prestons/villa-1,rent.com.au
"From $1,753,020",1753020.0,"473 Main St, Prestons NSW 2907",Prestons,6,4,1,Penthouse,https://www.realestateview.com.au/property/prestons/penthouse-2,realestateview.com.au
"$2,195,503 - $2,480,561",2195503.0,"488 William St, Prestons NSW 2407",Prestons,4,2,3,House,https://www.realestateview.com.au/property/prestons/house-3,realestateview.com.au
"Guide $973,865",973865.0,"689 Railway St, Prestons NSW 2638",Prestons,4,4,3,House,https://www.realestateview.com.au/property/prestons/house-4,realestateview.com.au
"Guide $1,961,358",1961358.0,"832 Military Rd, Prestons NSW 2824",Prestons,5,2,2,Townhouse,https://www.rent.com.au/property/prestons/townhouse-5,rent.com.au
"Guide $821,369",821369.0,"970 Queen St, Prestons NSW 2879",Prestons,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/prestons/apartment--unit--flat-7,realestateview.com.au
"$1,303,143 - $1,476,769",1303143.0,"250 Pacific Highway, Prestons NSW 2112",Prestons,0,1,0,Studio,https://www.realestateview.com.au/property/prestons/studio-8,realestateview.com.au
"$1,435,555",1435555.0,"323 Edward St, Prestons NSW 2624",Prestons,2,2,1,House,https://www.rent.com.au/property/prestons/house-10,rent.com.au
"$1,017,894",1017894.0,"551 Market St, Prestons NSW 2008",Prestons,4,4,2,Townhouse,https://www.realestateview.com.au/property/prestons/townhouse-11,realestateview.com.au
"$2,431,711",2431711.0,"136 Princes Highway, Prestons NSW 2364",Prestons,5,2,2,Penthouse,https://www.realestateview.com.au/property/prestons/penthouse-12,realestateview.com.au
"$1,671,951 - $1,963,529",1671951.0,"527 High St, Prestons NSW 2392",Prestons,3,4,0,Villa,https://www.realestateview.com.au/property/prestons/villa-13,realestateview.com.au
"$997,191 ONO",997191.0,"650 Church St, Prestons NSW 2402",Prestons,5,2,2,Penthouse,https://www.rent.com.au/property/prestons/penthouse-14,rent.com.au
"From $1,303,138",1303138.0,"750 Military Rd, Prestons NSW 2057",Prestons,1,2,2,Villa,https://www.rent.com.au/property/prestons/villa-15,rent.com.au
"$1,574,057 ONO",1574057.0,"583 Beach Rd, Prestons NSW 2361",Prestons,3,2,3,Villa,https://www.rent.com.au/property/prestons/villa-16,rent.com.au
"From $810,182",810182.0,"211 Pacific Highway, Prestons NSW 2311",Prestons,1,1,2,House,https://www.rent.com.au/property/prestons/house-17,rent.com.au
"$588,682 ONO",588682.0,"220 Church St, Prestons NSW 2715",Prestons,4,3,2,House,https://www.domain.com.au/property/prestons/house-18,domain.com.au
"$1,769,950 - $1,847,390",1769950.0,"451 Church St, Prestons NSW 2569",Prestons,1,2,0,House,https://www.realestate.com.au/property/prestons/house-19,realestate.com.au
"$2,388,237 - $2,533,597",2388237.0,"565 Beach Rd, Prestons NSW 2198",Prestons,3,1,0,Townhouse,https://www.domain.com.au/property/prestons/townhouse-20,domain.com.au
"$2,138,847 ONO",2138847.0,"357 Albert St, Prestons NSW 2134",Prestons,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/prestons/apartment--unit--flat-21,domain.com.au
"$2,161,387",2161387.0,"378 Beach Rd, Prestons NSW 2201",Prestons,0,1,3,Studio,https://www.rent.com.au/property/prestons/studio-22,rent.com.au
"$933,567",933567.0,"698 Railway St, Prestons NSW 2410",Prestons,1,2,1,Villa,https://www.domain.com.au/property/prestons/villa-23,domain.com.au
"Guide $848,587",848587.0,"125 High St, Prestons NSW 2263",Prestons,0,1,0,Studio,https://www.domain.com.au/property/prestons/studio-24,domain.com.au
