price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,652,684",1652684.0,"472 Princes Highway, Punchbowl NSW 2190",Punchbowl,3,4,0,Townhouse,https://www.realestateview.com.au/property/punchbowl/townhouse-0,realestateview.com.au
"$1,630,069 ONO",1630069.0,"668 Beach Rd, Punchbowl NSW 2015",Punchbowl,2,1,1,House,https://www.domain.com.au/property/punchbowl/house-1,domain.com.au
"Guide $1,682,040",1682040.0,"337 Albert St, Punchbowl NSW 2258",Punchbowl,5,2,2,Townhouse,https://www.domain.com.au/property/punchbowl/townhouse-2,domain.com.au
"From $1,917,705",1917705.0,"60 Queen St, Punchbowl NSW 2879",Punchbowl,0,1,1,Studio,https://www.rent.com.au/property/punchbowl/studio-3,rent.com.au
"$1,735,170 - $1,997,987",1735170.0,"451 Main St, Punchbowl NSW 2892",Punchbowl,0,1,0,Studio,https://www.rent.com.au/property/punchbowl/studio-4,rent.com.au
"$1,163,189",1163189.0,"980 James St, Punchbowl NSW 2318",Punchbowl,3,1,0,Villa,https://www.realestate.com.au/property/punchbowl/villa-5,realestate.com.au
"Guide $1,429,592",1429592.0,"141 Princes Highway, Punchbowl NSW 2761",Punchbowl,2,3,2,Townhouse,https://www.domain.com.au/property/punchbowl/townhouse-6,domain.com.au
"From $1,042,326",1042326.0,"732 High St, Punchbowl NSW 2570",Punchbowl,3,4,2,Townhouse,https://www.realestate.com.au/property/punchbowl/townhouse-7,realestate.com.au
"$1,138,435 - $1,314,346",1138435.0,"69 George St, Punchbowl NSW 2886",Punchbowl,0,1,0,Studio,https://www.realestate.com.au/property/punchbowl/studio-8,realestate.com.au
"$561,741 - $723,858",561741.0,"287 Princes Highway, Punchbowl NSW 2049",Punchbowl,3,4,0,House,https://www.realestate.com.au/property/punchbowl/house-10,realestate.com.au
"Guide $1,128,880",1128880.0,"436 James St, Punchbowl NSW 2561",Punchbowl,2,1,1,House,https://www.realestateview.com.au/property/punchbowl/house-12,realestateview.com.au
"$2,457,083 - $2,602,930",2457083.0,"155 Market St, Punchbowl NSW 2383",Punchbowl,4,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/punchbowl/apartment--unit--flat-13,domain.com.au
"$1,037,686 ONO",1037686.0,"21 William St, Punchbowl NSW 2670",Punchbowl,4,3,0,Villa,https://www.domain.com.au/property/punchbowl/villa-14,domain.com.au
"$1,005,336",1005336.0,"910 Beach Rd, Punchbowl NSW 2576",Punchbowl,6,3,1,Penthouse,https://www.realestateview.com.au/property/punchbowl/penthouse-15,realestateview.com.au
"$2,281,708",2281708.0,"294 Princes Highway, Punchbowl NSW 2182",Punchbowl,6,2,2,Penthouse,https://www.domain.com.au/property/punchbowl/penthouse-17,domain.com.au
"$2,496,532 - $2,796,156",2496532.0,"361 William St, Punchbowl NSW 2140",Punchbowl,3,2,0,Villa,https://www.realestate.com.au/property/punchbowl/villa-18,realestate.com.au
"From $591,795",591795.0,"276 Railway St, Punchbowl NSW 2436",Punchbowl,2,2,0,Villa,https://www.realestate.com.au/property/punchbowl/villa-19,realestate.com.au
"From $687,077",687077.0,"999 King St, Punchbowl NSW 2871",Punchbowl,0,1,1,Studio,https://www.realestate.com.au/property/punchbowl/studio-20,realestate.com.au
"$1,390,082 - $1,478,829",1390082.0,"201 Queen St, Punchbowl NSW 2919",Punchbowl,4,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/punchbowl/apartment--unit--flat-21,realestateview.com.au
"$1,461,103 ONO",1461103.0,"9 Victoria St, Punchbowl NSW 2379",Punchbowl,5,4,3,House,https://www.rent.com.au/property/punchbowl/house-22,rent.com.au
"Guide $1,020,655",1020655.0,"643 Market St, Punchbowl NSW 2458",Punchbowl,3,2,2,Penthouse,https://www.rent.com.au/property/punchbowl/penthouse-23,rent.com.au
"$1,778,605",1778605.0,"57 Main St, Punchbowl NSW 2639",Punchbowl,0,1,1,Studio,https://www.realestate.com.au/property/punchbowl/studio-24,realestate.com.au
