price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,869,018",1869018.0,"708 Beach Rd, Putney NSW 2410",Putney,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/putney/apartment--unit--flat-0,realestate.com.au
"$1,158,680 - $1,441,345",1158680.0,"107 Queen St, Putney NSW 2984",Putney,1,1,2,Townhouse,https://www.realestate.com.au/property/putney/townhouse-1,realestate.com.au
"$785,459 - $994,017",785459.0,"699 Railway St, Putney NSW 2250",Putney,3,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/putney/apartment--unit--flat-2,realestate.com.au
"$2,481,569",2481569.0,"279 The Boulevarde, Putney NSW 2904",Putney,3,2,3,Townhouse,https://www.domain.com.au/property/putney/townhouse-3,domain.com.au
"$970,664 - $1,263,143",970664.0,"820 Church St, Putney NSW 2968",Putney,4,3,0,Penthouse,https://www.realestate.com.au/property/putney/penthouse-4,realestate.com.au
"$1,933,739 - $2,197,720",1933739.0,"99 Market St, Putney NSW 2109",Putney,0,1,0,Studio,https://www.rent.com.au/property/putney/studio-5,rent.com.au
"$1,415,466 - $1,488,715",1415466.0,"847 Church St, Putney NSW 2025",Putney,6,3,1,Penthouse,https://www.realestateview.com.au/property/putney/penthouse-6,realestateview.com.au
"$965,312 - $1,197,545",965312.0,"611 Main St, Putney NSW 2882",Putney,3,2,2,Penthouse,https://www.realestate.com.au/property/putney/penthouse-7,realestate.com.au
"$883,921",883921.0,"705 Railway St, Putney NSW 2786",Putney,2,3,1,House,https://www.realestate.com.au/property/putney/house-8,realestate.com.au
"$1,127,023",1127023.0,"858 Beach Rd, Putney NSW 2916",Putney,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/putney/apartment--unit--flat-9,realestateview.com.au
"From $2,087,024",2087024.0,"908 Church St, Putney NSW 2898",Putney,3,2,0,Villa,https://www.realestateview.com.au/property/putney/villa-10,realestateview.com.au
"$1,523,364 ONO",1523364.0,"115 Victoria St, Putney NSW 2506",Putney,3,2,1,Penthouse,https://www.realestateview.com.au/property/putney/penthouse-11,realestateview.com.au
"$782,067 - $1,031,636",782067.0,"220 Queen St, Putney NSW 2053",Putney,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/putney/apartment--unit--flat-12,domain.com.au
"$750,301 - $1,040,246",750301.0,"651 Market St, Putney NSW 2611",Putney,2,3,0,Townhouse,https://www.realestateview.com.au/property/putney/townhouse-13,realestateview.com.au
"$1,191,419",1191419.0,"884 Pacific Highway, Putney NSW 2385",Putney,6,3,0,House,https://www.realestate.com.au/property/putney/house-14,realestate.com.au
"Guide $890,738",890738.0,"804 William St, Putney NSW 2876",Putney,2,3,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/putney/apartment--unit--flat-15,realestate.com.au
"From $1,389,667",1389667.0,"988 James St, Putney NSW 2003",Putney,3,4,1,House,https://www.rent.com.au/property/putney/house-16,rent.com.au
"From $1,466,168",1466168.0,"483 Market St, Putney NSW 2562",Putney,2,3,0,Townhouse,https://www.rent.com.au/property/putney/townhouse-17,rent.com.au
"From $2,188,484",2188484.0,"504 Market St, Putney NSW 2052",Putney,4,4,0,Villa,https://www.rent.com.au/property/putney/villa-18,rent.com.au
"From $2,015,898",2015898.0,"749 Edward St, Putney NSW 2404",Putney,6,2,3,Penthouse,https://www.domain.com.au/property/putney/penthouse-19,domain.com.au
"From $1,672,868",1672868.0,"945 Market St, Putney NSW 2406",Putney,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/putney/apartment--unit--flat-21,realestateview.com.au
"$716,250 ONO",716250.0,"27 Edward St, Putney NSW 2818",Putney,1,1,0,Villa,https://www.realestateview.com.au/property/putney/villa-22,realestateview.com.au
"From $536,597",536597.0,"831 Albert St, Putney NSW 2144",Putney,5,1,2,Townhouse,https://www.realestateview.com.au/property/putney/townhouse-23,realestateview.com.au
