price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,336,071",2336071.0,"179 Edward St, Pyrmont NSW 2490",Pyrmont,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/pyrmont/apartment--unit--flat-0,realestateview.com.au
"$1,414,339",1414339.0,"603 Victoria St, Pyrmont NSW 2396",Pyrmont,6,3,3,Penthouse,https://www.domain.com.au/property/pyrmont/penthouse-1,domain.com.au
"$2,261,840",2261840.0,"784 High St, Pyrmont NSW 2476",Pyrmont,2,1,1,Townhouse,https://www.domain.com.au/property/pyrmont/townhouse-2,domain.com.au
"From $1,109,746",1109746.0,"205 Market St, Pyrmont NSW 2890",Pyrmont,2,3,1,Townhouse,https://www.realestateview.com.au/property/pyrmont/townhouse-3,realestateview.com.au
"Guide $623,257",623257.0,"42 Beach Rd, Pyrmont NSW 2653",Pyrmont,2,3,4,Villa,https://www.realestate.com.au/property/pyrmont/villa-4,realestate.com.au
"$1,958,035 ONO",1958035.0,"965 James St, Pyrmont NSW 2216",Pyrmont,5,3,0,House,https://www.realestate.com.au/property/pyrmont/house-6,realestate.com.au
"From $1,188,190",1188190.0,"430 Albert St, Pyrmont NSW 2187",Pyrmont,2,2,3,House,https://www.domain.com.au/property/pyrmont/house-7,domain.com.au
"From $1,189,003",1189003.0,"442 Main St, Pyrmont NSW 2951",Pyrmont,0,1,2,Studio,https://www.realestate.com.au/property/pyrmont/studio-8,realestate.com.au
"$1,334,561 - $1,559,182",1334561.0,"651 Pacific Highway, Pyrmont NSW 2847",Pyrmont,0,1,0,Studio,https://www.realestateview.com.au/property/pyrmont/studio-9,realestateview.com.au
"$1,927,354",1927354.0,"408 William St, Pyrmont NSW 2035",Pyrmont,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/pyrmont/apartment--unit--flat-10,domain.com.au
"$2,119,523",2119523.0,"325 Princes Highway, Pyrmont NSW 2597",Pyrmont,4,4,3,House,https://www.realestateview.com.au/property/pyrmont/house-11,realestateview.com.au
"Guide $733,791",733791.0,"960 Pacific Highway, Pyrmont NSW 2460",Pyrmont,3,4,2,Townhouse,https://www.realestateview.com.au/property/pyrmont/townhouse-12,realestateview.com.au
"$1,447,051 - $1,524,858",1447051.0,"158 Albert St, Pyrmont NSW 2689",Pyrmont,5,3,0,House,https://www.rent.com.au/property/pyrmont/house-13,rent.com.au
"From $595,663",595663.0,"848 Main St, Pyrmont NSW 2217",Pyrmont,5,4,3,Villa,https://www.realestate.com.au/property/pyrmont/villa-14,realestate.com.au
"$1,803,004",1803004.0,"627 Queen St, Pyrmont NSW 2545",Pyrmont,4,1,3,Villa,https://www.realestateview.com.au/property/pyrmont/villa-15,realestateview.com.au
"$1,276,451 ONO",1276451.0,"258 William St, Pyrmont NSW 2300",Pyrmont,0,1,0,Studio,https://www.domain.com.au/property/pyrmont/studio-16,domain.com.au
"From $1,061,372",1061372.0,"673 Victoria St, Pyrmont NSW 2353",Pyrmont,4,1,3,House,https://www.domain.com.au/property/pyrmont/house-17,domain.com.au
"$1,778,260",1778260.0,"106 Queen St, Pyrmont NSW 2206",Pyrmont,2,1,1,Townhouse,https://www.realestate.com.au/property/pyrmont/townhouse-18,realestate.com.au
"From $1,888,030",1888030.0,"725 Edward St, Pyrmont NSW 2516",Pyrmont,3,1,0,Townhouse,https://www.rent.com.au/property/pyrmont/townhouse-19,rent.com.au
"$1,239,985 - $1,338,383",1239985.0,"289 King St, Pyrmont NSW 2459",Pyrmont,3,4,3,Penthouse,https://www.realestateview.com.au/property/pyrmont/penthouse-20,realestateview.com.au
"$671,382",671382.0,"140 William St, Pyrmont NSW 2218",Pyrmont,4,4,0,Townhouse,https://www.realestateview.com.au/property/pyrmont/townhouse-21,realestateview.com.au
"Guide $2,211,474",2211474.0,"117 King St, Pyrmont NSW 2186",Pyrmont,2,2,2,Villa,https://www.domain.com.au/property/pyrmont/villa-22,domain.com.au
"$1,435,665 ONO",1435665.0,"170 Military Rd, Pyrmont NSW 2901",Pyrmont,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/pyrmont/apartment--unit--flat-23,domain.com.au
"$2,028,686 - $2,255,548",2028686.0,"300 Princes Highway, Pyrmont NSW 2744",Pyrmont,4,2,0,Townhouse,https://www.domain.com.au/property/pyrmont/townhouse-24,domain.com.au
