price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,976,386",1976386.0,"738 High St, Quakers Hill NSW 2437",Quakers Hill,2,1,1,Townhouse,https://www.rent.com.au/property/quakers-hill/townhouse-0,rent.com.au
"$2,439,019",2439019.0,"509 High St, Quakers Hill NSW 2158",Quakers Hill,4,2,1,Villa,https://www.rent.com.au/property/quakers-hill/villa-1,rent.com.au
"$1,483,931 - $1,725,033",1483931.0,"212 Pacific Highway, Quakers Hill NSW 2321",Quakers Hill,2,1,2,Villa,https://www.domain.com.au/property/quakers-hill/villa-2,domain.com.au
"$1,195,532 - $1,416,881",1195532.0,"210 Church St, Quakers Hill NSW 2178",Quakers Hill,1,1,1,Villa,https://www.rent.com.au/property/quakers-hill/villa-3,rent.com.au
"Guide $1,939,805",1939805.0,"868 Ocean Rd, Quakers Hill NSW 2332",Quakers Hill,3,2,2,House,https://www.realestateview.com.au/property/quakers-hill/house-4,realestateview.com.au
"Guide $2,007,716",2007716.0,"622 The Boulevarde, Quakers Hill NSW 2398",Quakers Hill,0,1,2,Studio,https://www.rent.com.au/property/quakers-hill/studio-5,rent.com.au
"From $995,734",995734.0,"189 Beach Rd, Quakers Hill NSW 2807",Quakers Hill,6,2,2,Penthouse,https://www.rent.com.au/property/quakers-hill/penthouse-6,rent.com.au
"$1,160,733",1160733.0,"155 James St, Quakers Hill NSW 2027",Quakers Hill,5,4,2,Penthouse,https://www.realestateview.com.au/property/quakers-hill/penthouse-7,realestateview.com.au
"$1,138,693 - $1,283,622",1138693.0,"663 Queen St, Quakers Hill NSW 2700",Quakers Hill,2,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/quakers-hill/apartment--unit--flat-8,rent.com.au
"$1,388,456",1388456.0,"568 James St, Quakers Hill NSW 2372",Quakers Hill,5,2,1,Penthouse,https://www.realestate.com.au/property/quakers-hill/penthouse-9,realestate.com.au
"$1,546,395 - $1,614,276",1546395.0,"587 The Boulevarde, Quakers Hill NSW 2765",Quakers Hill,5,4,2,House,https://www.realestate.com.au/property/quakers-hill/house-10,realestate.com.au
"$545,449",545449.0,"293 Church St, Quakers Hill NSW 2454",Quakers Hill,3,2,2,Penthouse,https://www.realestateview.com.au/property/quakers-hill/penthouse-11,realestateview.com.au
"$1,597,667 ONO",1597667.0,"73 James St, Quakers Hill NSW 2366",Quakers Hill,0,1,1,Studio,https://www.rent.com.au/property/quakers-hill/studio-12,rent.com.au
"$1,417,557 - $1,486,953",1417557.0,"855 The Boulevarde, Quakers Hill NSW 2027",Quakers Hill,0,1,2,Studio,https://www.domain.com.au/property/quakers-hill/studio-13,domain.com.au
"$1,821,103",1821103.0,"868 Princes Highway, Quakers Hill NSW 2130",Quakers Hill,0,1,1,Studio,https://www.domain.com.au/property/quakers-hill/studio-15,domain.com.au
"Guide $2,308,779",2308779.0,"432 Market St, Quakers Hill NSW 2745",Quakers Hill,6,3,0,Penthouse,https://www.rent.com.au/property/quakers-hill/penthouse-16,rent.com.au
"$1,441,400 ONO",1441400.0,"710 Church St, Quakers Hill NSW 2568",Quakers Hill,0,1,1,Studio,https://www.rent.com.au/property/quakers-hill/studio-17,rent.com.au
"From $2,446,644",2446644.0,"911 Elizabeth St, Quakers Hill NSW 2206",Quakers Hill,1,2,1,Villa,https://www.rent.com.au/property/quakers-hill/villa-20,rent.com.au
"Guide $1,386,304",1386304.0,"605 Market St, Quakers Hill NSW 2812",Quakers Hill,6,4,3,Penthouse,https://www.realestateview.com.au/property/quakers-hill/penthouse-21,realestateview.com.au
"$1,844,608 ONO",1844608.0,"783 Queen St, Quakers Hill NSW 2648",Quakers Hill,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/quakers-hill/apartment--unit--flat-22,realestateview.com.au
"$1,796,490 ONO",1796490.0,"548 Ocean Rd, Quakers Hill NSW 2769",Quakers Hill,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/quakers-hill/apartment--unit--flat-24,realestateview.com.au
