price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,388,368 - $1,681,794",1388368.0,"331 Pacific Highway, Queenscliff NSW 2830",Queenscliff,6,3,0,Penthouse,https://www.realestateview.com.au/property/queenscliff/penthouse-0,realestateview.com.au
"$2,336,616",2336616.0,"465 High St, Queenscliff NSW 2872",Queenscliff,1,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/queenscliff/apartment--unit--flat-1,domain.com.au
"From $1,944,385",1944385.0,"629 Railway St, Queenscliff NSW 2786",Queenscliff,5,3,0,Penthouse,https://www.realestateview.com.au/property/queenscliff/penthouse-2,realestateview.com.au
"$832,574",832574.0,"796 Main St, Queenscliff NSW 2294",Queenscliff,4,1,1,Townhouse,https://www.domain.com.au/property/queenscliff/townhouse-3,domain.com.au
"$1,264,423",1264423.0,"75 Princes Highway, Queenscliff NSW 2596",Queenscliff,3,4,3,House,https://www.realestate.com.au/property/queenscliff/house-4,realestate.com.au
"$2,174,755 - $2,263,094",2174755.0,"936 Railway St, Queenscliff NSW 2601",Queenscliff,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/queenscliff/apartment--unit--flat-5,realestateview.com.au
"$887,760",887760.0,"726 Military Rd, Queenscliff NSW 2047",Queenscliff,3,3,2,Townhouse,https://www.domain.com.au/property/queenscliff/townhouse-6,domain.com.au
"From $821,879",821879.0,"217 George St, Queenscliff NSW 2882",Queenscliff,4,4,2,Penthouse,https://www.domain.com.au/property/queenscliff/penthouse-7,domain.com.au
"Guide $1,272,550",1272550.0,"317 Queen St, Queenscliff NSW 2984",Queenscliff,2,3,1,Villa,https://www.realestate.com.au/property/queenscliff/villa-8,realestate.com.au
"$2,250,480 - $2,364,162",2250480.0,"256 Ocean Rd, Queenscliff NSW 2322",Queenscliff,6,2,2,Penthouse,https://www.domain.com.au/property/queenscliff/penthouse-9,domain.com.au
"$2,458,712 - $2,745,344",2458712.0,"403 James St, Queenscliff NSW 2404",Queenscliff,0,1,0,Studio,https://www.realestate.com.au/property/queenscliff/studio-10,realestate.com.au
"$1,317,204 - $1,605,051",1317204.0,"539 Market St, Queenscliff NSW 2068",Queenscliff,4,4,1,Villa,https://www.realestateview.com.au/property/queenscliff/villa-11,realestateview.com.au
"$534,769",534769.0,"347 Victoria St, Queenscliff NSW 2039",Queenscliff,1,2,1,House,https://www.realestate.com.au/property/queenscliff/house-12,realestate.com.au
"$903,321 - $1,202,734",903321.0,"196 Military Rd, Queenscliff NSW 2201",Queenscliff,3,1,1,House,https://www.rent.com.au/property/queenscliff/house-13,rent.com.au
"$1,520,948",1520948.0,"875 Ocean Rd, Queenscliff NSW 2768",Queenscliff,4,2,1,Penthouse,https://www.domain.com.au/property/queenscliff/penthouse-14,domain.com.au
"$1,865,084 ONO",1865084.0,"14 William St, Queenscliff NSW 2823",Queenscliff,0,1,0,Studio,https://www.realestateview.com.au/property/queenscliff/studio-15,realestateview.com.au
"From $737,833",737833.0,"540 Park Ave, Queenscliff NSW 2642",Queenscliff,5,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/queenscliff/apartment--unit--flat-16,realestateview.com.au
"$782,315 - $1,041,020",782315.0,"523 Victoria St, Queenscliff NSW 2256",Queenscliff,3,1,2,Villa,https://www.rent.com.au/property/queenscliff/villa-17,rent.com.au
"$2,172,363",2172363.0,"286 High St, Queenscliff NSW 2991",Queenscliff,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/queenscliff/apartment--unit--flat-18,realestate.com.au
"Guide $1,598,043",1598043.0,"154 Edward St, Queenscliff NSW 2234",Queenscliff,4,4,1,Villa,https://www.rent.com.au/property/queenscliff/villa-19,rent.com.au
"$1,180,887",1180887.0,"712 Albert St, Queenscliff NSW 2430",Queenscliff,0,1,2,Studio,https://www.domain.com.au/property/queenscliff/studio-20,domain.com.au
"Guide $2,309,971",2309971.0,"996 Beach Rd, Queenscliff NSW 2461",Queenscliff,4,3,2,Villa,https://www.realestate.com.au/property/queenscliff/villa-22,realestate.com.au
"Guide $1,016,478",1016478.0,"426 High St, Queenscliff NSW 2045",Queenscliff,2,2,1,Townhouse,https://www.realestate.com.au/property/queenscliff/townhouse-24,realestate.com.au
