price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,981,603 ONO",1981603.0,"293 William St, Ramsgate NSW 2776",Ramsgate,1,2,4,House,https://www.realestateview.com.au/property/ramsgate/house-1,realestateview.com.au
"$1,731,943 - $1,856,408",1731943.0,"383 George St, Ramsgate NSW 2007",Ramsgate,0,1,0,Studio,https://www.rent.com.au/property/ramsgate/studio-2,rent.com.au
"$1,119,242 ONO",1119242.0,"672 George St, Ramsgate NSW 2002",Ramsgate,4,3,0,Villa,https://www.realestateview.com.au/property/ramsgate/villa-3,realestateview.com.au
"From $1,913,931",1913931.0,"477 High St, Ramsgate NSW 2177",Ramsgate,2,3,2,Townhouse,https://www.realestate.com.au/property/ramsgate/townhouse-4,realestate.com.au
"$1,610,197",1610197.0,"383 The Boulevarde, Ramsgate NSW 2739",Ramsgate,5,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/ramsgate/apartment--unit--flat-7,realestate.com.au
"$770,349 - $938,354",770349.0,"816 Ocean Rd, Ramsgate NSW 2765",Ramsgate,0,1,2,Studio,https://www.realestate.com.au/property/ramsgate/studio-8,realestate.com.au
"$1,712,044 ONO",1712044.0,"783 Elizabeth St, Ramsgate NSW 2324",Ramsgate,6,2,0,Penthouse,https://www.realestateview.com.au/property/ramsgate/penthouse-9,realestateview.com.au
"$2,109,545",2109545.0,"867 Main St, Ramsgate NSW 2757",Ramsgate,4,3,0,Villa,https://www.rent.com.au/property/ramsgate/villa-10,rent.com.au
"$1,658,939 ONO",1658939.0,"122 Edward St, Ramsgate NSW 2054",Ramsgate,4,4,1,Penthouse,https://www.rent.com.au/property/ramsgate/penthouse-11,rent.com.au
"From $2,019,107",2019107.0,"623 King St, Ramsgate NSW 2101",Ramsgate,3,4,2,Penthouse,https://www.realestateview.com.au/property/ramsgate/penthouse-12,realestateview.com.au
"$2,077,788 - $2,234,806",2077788.0,"980 William St, Ramsgate NSW 2802",Ramsgate,0,1,3,Studio,https://www.rent.com.au/property/ramsgate/studio-13,rent.com.au
"$1,349,416 - $1,482,021",1349416.0,"553 Railway St, Ramsgate NSW 2841",Ramsgate,6,4,0,Penthouse,https://www.rent.com.au/property/ramsgate/penthouse-14,rent.com.au
"From $2,454,817",2454817.0,"843 Military Rd, Ramsgate NSW 2057",Ramsgate,4,4,0,Penthouse,https://www.realestateview.com.au/property/ramsgate/penthouse-15,realestateview.com.au
"$1,953,060",1953060.0,"612 The Boulevarde, Ramsgate NSW 2627",Ramsgate,0,1,0,Studio,https://www.realestateview.com.au/property/ramsgate/studio-16,realestateview.com.au
"Guide $623,555",623555.0,"10 George St, Ramsgate NSW 2500",Ramsgate,3,4,2,House,https://www.realestateview.com.au/property/ramsgate/house-17,realestateview.com.au
"Guide $1,721,014",1721014.0,"120 Elizabeth St, Ramsgate NSW 2883",Ramsgate,4,1,2,Villa,https://www.realestate.com.au/property/ramsgate/villa-18,realestate.com.au
"From $1,027,310",1027310.0,"450 James St, Ramsgate NSW 2682",Ramsgate,1,1,0,Townhouse,https://www.domain.com.au/property/ramsgate/townhouse-19,domain.com.au
"From $2,079,492",2079492.0,"57 Military Rd, Ramsgate NSW 2927",Ramsgate,3,2,2,Penthouse,https://www.rent.com.au/property/ramsgate/penthouse-20,rent.com.au
"From $1,569,250",1569250.0,"326 Elizabeth St, Ramsgate NSW 2618",Ramsgate,4,3,2,Penthouse,https://www.domain.com.au/property/ramsgate/penthouse-21,domain.com.au
"$1,190,194 - $1,246,259",1190194.0,"237 Beach Rd, Ramsgate NSW 2995",Ramsgate,4,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/ramsgate/apartment--unit--flat-23,rent.com.au
"$1,105,174 ONO",1105174.0,"724 Ocean Rd, Ramsgate NSW 2271",Ramsgate,3,4,1,Penthouse,https://www.realestate.com.au/property/ramsgate/penthouse-24,realestate.com.au
