price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,339,896 ONO",2339896.0,"35 Market St, Ramsgate Beach NSW 2013",Ramsgate Beach,3,1,2,Villa,https://www.rent.com.au/property/ramsgate-beach/villa-0,rent.com.au
"Guide $1,409,643",1409643.0,"349 James St, Ramsgate Beach NSW 2301",Ramsgate Beach,1,1,3,Townhouse,https://www.rent.com.au/property/ramsgate-beach/townhouse-1,rent.com.au
"From $2,493,119",2493119.0,"361 Park Ave, Ramsgate Beach NSW 2549",Ramsgate Beach,3,1,0,Townhouse,https://www.realestateview.com.au/property/ramsgate-beach/townhouse-3,realestateview.com.au
"$1,380,788 ONO",1380788.0,"993 William St, Ramsgate Beach NSW 2705",Ramsgate Beach,3,3,2,Penthouse,https://www.domain.com.au/property/ramsgate-beach/penthouse-4,domain.com.au
"$1,094,906 ONO",1094906.0,"429 Market St, Ramsgate Beach NSW 2059",Ramsgate Beach,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/ramsgate-beach/apartment--unit--flat-5,domain.com.au
"From $1,537,140",1537140.0,"244 Market St, Ramsgate Beach NSW 2153",Ramsgate Beach,4,3,1,Townhouse,https://www.domain.com.au/property/ramsgate-beach/townhouse-7,domain.com.au
"$1,388,279 - $1,516,527",1388279.0,"92 Albert St, Ramsgate Beach NSW 2576",Ramsgate Beach,3,1,0,Townhouse,https://www.realestate.com.au/property/ramsgate-beach/townhouse-8,realestate.com.au
"$1,092,136",1092136.0,"786 Military Rd, Ramsgate Beach NSW 2625",Ramsgate Beach,4,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/ramsgate-beach/apartment--unit--flat-10,rent.com.au
"$2,238,727 - $2,534,181",2238727.0,"259 The Boulevarde, Ramsgate Beach NSW 2215",Ramsgate Beach,6,4,2,Penthouse,https://www.rent.com.au/property/ramsgate-beach/penthouse-11,rent.com.au
"$1,134,942 - $1,264,997",1134942.0,"174 Main St, Ramsgate Beach NSW 2678",Ramsgate Beach,2,2,1,Villa,https://www.realestate.com.au/property/ramsgate-beach/villa-12,realestate.com.au
"From $1,118,527",1118527.0,"99 The Boulevarde, Ramsgate Beach NSW 2487",Ramsgate Beach,2,3,2,Townhouse,https://www.realestateview.com.au/property/ramsgate-beach/townhouse-13,realestateview.com.au
"$1,322,899",1322899.0,"578 George St, Ramsgate Beach NSW 2815",Ramsgate Beach,0,1,0,Studio,https://www.rent.com.au/property/ramsgate-beach/studio-14,rent.com.au
"$1,298,511",1298511.0,"310 Pacific Highway, Ramsgate Beach NSW 2654",Ramsgate Beach,0,1,3,Studio,https://www.domain.com.au/property/ramsgate-beach/studio-15,domain.com.au
"$1,071,014",1071014.0,"448 Market St, Ramsgate Beach NSW 2233",Ramsgate Beach,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ramsgate-beach/apartment--unit--flat-16,realestateview.com.au
"$610,130 - $872,197",610130.0,"432 Queen St, Ramsgate Beach NSW 2243",Ramsgate Beach,3,4,0,Townhouse,https://www.realestate.com.au/property/ramsgate-beach/townhouse-17,realestate.com.au
"$2,460,620 ONO",2460620.0,"277 Park Ave, Ramsgate Beach NSW 2516",Ramsgate Beach,3,3,1,House,https://www.realestate.com.au/property/ramsgate-beach/house-18,realestate.com.au
"From $566,883",566883.0,"456 Main St, Ramsgate Beach NSW 2495",Ramsgate Beach,0,1,1,Studio,https://www.realestate.com.au/property/ramsgate-beach/studio-19,realestate.com.au
"$1,763,155 - $2,021,781",1763155.0,"972 Victoria St, Ramsgate Beach NSW 2044",Ramsgate Beach,3,3,0,Villa,https://www.realestate.com.au/property/ramsgate-beach/villa-20,realestate.com.au
"Guide $1,214,669",1214669.0,"199 The Boulevarde, Ramsgate Beach NSW 2278",Ramsgate Beach,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/ramsgate-beach/apartment--unit--flat-21,domain.com.au
"$1,214,364",1214364.0,"594 Queen St, Ramsgate Beach NSW 2447",Ramsgate Beach,0,1,2,Studio,https://www.domain.com.au/property/ramsgate-beach/studio-22,domain.com.au
"$1,522,566 - $1,744,358",1522566.0,"939 Railway St, Ramsgate Beach NSW 2373",Ramsgate Beach,3,4,1,Townhouse,https://www.rent.com.au/property/ramsgate-beach/townhouse-23,rent.com.au
"$2,329,001 ONO",2329001.0,"726 Edward St, Ramsgate Beach NSW 2199",Ramsgate Beach,0,1,0,Studio,https://www.rent.com.au/property/ramsgate-beach/studio-24,rent.com.au
