price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,401,530",2401530.0,"707 Edward St, Redfern NSW 2052",Redfern,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/redfern/apartment--unit--flat-1,realestate.com.au
"From $926,077",926077.0,"634 Market St, Redfern NSW 2065",Redfern,1,1,2,House,https://www.rent.com.au/property/redfern/house-2,rent.com.au
"From $2,074,330",2074330.0,"964 Ocean Rd, Redfern NSW 2303",Redfern,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/redfern/apartment--unit--flat-3,rent.com.au
"$1,630,858 - $1,784,616",1630858.0,"621 Victoria St, Redfern NSW 2759",Redfern,2,3,1,House,https://www.realestate.com.au/property/redfern/house-5,realestate.com.au
"$1,625,264 ONO",1625264.0,"109 Market St, Redfern NSW 2326",Redfern,6,3,2,Penthouse,https://www.domain.com.au/property/redfern/penthouse-7,domain.com.au
"$1,484,854 ONO",1484854.0,"294 Queen St, Redfern NSW 2071",Redfern,4,1,0,Townhouse,https://www.rent.com.au/property/redfern/townhouse-8,rent.com.au
"Guide $2,410,083",2410083.0,"744 Beach Rd, Redfern NSW 2403",Redfern,3,4,3,House,https://www.realestate.com.au/property/redfern/house-9,realestate.com.au
"Guide $2,254,361",2254361.0,"832 Albert St, Redfern NSW 2034",Redfern,1,1,1,Villa,https://www.rent.com.au/property/redfern/villa-10,rent.com.au
"$1,286,173 - $1,493,255",1286173.0,"108 Elizabeth St, Redfern NSW 2767",Redfern,0,1,3,Studio,https://www.rent.com.au/property/redfern/studio-11,rent.com.au
"$1,421,144",1421144.0,"776 Beach Rd, Redfern NSW 2550",Redfern,5,2,3,Townhouse,https://www.domain.com.au/property/redfern/townhouse-12,domain.com.au
"$2,393,124 ONO",2393124.0,"347 Main St, Redfern NSW 2521",Redfern,4,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/redfern/apartment--unit--flat-13,domain.com.au
"From $2,129,431",2129431.0,"281 Queen St, Redfern NSW 2707",Redfern,3,2,4,Penthouse,https://www.rent.com.au/property/redfern/penthouse-14,rent.com.au
"$892,288",892288.0,"923 George St, Redfern NSW 2912",Redfern,0,1,3,Studio,https://www.realestate.com.au/property/redfern/studio-15,realestate.com.au
"Guide $1,001,449",1001449.0,"943 Main St, Redfern NSW 2189",Redfern,3,4,0,House,https://www.realestateview.com.au/property/redfern/house-16,realestateview.com.au
"$2,275,773 - $2,469,945",2275773.0,"537 Railway St, Redfern NSW 2999",Redfern,4,3,2,House,https://www.realestateview.com.au/property/redfern/house-17,realestateview.com.au
"$772,469 ONO",772469.0,"408 The Boulevarde, Redfern NSW 2364",Redfern,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/redfern/apartment--unit--flat-18,rent.com.au
"Guide $1,834,348",1834348.0,"279 Pacific Highway, Redfern NSW 2798",Redfern,3,2,0,Townhouse,https://www.domain.com.au/property/redfern/townhouse-21,domain.com.au
"$763,589",763589.0,"829 Church St, Redfern NSW 2530",Redfern,4,4,1,House,https://www.realestate.com.au/property/redfern/house-22,realestate.com.au
"$519,639 ONO",519639.0,"643 King St, Redfern NSW 2678",Redfern,5,3,1,Penthouse,https://www.domain.com.au/property/redfern/penthouse-23,domain.com.au
"$1,901,359",1901359.0,"530 Main St, Redfern NSW 2013",Redfern,0,1,1,Studio,https://www.realestateview.com.au/property/redfern/studio-24,realestateview.com.au
