price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,219,278 ONO",2219278.0,"190 King St, Regents Park NSW 2489",Regents Park,4,3,0,Penthouse,https://www.domain.com.au/property/regents-park/penthouse-0,domain.com.au
"$1,260,129",1260129.0,"769 Albert St, Regents Park NSW 2028",Regents Park,0,1,3,Studio,https://www.domain.com.au/property/regents-park/studio-1,domain.com.au
"$2,066,963 ONO",2066963.0,"703 William St, Regents Park NSW 2712",Regents Park,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/regents-park/apartment--unit--flat-2,domain.com.au
"Guide $1,029,843",1029843.0,"723 The Boulevarde, Regents Park NSW 2270",Regents Park,2,2,0,Townhouse,https://www.rent.com.au/property/regents-park/townhouse-3,rent.com.au
"Guide $520,473",520473.0,"61 Elizabeth St, Regents Park NSW 2223",Regents Park,0,1,1,Studio,https://www.realestate.com.au/property/regents-park/studio-4,realestate.com.au
"$982,684",982684.0,"604 Elizabeth St, Regents Park NSW 2973",Regents Park,0,1,0,Studio,https://www.domain.com.au/property/regents-park/studio-5,domain.com.au
"$2,294,146 - $2,458,199",2294146.0,"331 Church St, Regents Park NSW 2815",Regents Park,0,1,1,Studio,https://www.rent.com.au/property/regents-park/studio-6,rent.com.au
"$1,189,589 ONO",1189589.0,"722 Edward St, Regents Park NSW 2714",Regents Park,0,1,0,Studio,https://www.rent.com.au/property/regents-park/studio-7,rent.com.au
"$2,196,983 - $2,427,231",2196983.0,"692 Park Ave, Regents Park NSW 2719",Regents Park,3,4,2,House,https://www.realestate.com.au/property/regents-park/house-8,realestate.com.au
"From $616,885",616885.0,"710 Princes Highway, Regents Park NSW 2888",Regents Park,2,1,1,Townhouse,https://www.realestateview.com.au/property/regents-park/townhouse-10,realestateview.com.au
"Guide $2,341,685",2341685.0,"237 High St, Regents Park NSW 2491",Regents Park,2,3,2,Villa,https://www.realestate.com.au/property/regents-park/villa-11,realestate.com.au
"$1,615,699 ONO",1615699.0,"115 Beach Rd, Regents Park NSW 2731",Regents Park,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/regents-park/apartment--unit--flat-12,realestateview.com.au
"Guide $1,319,901",1319901.0,"822 High St, Regents Park NSW 2868",Regents Park,4,1,1,Villa,https://www.realestateview.com.au/property/regents-park/villa-13,realestateview.com.au
"From $1,153,204",1153204.0,"751 Park Ave, Regents Park NSW 2727",Regents Park,5,3,3,Penthouse,https://www.rent.com.au/property/regents-park/penthouse-14,rent.com.au
"From $2,059,172",2059172.0,"548 George St, Regents Park NSW 2418",Regents Park,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/regents-park/apartment--unit--flat-15,realestate.com.au
"Guide $1,695,819",1695819.0,"624 George St, Regents Park NSW 2770",Regents Park,2,1,1,House,https://www.rent.com.au/property/regents-park/house-16,rent.com.au
"$937,731 ONO",937731.0,"391 Elizabeth St, Regents Park NSW 2537",Regents Park,0,1,4,Studio,https://www.realestateview.com.au/property/regents-park/studio-17,realestateview.com.au
"From $2,392,444",2392444.0,"533 Albert St, Regents Park NSW 2524",Regents Park,3,3,1,Townhouse,https://www.domain.com.au/property/regents-park/townhouse-19,domain.com.au
"$1,602,569 ONO",1602569.0,"247 Park Ave, Regents Park NSW 2071",Regents Park,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/regents-park/apartment--unit--flat-20,domain.com.au
"$1,412,609 - $1,472,724",1412609.0,"291 Military Rd, Regents Park NSW 2336",Regents Park,6,3,1,Penthouse,https://www.rent.com.au/property/regents-park/penthouse-21,rent.com.au
"$2,255,671 ONO",2255671.0,"445 Market St, Regents Park NSW 2618",Regents Park,2,2,2,Townhouse,https://www.rent.com.au/property/regents-park/townhouse-22,rent.com.au
"$1,682,960 - $1,788,105",1682960.0,"874 The Boulevarde, Regents Park NSW 2102",Regents Park,4,4,2,Penthouse,https://www.domain.com.au/property/regents-park/penthouse-23,domain.com.au
"Guide $1,004,131",1004131.0,"820 Park Ave, Regents Park NSW 2010",Regents Park,2,1,2,Townhouse,https://www.realestateview.com.au/property/regents-park/townhouse-24,realestateview.com.au
