price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$604,481 - $821,618",604481.0,"317 Railway St, Revesby NSW 2795",Revesby,0,1,2,Studio,https://www.domain.com.au/property/revesby/studio-0,domain.com.au
"$746,147",746147.0,"322 King St, Revesby NSW 2699",Revesby,4,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/revesby/apartment--unit--flat-1,realestate.com.au
"$1,009,954 ONO",1009954.0,"466 Edward St, Revesby NSW 2893",Revesby,2,1,3,Townhouse,https://www.realestateview.com.au/property/revesby/townhouse-2,realestateview.com.au
"From $1,632,415",1632415.0,"423 Pacific Highway, Revesby NSW 2791",Revesby,0,1,0,Studio,https://www.domain.com.au/property/revesby/studio-3,domain.com.au
"$2,392,335 ONO",2392335.0,"155 The Boulevarde, Revesby NSW 2437",Revesby,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/revesby/apartment--unit--flat-4,realestate.com.au
"From $2,129,977",2129977.0,"537 Ocean Rd, Revesby NSW 2478",Revesby,3,2,4,Townhouse,https://www.domain.com.au/property/revesby/townhouse-5,domain.com.au
"From $652,789",652789.0,"994 Park Ave, Revesby NSW 2656",Revesby,4,3,3,House,https://www.realestate.com.au/property/revesby/house-6,realestate.com.au
"From $1,219,906",1219906.0,"225 William St, Revesby NSW 2117",Revesby,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/revesby/apartment--unit--flat-8,realestate.com.au
"$1,311,609 - $1,403,186",1311609.0,"830 Market St, Revesby NSW 2711",Revesby,2,2,2,Villa,https://www.realestate.com.au/property/revesby/villa-9,realestate.com.au
"Guide $1,769,076",1769076.0,"11 Main St, Revesby NSW 2695",Revesby,3,2,3,House,https://www.realestateview.com.au/property/revesby/house-11,realestateview.com.au
"Guide $727,483",727483.0,"715 George St, Revesby NSW 2129",Revesby,3,1,3,Townhouse,https://www.rent.com.au/property/revesby/townhouse-12,rent.com.au
"$2,309,739 ONO",2309739.0,"810 Railway St, Revesby NSW 2775",Revesby,1,2,2,Townhouse,https://www.realestateview.com.au/property/revesby/townhouse-13,realestateview.com.au
"From $562,894",562894.0,"571 Elizabeth St, Revesby NSW 2173",Revesby,0,1,0,Studio,https://www.domain.com.au/property/revesby/studio-14,domain.com.au
"$1,997,436",1997436.0,"391 Church St, Revesby NSW 2690",Revesby,3,4,2,Townhouse,https://www.domain.com.au/property/revesby/townhouse-15,domain.com.au
"$1,093,582 ONO",1093582.0,"978 Albert St, Revesby NSW 2183",Revesby,2,3,2,Townhouse,https://www.domain.com.au/property/revesby/townhouse-16,domain.com.au
"Guide $1,972,931",1972931.0,"142 High St, Revesby NSW 2856",Revesby,2,1,3,House,https://www.domain.com.au/property/revesby/house-17,domain.com.au
"$612,299 ONO",612299.0,"49 High St, Revesby NSW 2318",Revesby,4,1,1,Townhouse,https://www.realestateview.com.au/property/revesby/townhouse-18,realestateview.com.au
"$1,964,841 ONO",1964841.0,"484 Pacific Highway, Revesby NSW 2870",Revesby,0,1,0,Studio,https://www.domain.com.au/property/revesby/studio-19,domain.com.au
"$1,867,481",1867481.0,"941 James St, Revesby NSW 2703",Revesby,3,3,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/revesby/apartment--unit--flat-20,realestateview.com.au
"$1,217,977 - $1,495,298",1217977.0,"659 Main St, Revesby NSW 2488",Revesby,0,1,2,Studio,https://www.domain.com.au/property/revesby/studio-21,domain.com.au
"Guide $1,996,465",1996465.0,"3 Park Ave, Revesby NSW 2327",Revesby,2,1,0,Villa,https://www.realestate.com.au/property/revesby/villa-22,realestate.com.au
"$1,679,345 - $1,943,380",1679345.0,"16 High St, Revesby NSW 2816",Revesby,4,4,2,Townhouse,https://www.realestateview.com.au/property/revesby/townhouse-23,realestateview.com.au
"$1,944,048",1944048.0,"233 Railway St, Revesby NSW 2573",Revesby,1,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/revesby/apartment--unit--flat-24,domain.com.au
