price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,401,184 ONO",1401184.0,"535 Railway St, Revesby Heights NSW 2901",Revesby Heights,1,2,0,Villa,https://www.rent.com.au/property/revesby-heights/villa-0,rent.com.au
"From $1,426,912",1426912.0,"182 High St, Revesby Heights NSW 2611",Revesby Heights,4,1,2,Townhouse,https://www.realestate.com.au/property/revesby-heights/townhouse-1,realestate.com.au
"$2,036,784 - $2,211,877",2036784.0,"329 Market St, Revesby Heights NSW 2232",Revesby Heights,1,2,1,Townhouse,https://www.rent.com.au/property/revesby-heights/townhouse-2,rent.com.au
"$935,254 - $991,434",935254.0,"596 James St, Revesby Heights NSW 2925",Revesby Heights,0,1,0,Studio,https://www.rent.com.au/property/revesby-heights/studio-5,rent.com.au
"$812,367 - $977,173",812367.0,"979 High St, Revesby Heights NSW 2075",Revesby Heights,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/revesby-heights/apartment--unit--flat-6,domain.com.au
"$795,202 ONO",795202.0,"350 The Boulevarde, Revesby Heights NSW 2227",Revesby Heights,0,1,1,Studio,https://www.rent.com.au/property/revesby-heights/studio-7,rent.com.au
"Guide $1,734,198",1734198.0,"847 King St, Revesby Heights NSW 2033",Revesby Heights,2,2,0,Townhouse,https://www.rent.com.au/property/revesby-heights/townhouse-8,rent.com.au
"$1,902,910 - $1,959,495",1902910.0,"339 Ocean Rd, Revesby Heights NSW 2848",Revesby Heights,4,3,1,House,https://www.rent.com.au/property/revesby-heights/house-9,rent.com.au
"$1,753,459",1753459.0,"504 Market St, Revesby Heights NSW 2427",Revesby Heights,3,3,4,House,https://www.domain.com.au/property/revesby-heights/house-10,domain.com.au
"$1,570,685 - $1,666,021",1570685.0,"432 Elizabeth St, Revesby Heights NSW 2530",Revesby Heights,4,1,1,Villa,https://www.rent.com.au/property/revesby-heights/villa-11,rent.com.au
"$1,118,232",1118232.0,"572 Victoria St, Revesby Heights NSW 2355",Revesby Heights,3,4,2,Townhouse,https://www.realestate.com.au/property/revesby-heights/townhouse-12,realestate.com.au
"Guide $1,788,773",1788773.0,"147 Beach Rd, Revesby Heights NSW 2153",Revesby Heights,5,4,2,Penthouse,https://www.domain.com.au/property/revesby-heights/penthouse-13,domain.com.au
"$1,354,839 - $1,608,250",1354839.0,"760 Railway St, Revesby Heights NSW 2921",Revesby Heights,5,3,0,Townhouse,https://www.domain.com.au/property/revesby-heights/townhouse-14,domain.com.au
"Guide $1,079,782",1079782.0,"902 Railway St, Revesby Heights NSW 2449",Revesby Heights,1,2,1,Villa,https://www.domain.com.au/property/revesby-heights/villa-15,domain.com.au
"$606,317",606317.0,"804 Elizabeth St, Revesby Heights NSW 2488",Revesby Heights,0,1,1,Studio,https://www.domain.com.au/property/revesby-heights/studio-16,domain.com.au
"$889,445 ONO",889445.0,"655 Princes Highway, Revesby Heights NSW 2947",Revesby Heights,2,3,2,House,https://www.rent.com.au/property/revesby-heights/house-17,rent.com.au
"Guide $1,956,216",1956216.0,"436 Pacific Highway, Revesby Heights NSW 2767",Revesby Heights,3,2,1,Penthouse,https://www.realestate.com.au/property/revesby-heights/penthouse-18,realestate.com.au
"$2,019,326 ONO",2019326.0,"721 Beach Rd, Revesby Heights NSW 2519",Revesby Heights,6,4,2,Penthouse,https://www.realestateview.com.au/property/revesby-heights/penthouse-19,realestateview.com.au
"$925,817",925817.0,"450 Main St, Revesby Heights NSW 2586",Revesby Heights,6,4,0,Penthouse,https://www.rent.com.au/property/revesby-heights/penthouse-20,rent.com.au
"$2,215,803 ONO",2215803.0,"382 Beach Rd, Revesby Heights NSW 2436",Revesby Heights,4,3,0,House,https://www.realestateview.com.au/property/revesby-heights/house-21,realestateview.com.au
"$2,270,979 - $2,522,503",2270979.0,"521 Market St, Revesby Heights NSW 2072",Revesby Heights,3,2,0,Penthouse,https://www.rent.com.au/property/revesby-heights/penthouse-22,rent.com.au
"$1,860,008 ONO",1860008.0,"908 Railway St, Revesby Heights NSW 2723",Revesby Heights,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/revesby-heights/apartment--unit--flat-23,rent.com.au
"$2,224,536 ONO",2224536.0,"841 Elizabeth St, Revesby Heights NSW 2062",Revesby Heights,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/revesby-heights/apartment--unit--flat-24,realestate.com.au
