price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,873,139",1873139.0,"403 Railway St, Rhodes NSW 2476",Rhodes,3,4,0,Villa,https://www.rent.com.au/property/rhodes/villa-0,rent.com.au
"Guide $1,083,945",1083945.0,"822 William St, Rhodes NSW 2009",Rhodes,0,1,1,Studio,https://www.realestateview.com.au/property/rhodes/studio-1,realestateview.com.au
"$1,767,247",1767247.0,"832 Victoria St, Rhodes NSW 2764",Rhodes,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rhodes/apartment--unit--flat-2,rent.com.au
"From $1,915,671",1915671.0,"841 Park Ave, Rhodes NSW 2972",Rhodes,4,4,3,Penthouse,https://www.rent.com.au/property/rhodes/penthouse-3,rent.com.au
"Guide $2,086,616",2086616.0,"94 Edward St, Rhodes NSW 2535",Rhodes,3,1,2,House,https://www.rent.com.au/property/rhodes/house-4,rent.com.au
"From $885,797",885797.0,"836 Princes Highway, Rhodes NSW 2709",Rhodes,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/rhodes/apartment--unit--flat-5,domain.com.au
"$2,440,044 - $2,643,000",2440044.0,"875 Elizabeth St, Rhodes NSW 2653",Rhodes,4,2,3,Penthouse,https://www.realestate.com.au/property/rhodes/penthouse-6,realestate.com.au
"$1,952,257",1952257.0,"459 Queen St, Rhodes NSW 2768",Rhodes,4,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/rhodes/apartment--unit--flat-8,rent.com.au
"From $960,231",960231.0,"108 Victoria St, Rhodes NSW 2104",Rhodes,1,2,0,Villa,https://www.rent.com.au/property/rhodes/villa-9,rent.com.au
"$782,296 ONO",782296.0,"343 Albert St, Rhodes NSW 2635",Rhodes,3,2,2,Penthouse,https://www.rent.com.au/property/rhodes/penthouse-11,rent.com.au
"$1,573,413 - $1,720,659",1573413.0,"20 William St, Rhodes NSW 2648",Rhodes,4,2,1,Penthouse,https://www.realestate.com.au/property/rhodes/penthouse-13,realestate.com.au
"$1,720,341",1720341.0,"547 Main St, Rhodes NSW 2211",Rhodes,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/rhodes/apartment--unit--flat-14,domain.com.au
"$1,635,678 ONO",1635678.0,"511 High St, Rhodes NSW 2600",Rhodes,2,2,2,Townhouse,https://www.rent.com.au/property/rhodes/townhouse-15,rent.com.au
"From $1,081,466",1081466.0,"820 King St, Rhodes NSW 2627",Rhodes,5,4,1,Penthouse,https://www.domain.com.au/property/rhodes/penthouse-16,domain.com.au
"$2,129,544",2129544.0,"366 Albert St, Rhodes NSW 2701",Rhodes,4,3,1,Penthouse,https://www.realestate.com.au/property/rhodes/penthouse-17,realestate.com.au
"$882,538 ONO",882538.0,"220 Ocean Rd, Rhodes NSW 2457",Rhodes,4,4,3,Villa,https://www.realestateview.com.au/property/rhodes/villa-18,realestateview.com.au
"$652,568 - $751,974",652568.0,"322 James St, Rhodes NSW 2534",Rhodes,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rhodes/apartment--unit--flat-19,rent.com.au
"From $900,128",900128.0,"988 Victoria St, Rhodes NSW 2892",Rhodes,6,4,2,Penthouse,https://www.domain.com.au/property/rhodes/penthouse-20,domain.com.au
"$712,483",712483.0,"191 Queen St, Rhodes NSW 2400",Rhodes,4,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rhodes/apartment--unit--flat-21,realestateview.com.au
"$577,221 ONO",577221.0,"375 Princes Highway, Rhodes NSW 2881",Rhodes,5,4,0,Townhouse,https://www.realestateview.com.au/property/rhodes/townhouse-22,realestateview.com.au
"$1,150,536",1150536.0,"938 Park Ave, Rhodes NSW 2881",Rhodes,5,4,0,Penthouse,https://www.domain.com.au/property/rhodes/penthouse-23,domain.com.au
"From $1,827,138",1827138.0,"213 Elizabeth St, Rhodes NSW 2707",Rhodes,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/rhodes/apartment--unit--flat-24,realestate.com.au
