price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$583,590 ONO",583590.0,"951 James St, Riverview NSW 2503",Riverview,3,1,3,House,https://www.domain.com.au/property/riverview/house-0,domain.com.au
"$1,410,012 - $1,530,317",1410012.0,"642 Park Ave, Riverview NSW 2144",Riverview,2,2,1,Townhouse,https://www.rent.com.au/property/riverview/townhouse-1,rent.com.au
"$1,116,461 - $1,402,598",1116461.0,"29 Albert St, Riverview NSW 2891",Riverview,6,3,2,Penthouse,https://www.domain.com.au/property/riverview/penthouse-4,domain.com.au
"$2,093,580",2093580.0,"190 The Boulevarde, Riverview NSW 2231",Riverview,2,2,1,Townhouse,https://www.domain.com.au/property/riverview/townhouse-5,domain.com.au
"From $810,364",810364.0,"430 Queen St, Riverview NSW 2211",Riverview,2,1,1,House,https://www.realestate.com.au/property/riverview/house-6,realestate.com.au
"From $2,490,388",2490388.0,"329 Church St, Riverview NSW 2383",Riverview,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/riverview/apartment--unit--flat-8,domain.com.au
"$856,078 ONO",856078.0,"492 Princes Highway, Riverview NSW 2118",Riverview,3,4,1,Penthouse,https://www.realestate.com.au/property/riverview/penthouse-9,realestate.com.au
"$670,657",670657.0,"887 Albert St, Riverview NSW 2731",Riverview,2,1,4,Villa,https://www.realestate.com.au/property/riverview/villa-11,realestate.com.au
"Guide $1,997,650",1997650.0,"710 Military Rd, Riverview NSW 2604",Riverview,3,3,1,Penthouse,https://www.domain.com.au/property/riverview/penthouse-12,domain.com.au
"From $2,157,938",2157938.0,"499 Railway St, Riverview NSW 2556",Riverview,2,2,1,House,https://www.rent.com.au/property/riverview/house-14,rent.com.au
"$952,776",952776.0,"933 Market St, Riverview NSW 2250",Riverview,0,1,0,Studio,https://www.realestate.com.au/property/riverview/studio-15,realestate.com.au
"$589,661",589661.0,"850 Main St, Riverview NSW 2623",Riverview,3,3,3,House,https://www.domain.com.au/property/riverview/house-16,domain.com.au
"$789,216 ONO",789216.0,"292 Main St, Riverview NSW 2036",Riverview,3,3,3,Penthouse,https://www.realestateview.com.au/property/riverview/penthouse-17,realestateview.com.au
"From $1,685,995",1685995.0,"983 Park Ave, Riverview NSW 2701",Riverview,4,2,0,Penthouse,https://www.rent.com.au/property/riverview/penthouse-18,rent.com.au
"$1,344,185 - $1,484,483",1344185.0,"510 James St, Riverview NSW 2169",Riverview,6,4,3,Penthouse,https://www.domain.com.au/property/riverview/penthouse-19,domain.com.au
"$2,436,837 ONO",2436837.0,"393 Pacific Highway, Riverview NSW 2775",Riverview,3,2,2,Penthouse,https://www.realestateview.com.au/property/riverview/penthouse-20,realestateview.com.au
"Guide $930,131",930131.0,"90 Princes Highway, Riverview NSW 2617",Riverview,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/riverview/apartment--unit--flat-21,rent.com.au
"From $1,109,825",1109825.0,"35 King St, Riverview NSW 2727",Riverview,2,3,4,Villa,https://www.domain.com.au/property/riverview/villa-22,domain.com.au
"$1,895,559 - $2,044,100",1895559.0,"462 George St, Riverview NSW 2387",Riverview,4,2,1,Penthouse,https://www.realestateview.com.au/property/riverview/penthouse-23,realestateview.com.au
"From $2,401,725",2401725.0,"461 James St, Riverview NSW 2594",Riverview,3,1,0,House,https://www.realestateview.com.au/property/riverview/house-24,realestateview.com.au
