price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,413,840",2413840.0,"505 High St, Rodd Point NSW 2642",Rodd Point,4,3,0,Townhouse,https://www.realestate.com.au/property/rodd-point/townhouse-0,realestate.com.au
"$699,279 - $941,353",699279.0,"917 Main St, Rodd Point NSW 2393",Rodd Point,4,4,3,Penthouse,https://www.rent.com.au/property/rodd-point/penthouse-3,rent.com.au
"From $2,411,933",2411933.0,"859 Edward St, Rodd Point NSW 2761",Rodd Point,0,1,2,Studio,https://www.realestateview.com.au/property/rodd-point/studio-4,realestateview.com.au
"Guide $988,363",988363.0,"580 High St, Rodd Point NSW 2423",Rodd Point,2,2,1,House,https://www.rent.com.au/property/rodd-point/house-5,rent.com.au
"$744,209",744209.0,"839 Pacific Highway, Rodd Point NSW 2878",Rodd Point,5,4,2,Penthouse,https://www.domain.com.au/property/rodd-point/penthouse-6,domain.com.au
"$893,719",893719.0,"365 Ocean Rd, Rodd Point NSW 2952",Rodd Point,6,3,3,Penthouse,https://www.rent.com.au/property/rodd-point/penthouse-7,rent.com.au
"$1,669,122 ONO",1669122.0,"917 Pacific Highway, Rodd Point NSW 2145",Rodd Point,4,4,3,Penthouse,https://www.realestateview.com.au/property/rodd-point/penthouse-8,realestateview.com.au
"$633,358",633358.0,"718 The Boulevarde, Rodd Point NSW 2061",Rodd Point,1,2,1,Villa,https://www.realestate.com.au/property/rodd-point/villa-9,realestate.com.au
"$607,837 - $829,088",607837.0,"999 Victoria St, Rodd Point NSW 2416",Rodd Point,3,4,0,Townhouse,https://www.domain.com.au/property/rodd-point/townhouse-10,domain.com.au
"$2,120,344",2120344.0,"362 High St, Rodd Point NSW 2195",Rodd Point,3,2,2,Penthouse,https://www.realestate.com.au/property/rodd-point/penthouse-11,realestate.com.au
"$1,476,482",1476482.0,"615 Victoria St, Rodd Point NSW 2373",Rodd Point,6,4,2,Penthouse,https://www.realestateview.com.au/property/rodd-point/penthouse-12,realestateview.com.au
"Guide $2,007,459",2007459.0,"933 Edward St, Rodd Point NSW 2718",Rodd Point,4,2,2,Penthouse,https://www.realestate.com.au/property/rodd-point/penthouse-14,realestate.com.au
"$1,613,585",1613585.0,"408 High St, Rodd Point NSW 2148",Rodd Point,4,3,2,Villa,https://www.domain.com.au/property/rodd-point/villa-15,domain.com.au
"$709,640 ONO",709640.0,"711 High St, Rodd Point NSW 2142",Rodd Point,0,1,2,Studio,https://www.rent.com.au/property/rodd-point/studio-16,rent.com.au
"From $1,679,712",1679712.0,"407 Edward St, Rodd Point NSW 2320",Rodd Point,4,3,0,Villa,https://www.domain.com.au/property/rodd-point/villa-17,domain.com.au
"From $602,557",602557.0,"44 Beach Rd, Rodd Point NSW 2104",Rodd Point,4,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/rodd-point/apartment--unit--flat-18,realestate.com.au
"$1,118,218 - $1,174,603",1118218.0,"643 James St, Rodd Point NSW 2593",Rodd Point,6,3,2,Penthouse,https://www.realestate.com.au/property/rodd-point/penthouse-19,realestate.com.au
"$2,282,008 - $2,349,189",2282008.0,"733 The Boulevarde, Rodd Point NSW 2922",Rodd Point,3,2,0,Penthouse,https://www.realestateview.com.au/property/rodd-point/penthouse-20,realestateview.com.au
"$2,419,354 ONO",2419354.0,"670 High St, Rodd Point NSW 2979",Rodd Point,4,4,1,Penthouse,https://www.domain.com.au/property/rodd-point/penthouse-21,domain.com.au
"$1,793,556 - $2,052,092",1793556.0,"203 Elizabeth St, Rodd Point NSW 2614",Rodd Point,1,2,3,House,https://www.realestate.com.au/property/rodd-point/house-22,realestate.com.au
"Guide $1,091,533",1091533.0,"959 George St, Rodd Point NSW 2627",Rodd Point,4,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/rodd-point/apartment--unit--flat-23,rent.com.au
"$658,172 - $736,996",658172.0,"826 Church St, Rodd Point NSW 2920",Rodd Point,2,3,0,Townhouse,https://www.realestateview.com.au/property/rodd-point/townhouse-24,realestateview.com.au
