price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,297,758",1297758.0,"671 The Boulevarde, Rooty Hill NSW 2574",Rooty Hill,1,2,2,Villa,https://www.realestateview.com.au/property/rooty-hill/villa-0,realestateview.com.au
"$2,022,043 - $2,074,605",2022043.0,"776 William St, Rooty Hill NSW 2384",Rooty Hill,6,2,3,Penthouse,https://www.realestate.com.au/property/rooty-hill/penthouse-2,realestate.com.au
"$2,042,724 - $2,154,249",2042724.0,"326 Elizabeth St, Rooty Hill NSW 2504",Rooty Hill,3,1,0,Townhouse,https://www.realestateview.com.au/property/rooty-hill/townhouse-3,realestateview.com.au
"$1,461,285 ONO",1461285.0,"783 Ocean Rd, Rooty Hill NSW 2754",Rooty Hill,2,2,0,House,https://www.realestate.com.au/property/rooty-hill/house-4,realestate.com.au
"From $1,342,006",1342006.0,"620 Albert St, Rooty Hill NSW 2505",Rooty Hill,0,1,0,Studio,https://www.domain.com.au/property/rooty-hill/studio-5,domain.com.au
"Guide $1,478,611",1478611.0,"799 Market St, Rooty Hill NSW 2128",Rooty Hill,5,2,0,Penthouse,https://www.realestate.com.au/property/rooty-hill/penthouse-6,realestate.com.au
"$2,093,537",2093537.0,"70 Edward St, Rooty Hill NSW 2881",Rooty Hill,3,2,4,Apartment / Unit / Flat,https://www.domain.com.au/property/rooty-hill/apartment--unit--flat-8,domain.com.au
"$1,184,691",1184691.0,"65 Pacific Highway, Rooty Hill NSW 2381",Rooty Hill,4,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/rooty-hill/apartment--unit--flat-10,domain.com.au
"From $2,103,364",2103364.0,"560 Railway St, Rooty Hill NSW 2916",Rooty Hill,4,4,1,Villa,https://www.realestateview.com.au/property/rooty-hill/villa-11,realestateview.com.au
"$1,872,932 - $2,129,756",1872932.0,"88 Military Rd, Rooty Hill NSW 2752",Rooty Hill,5,3,2,Penthouse,https://www.domain.com.au/property/rooty-hill/penthouse-13,domain.com.au
"$910,283 ONO",910283.0,"2 William St, Rooty Hill NSW 2656",Rooty Hill,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rooty-hill/apartment--unit--flat-14,rent.com.au
"From $764,428",764428.0,"424 King St, Rooty Hill NSW 2223",Rooty Hill,4,2,2,Townhouse,https://www.domain.com.au/property/rooty-hill/townhouse-15,domain.com.au
"$679,073 - $897,878",679073.0,"209 William St, Rooty Hill NSW 2159",Rooty Hill,5,4,0,Penthouse,https://www.realestate.com.au/property/rooty-hill/penthouse-16,realestate.com.au
"$895,412 - $1,057,716",895412.0,"630 Pacific Highway, Rooty Hill NSW 2176",Rooty Hill,1,1,0,Townhouse,https://www.rent.com.au/property/rooty-hill/townhouse-17,rent.com.au
"$1,807,449",1807449.0,"179 Main St, Rooty Hill NSW 2678",Rooty Hill,6,4,1,Penthouse,https://www.rent.com.au/property/rooty-hill/penthouse-19,rent.com.au
"$1,150,873 ONO",1150873.0,"672 Edward St, Rooty Hill NSW 2470",Rooty Hill,2,3,0,Villa,https://www.rent.com.au/property/rooty-hill/villa-20,rent.com.au
"$1,856,705",1856705.0,"871 Edward St, Rooty Hill NSW 2350",Rooty Hill,4,4,1,Villa,https://www.realestateview.com.au/property/rooty-hill/villa-21,realestateview.com.au
"Guide $518,132",518132.0,"98 Railway St, Rooty Hill NSW 2290",Rooty Hill,3,1,0,Townhouse,https://www.rent.com.au/property/rooty-hill/townhouse-23,rent.com.au
