price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,482,455 - $3,594,798",3482455.0,"149 James St, Rose Bay NSW 2387",Rose Bay,5,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rose-bay/apartment--unit--flat-0,rent.com.au
"$3,366,262 ONO",3366262.0,"565 William St, Rose Bay NSW 2236",Rose Bay,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/rose-bay/apartment--unit--flat-5,realestate.com.au
"Guide $3,246,321",3246321.0,"485 Ocean Rd, Rose Bay NSW 2234",Rose Bay,4,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rose-bay/apartment--unit--flat-9,rent.com.au
"$5,197,776 - $5,406,095",5197776.0,"850 George St, Rose Bay NSW 2374",Rose Bay,2,1,2,Terrace,https://www.rent.com.au/property/rose-bay/terrace-10,rent.com.au
"$4,201,596 ONO",4201596.0,"225 Edward St, Rose Bay NSW 2623",Rose Bay,3,3,3,House,https://www.domain.com.au/property/rose-bay/house-12,domain.com.au
"$2,209,919",2209919.0,"178 Edward St, Rose Bay NSW 2810",Rose Bay,5,2,2,Penthouse,https://www.rent.com.au/property/rose-bay/penthouse-13,rent.com.au
"$3,992,079 - $4,082,620",3992079.0,"307 Main St, Rose Bay NSW 2611",Rose Bay,3,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rose-bay/apartment--unit--flat-14,realestateview.com.au
"$2,738,417 ONO",2738417.0,"183 Princes Highway, Rose Bay NSW 2738",Rose Bay,3,1,0,Terrace,https://www.realestate.com.au/property/rose-bay/terrace-15,realestate.com.au
"Guide $4,524,129",4524129.0,"21 George St, Rose Bay NSW 2451",Rose Bay,3,2,2,Penthouse,https://www.realestateview.com.au/property/rose-bay/penthouse-19,realestateview.com.au
"$2,103,329 ONO",2103329.0,"152 Church St, Rose Bay NSW 2599",Rose Bay,4,3,1,Terrace,https://www.realestate.com.au/property/rose-bay/terrace-22,realestate.com.au
