price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,983,776",1983776.0,"419 Main St, Rosebery NSW 2249",Rosebery,0,1,1,Studio,https://www.rent.com.au/property/rosebery/studio-1,rent.com.au
"$2,472,846 - $2,720,778",2472846.0,"405 Ocean Rd, Rosebery NSW 2877",Rosebery,1,2,2,Townhouse,https://www.domain.com.au/property/rosebery/townhouse-2,domain.com.au
"From $1,827,352",1827352.0,"891 Main St, Rosebery NSW 2386",Rosebery,3,3,4,Penthouse,https://www.realestate.com.au/property/rosebery/penthouse-3,realestate.com.au
"$2,071,507 ONO",2071507.0,"143 Beach Rd, Rosebery NSW 2185",Rosebery,6,3,4,Penthouse,https://www.rent.com.au/property/rosebery/penthouse-4,rent.com.au
"$1,833,966",1833966.0,"613 Military Rd, Rosebery NSW 2143",Rosebery,1,2,2,Townhouse,https://www.realestateview.com.au/property/rosebery/townhouse-5,realestateview.com.au
"$2,463,879 - $2,752,627",2463879.0,"824 Park Ave, Rosebery NSW 2500",Rosebery,2,2,1,Townhouse,https://www.domain.com.au/property/rosebery/townhouse-6,domain.com.au
"$1,461,461 ONO",1461461.0,"938 Park Ave, Rosebery NSW 2249",Rosebery,5,3,2,Villa,https://www.realestateview.com.au/property/rosebery/villa-7,realestateview.com.au
"$1,262,878",1262878.0,"72 James St, Rosebery NSW 2221",Rosebery,4,3,1,House,https://www.rent.com.au/property/rosebery/house-8,rent.com.au
"$1,387,704 - $1,674,110",1387704.0,"72 Railway St, Rosebery NSW 2511",Rosebery,1,1,4,Villa,https://www.realestateview.com.au/property/rosebery/villa-10,realestateview.com.au
"Guide $1,279,327",1279327.0,"353 Edward St, Rosebery NSW 2743",Rosebery,0,1,2,Studio,https://www.realestateview.com.au/property/rosebery/studio-11,realestateview.com.au
"$857,093 ONO",857093.0,"137 Edward St, Rosebery NSW 2484",Rosebery,3,1,3,House,https://www.realestateview.com.au/property/rosebery/house-12,realestateview.com.au
"Guide $905,736",905736.0,"626 Ocean Rd, Rosebery NSW 2103",Rosebery,3,3,1,Villa,https://www.rent.com.au/property/rosebery/villa-13,rent.com.au
"Guide $1,280,253",1280253.0,"846 King St, Rosebery NSW 2505",Rosebery,3,4,4,Townhouse,https://www.domain.com.au/property/rosebery/townhouse-15,domain.com.au
"$1,417,807",1417807.0,"543 Queen St, Rosebery NSW 2626",Rosebery,4,4,1,Villa,https://www.rent.com.au/property/rosebery/villa-16,rent.com.au
"$1,201,969 - $1,428,801",1201969.0,"250 Victoria St, Rosebery NSW 2763",Rosebery,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rosebery/apartment--unit--flat-17,realestateview.com.au
"From $1,304,973",1304973.0,"441 King St, Rosebery NSW 2688",Rosebery,0,1,2,Studio,https://www.realestate.com.au/property/rosebery/studio-18,realestate.com.au
"$2,246,636 ONO",2246636.0,"642 James St, Rosebery NSW 2062",Rosebery,4,1,2,Townhouse,https://www.realestateview.com.au/property/rosebery/townhouse-19,realestateview.com.au
"$1,596,590 ONO",1596590.0,"410 Railway St, Rosebery NSW 2062",Rosebery,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/rosebery/apartment--unit--flat-21,realestate.com.au
"$1,392,914 ONO",1392914.0,"588 George St, Rosebery NSW 2909",Rosebery,1,2,2,House,https://www.realestate.com.au/property/rosebery/house-22,realestate.com.au
"Guide $1,072,860",1072860.0,"706 Albert St, Rosebery NSW 2193",Rosebery,3,3,0,Townhouse,https://www.rent.com.au/property/rosebery/townhouse-23,rent.com.au
"$1,345,218 ONO",1345218.0,"371 Queen St, Rosebery NSW 2479",Rosebery,0,1,3,Studio,https://www.domain.com.au/property/rosebery/studio-24,domain.com.au
