price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $721,647",721647.0,"668 Church St, Roseville NSW 2907",Roseville,5,3,0,House,https://www.rent.com.au/property/roseville/house-0,rent.com.au
"$818,390",818390.0,"1 James St, Roseville NSW 2339",Roseville,1,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/roseville/apartment--unit--flat-1,rent.com.au
"$1,598,240 - $1,774,851",1598240.0,"536 Princes Highway, Roseville NSW 2591",Roseville,4,3,2,Villa,https://www.realestateview.com.au/property/roseville/villa-2,realestateview.com.au
"$2,348,543",2348543.0,"674 Edward St, Roseville NSW 2262",Roseville,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/roseville/apartment--unit--flat-3,realestate.com.au
"$2,249,096 - $2,319,273",2249096.0,"561 Main St, Roseville NSW 2711",Roseville,4,4,2,Townhouse,https://www.realestateview.com.au/property/roseville/townhouse-5,realestateview.com.au
"Guide $2,196,187",2196187.0,"506 Military Rd, Roseville NSW 2133",Roseville,4,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/roseville/apartment--unit--flat-6,realestate.com.au
"Guide $1,438,919",1438919.0,"555 Princes Highway, Roseville NSW 2536",Roseville,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/roseville/apartment--unit--flat-7,realestateview.com.au
"$844,792 ONO",844792.0,"402 James St, Roseville NSW 2636",Roseville,4,3,1,Penthouse,https://www.domain.com.au/property/roseville/penthouse-8,domain.com.au
"$1,871,135 - $1,989,568",1871135.0,"476 Military Rd, Roseville NSW 2936",Roseville,3,4,1,Penthouse,https://www.domain.com.au/property/roseville/penthouse-9,domain.com.au
"From $2,440,374",2440374.0,"619 Elizabeth St, Roseville NSW 2208",Roseville,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/roseville/apartment--unit--flat-10,realestate.com.au
"$1,494,367 ONO",1494367.0,"976 Elizabeth St, Roseville NSW 2675",Roseville,4,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/roseville/apartment--unit--flat-11,realestateview.com.au
"$634,476 ONO",634476.0,"747 George St, Roseville NSW 2906",Roseville,6,3,0,Penthouse,https://www.realestateview.com.au/property/roseville/penthouse-12,realestateview.com.au
"$1,877,185 - $2,098,821",1877185.0,"998 Edward St, Roseville NSW 2071",Roseville,1,1,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/roseville/apartment--unit--flat-13,realestate.com.au
"$2,082,058 - $2,194,013",2082058.0,"865 William St, Roseville NSW 2984",Roseville,0,1,1,Studio,https://www.rent.com.au/property/roseville/studio-14,rent.com.au
"$529,580",529580.0,"968 Pacific Highway, Roseville NSW 2661",Roseville,3,3,3,Townhouse,https://www.domain.com.au/property/roseville/townhouse-15,domain.com.au
"$1,873,766 - $2,019,906",1873766.0,"759 Princes Highway, Roseville NSW 2829",Roseville,1,1,1,Townhouse,https://www.rent.com.au/property/roseville/townhouse-16,rent.com.au
"$1,995,589 - $2,109,128",1995589.0,"916 Princes Highway, Roseville NSW 2455",Roseville,4,1,2,Townhouse,https://www.rent.com.au/property/roseville/townhouse-17,rent.com.au
"From $2,275,119",2275119.0,"185 Main St, Roseville NSW 2976",Roseville,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/roseville/apartment--unit--flat-18,rent.com.au
"From $1,220,104",1220104.0,"53 Main St, Roseville NSW 2854",Roseville,0,1,2,Studio,https://www.rent.com.au/property/roseville/studio-20,rent.com.au
"From $1,423,137",1423137.0,"306 Queen St, Roseville NSW 2573",Roseville,0,1,0,Studio,https://www.realestateview.com.au/property/roseville/studio-21,realestateview.com.au
"$2,292,389",2292389.0,"20 George St, Roseville NSW 2310",Roseville,4,3,1,House,https://www.domain.com.au/property/roseville/house-22,domain.com.au
"$1,182,902 - $1,385,376",1182902.0,"635 Beach Rd, Roseville NSW 2626",Roseville,4,2,0,House,https://www.realestate.com.au/property/roseville/house-23,realestate.com.au
"From $1,105,464",1105464.0,"802 King St, Roseville NSW 2303",Roseville,6,3,3,Penthouse,https://www.realestate.com.au/property/roseville/penthouse-24,realestate.com.au
