price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,423,904",2423904.0,"312 Edward St, Roseville Chase NSW 2370",Roseville Chase,0,1,2,Studio,https://www.realestate.com.au/property/roseville-chase/studio-0,realestate.com.au
"From $1,047,390",1047390.0,"640 Park Ave, Roseville Chase NSW 2907",Roseville Chase,4,4,1,Penthouse,https://www.realestateview.com.au/property/roseville-chase/penthouse-1,realestateview.com.au
"From $1,093,064",1093064.0,"540 George St, Roseville Chase NSW 2654",Roseville Chase,0,1,2,Studio,https://www.realestate.com.au/property/roseville-chase/studio-2,realestate.com.au
"$1,448,024 - $1,652,770",1448024.0,"604 Pacific Highway, Roseville Chase NSW 2458",Roseville Chase,5,4,0,House,https://www.rent.com.au/property/roseville-chase/house-3,rent.com.au
"$1,204,013 ONO",1204013.0,"654 High St, Roseville Chase NSW 2155",Roseville Chase,2,2,0,House,https://www.realestateview.com.au/property/roseville-chase/house-4,realestateview.com.au
"$664,203 ONO",664203.0,"816 Ocean Rd, Roseville Chase NSW 2292",Roseville Chase,2,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/roseville-chase/apartment--unit--flat-5,rent.com.au
"$2,496,069",2496069.0,"139 The Boulevarde, Roseville Chase NSW 2156",Roseville Chase,5,4,1,Penthouse,https://www.realestate.com.au/property/roseville-chase/penthouse-6,realestate.com.au
"$1,270,248 - $1,473,788",1270248.0,"120 Edward St, Roseville Chase NSW 2061",Roseville Chase,0,1,0,Studio,https://www.realestateview.com.au/property/roseville-chase/studio-7,realestateview.com.au
"Guide $1,271,765",1271765.0,"518 The Boulevarde, Roseville Chase NSW 2258",Roseville Chase,1,1,0,Villa,https://www.realestate.com.au/property/roseville-chase/villa-8,realestate.com.au
"$896,312",896312.0,"472 King St, Roseville Chase NSW 2717",Roseville Chase,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/roseville-chase/apartment--unit--flat-9,rent.com.au
"Guide $1,122,937",1122937.0,"886 George St, Roseville Chase NSW 2884",Roseville Chase,3,4,0,Townhouse,https://www.realestate.com.au/property/roseville-chase/townhouse-10,realestate.com.au
"$1,710,992 - $1,807,815",1710992.0,"289 Main St, Roseville Chase NSW 2515",Roseville Chase,1,1,3,Townhouse,https://www.domain.com.au/property/roseville-chase/townhouse-11,domain.com.au
"Guide $1,385,731",1385731.0,"770 Military Rd, Roseville Chase NSW 2751",Roseville Chase,3,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/roseville-chase/apartment--unit--flat-12,domain.com.au
"From $1,467,517",1467517.0,"213 James St, Roseville Chase NSW 2009",Roseville Chase,1,1,2,Villa,https://www.domain.com.au/property/roseville-chase/villa-13,domain.com.au
"$1,875,503",1875503.0,"570 Victoria St, Roseville Chase NSW 2001",Roseville Chase,4,2,1,House,https://www.rent.com.au/property/roseville-chase/house-14,rent.com.au
"Guide $1,313,817",1313817.0,"798 Ocean Rd, Roseville Chase NSW 2106",Roseville Chase,4,2,0,House,https://www.domain.com.au/property/roseville-chase/house-15,domain.com.au
"$2,098,965",2098965.0,"863 Market St, Roseville Chase NSW 2444",Roseville Chase,0,1,2,Studio,https://www.realestateview.com.au/property/roseville-chase/studio-16,realestateview.com.au
"$1,614,324 ONO",1614324.0,"973 Main St, Roseville Chase NSW 2438",Roseville Chase,0,1,1,Studio,https://www.realestateview.com.au/property/roseville-chase/studio-17,realestateview.com.au
"$1,412,492 ONO",1412492.0,"593 Military Rd, Roseville Chase NSW 2794",Roseville Chase,5,3,1,Penthouse,https://www.rent.com.au/property/roseville-chase/penthouse-18,rent.com.au
"Guide $1,230,317",1230317.0,"273 Market St, Roseville Chase NSW 2059",Roseville Chase,3,4,0,Townhouse,https://www.rent.com.au/property/roseville-chase/townhouse-19,rent.com.au
"$1,731,183 - $1,879,627",1731183.0,"891 Military Rd, Roseville Chase NSW 2366",Roseville Chase,2,3,0,House,https://www.rent.com.au/property/roseville-chase/house-20,rent.com.au
"$1,922,276 - $2,193,069",1922276.0,"980 King St, Roseville Chase NSW 2560",Roseville Chase,2,1,1,Townhouse,https://www.rent.com.au/property/roseville-chase/townhouse-21,rent.com.au
"$910,290 ONO",910290.0,"220 Main St, Roseville Chase NSW 2681",Roseville Chase,3,1,3,Townhouse,https://www.rent.com.au/property/roseville-chase/townhouse-22,rent.com.au
"$2,339,063 ONO",2339063.0,"250 Victoria St, Roseville Chase NSW 2698",Roseville Chase,2,3,0,Villa,https://www.realestate.com.au/property/roseville-chase/villa-23,realestate.com.au
"$1,703,465",1703465.0,"138 Elizabeth St, Roseville Chase NSW 2341",Roseville Chase,4,2,0,Villa,https://www.rent.com.au/property/roseville-chase/villa-24,rent.com.au
