price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,016,173",1016173.0,"317 King St, Round Corner NSW 2146",Round Corner,4,4,0,Villa,https://www.domain.com.au/property/round-corner/villa-0,domain.com.au
"From $1,041,252",1041252.0,"604 Church St, Round Corner NSW 2213",Round Corner,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/round-corner/apartment--unit--flat-1,realestateview.com.au
"$1,916,145 ONO",1916145.0,"709 Elizabeth St, Round Corner NSW 2186",Round Corner,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/round-corner/apartment--unit--flat-2,domain.com.au
"Guide $1,044,123",1044123.0,"953 Park Ave, Round Corner NSW 2472",Round Corner,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/round-corner/apartment--unit--flat-3,realestate.com.au
"Guide $1,844,453",1844453.0,"650 Albert St, Round Corner NSW 2867",Round Corner,4,3,0,Villa,https://www.realestateview.com.au/property/round-corner/villa-4,realestateview.com.au
"$1,222,967 - $1,330,505",1222967.0,"28 Albert St, Round Corner NSW 2092",Round Corner,0,1,2,Studio,https://www.rent.com.au/property/round-corner/studio-6,rent.com.au
"Guide $2,151,238",2151238.0,"447 Church St, Round Corner NSW 2575",Round Corner,0,1,2,Studio,https://www.realestateview.com.au/property/round-corner/studio-7,realestateview.com.au
"$2,476,105",2476105.0,"482 Park Ave, Round Corner NSW 2399",Round Corner,0,1,4,Studio,https://www.rent.com.au/property/round-corner/studio-9,rent.com.au
"Guide $2,072,976",2072976.0,"746 Church St, Round Corner NSW 2247",Round Corner,3,1,0,Townhouse,https://www.domain.com.au/property/round-corner/townhouse-10,domain.com.au
"$2,406,559 - $2,593,141",2406559.0,"674 William St, Round Corner NSW 2559",Round Corner,3,3,3,Villa,https://www.realestate.com.au/property/round-corner/villa-11,realestate.com.au
"$1,492,109 - $1,733,211",1492109.0,"770 Elizabeth St, Round Corner NSW 2665",Round Corner,4,2,1,House,https://www.rent.com.au/property/round-corner/house-13,rent.com.au
"$1,280,697",1280697.0,"350 Beach Rd, Round Corner NSW 2678",Round Corner,3,1,0,Villa,https://www.realestateview.com.au/property/round-corner/villa-14,realestateview.com.au
"Guide $569,041",569041.0,"779 William St, Round Corner NSW 2810",Round Corner,3,4,3,Penthouse,https://www.realestate.com.au/property/round-corner/penthouse-15,realestate.com.au
"From $643,124",643124.0,"957 Victoria St, Round Corner NSW 2419",Round Corner,2,3,0,Townhouse,https://www.domain.com.au/property/round-corner/townhouse-16,domain.com.au
"From $949,083",949083.0,"232 Queen St, Round Corner NSW 2777",Round Corner,4,2,1,Townhouse,https://www.rent.com.au/property/round-corner/townhouse-17,rent.com.au
"$2,340,121 ONO",2340121.0,"792 Edward St, Round Corner NSW 2707",Round Corner,0,1,2,Studio,https://www.realestateview.com.au/property/round-corner/studio-18,realestateview.com.au
"$750,661",750661.0,"262 William St, Round Corner NSW 2198",Round Corner,4,4,2,Penthouse,https://www.realestateview.com.au/property/round-corner/penthouse-19,realestateview.com.au
"$891,543 ONO",891543.0,"519 King St, Round Corner NSW 2054",Round Corner,4,3,1,Townhouse,https://www.domain.com.au/property/round-corner/townhouse-20,domain.com.au
"From $2,033,282",2033282.0,"23 Market St, Round Corner NSW 2570",Round Corner,3,4,3,House,https://www.domain.com.au/property/round-corner/house-21,domain.com.au
"$2,326,632",2326632.0,"947 William St, Round Corner NSW 2909",Round Corner,4,3,1,Penthouse,https://www.realestateview.com.au/property/round-corner/penthouse-22,realestateview.com.au
"$1,993,761 - $2,161,574",1993761.0,"296 High St, Round Corner NSW 2442",Round Corner,5,4,2,Villa,https://www.realestate.com.au/property/round-corner/villa-23,realestate.com.au
"$682,378",682378.0,"918 Beach Rd, Round Corner NSW 2746",Round Corner,1,1,3,Townhouse,https://www.realestateview.com.au/property/round-corner/townhouse-24,realestateview.com.au
