price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$637,575 - $866,824",637575.0,"546 Railway St, Rouse Hill NSW 2729",Rouse Hill,2,2,3,Villa,https://www.realestate.com.au/property/rouse-hill/villa-0,realestate.com.au
"$889,947 ONO",889947.0,"430 Railway St, Rouse Hill NSW 2174",Rouse Hill,4,1,1,Villa,https://www.realestate.com.au/property/rouse-hill/villa-1,realestate.com.au
"$1,772,477 - $1,940,423",1772477.0,"344 Market St, Rouse Hill NSW 2101",Rouse Hill,3,3,2,Penthouse,https://www.rent.com.au/property/rouse-hill/penthouse-2,rent.com.au
"From $2,246,188",2246188.0,"217 William St, Rouse Hill NSW 2005",Rouse Hill,3,4,3,Villa,https://www.rent.com.au/property/rouse-hill/villa-3,rent.com.au
"Guide $2,256,675",2256675.0,"321 King St, Rouse Hill NSW 2931",Rouse Hill,3,1,2,Villa,https://www.realestate.com.au/property/rouse-hill/villa-4,realestate.com.au
"Guide $1,631,284",1631284.0,"119 Railway St, Rouse Hill NSW 2269",Rouse Hill,2,1,2,Villa,https://www.domain.com.au/property/rouse-hill/villa-5,domain.com.au
"From $1,759,567",1759567.0,"358 James St, Rouse Hill NSW 2421",Rouse Hill,3,2,0,Penthouse,https://www.realestate.com.au/property/rouse-hill/penthouse-6,realestate.com.au
"$1,640,248",1640248.0,"902 Victoria St, Rouse Hill NSW 2618",Rouse Hill,5,4,0,House,https://www.realestate.com.au/property/rouse-hill/house-7,realestate.com.au
"From $616,650",616650.0,"284 Princes Highway, Rouse Hill NSW 2675",Rouse Hill,1,1,1,House,https://www.realestateview.com.au/property/rouse-hill/house-8,realestateview.com.au
"Guide $1,924,450",1924450.0,"561 Ocean Rd, Rouse Hill NSW 2516",Rouse Hill,3,2,0,Townhouse,https://www.rent.com.au/property/rouse-hill/townhouse-9,rent.com.au
"$1,723,694 ONO",1723694.0,"505 Ocean Rd, Rouse Hill NSW 2894",Rouse Hill,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/rouse-hill/apartment--unit--flat-10,realestate.com.au
"$938,141 ONO",938141.0,"411 Park Ave, Rouse Hill NSW 2696",Rouse Hill,3,4,0,Penthouse,https://www.domain.com.au/property/rouse-hill/penthouse-13,domain.com.au
"$1,551,041 ONO",1551041.0,"246 James St, Rouse Hill NSW 2634",Rouse Hill,2,2,0,Villa,https://www.realestate.com.au/property/rouse-hill/villa-15,realestate.com.au
"$639,721",639721.0,"402 Edward St, Rouse Hill NSW 2202",Rouse Hill,3,1,1,Villa,https://www.realestateview.com.au/property/rouse-hill/villa-16,realestateview.com.au
"$1,014,406 ONO",1014406.0,"95 High St, Rouse Hill NSW 2825",Rouse Hill,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/rouse-hill/apartment--unit--flat-17,rent.com.au
"$1,139,079",1139079.0,"832 James St, Rouse Hill NSW 2658",Rouse Hill,5,3,2,Penthouse,https://www.realestateview.com.au/property/rouse-hill/penthouse-18,realestateview.com.au
"$1,042,749 ONO",1042749.0,"186 Park Ave, Rouse Hill NSW 2566",Rouse Hill,2,1,3,House,https://www.realestateview.com.au/property/rouse-hill/house-20,realestateview.com.au
"$1,731,271 ONO",1731271.0,"147 Elizabeth St, Rouse Hill NSW 2003",Rouse Hill,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/rouse-hill/apartment--unit--flat-21,domain.com.au
"From $1,219,370",1219370.0,"426 Princes Highway, Rouse Hill NSW 2034",Rouse Hill,1,2,1,Villa,https://www.realestate.com.au/property/rouse-hill/villa-22,realestate.com.au
"$2,360,092 ONO",2360092.0,"183 Military Rd, Rouse Hill NSW 2410",Rouse Hill,3,3,0,Villa,https://www.realestateview.com.au/property/rouse-hill/villa-23,realestateview.com.au
"Guide $885,999",885999.0,"356 Railway St, Rouse Hill NSW 2989",Rouse Hill,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rouse-hill/apartment--unit--flat-24,realestateview.com.au
