price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,373,960",1373960.0,"327 King St, Rozelle NSW 2455",Rozelle,4,3,0,House,https://www.rent.com.au/property/rozelle/house-0,rent.com.au
"Guide $550,206",550206.0,"773 George St, Rozelle NSW 2987",Rozelle,2,3,0,Townhouse,https://www.rent.com.au/property/rozelle/townhouse-1,rent.com.au
"From $1,992,952",1992952.0,"808 The Boulevarde, Rozelle NSW 2188",Rozelle,0,1,0,Studio,https://www.rent.com.au/property/rozelle/studio-2,rent.com.au
"$2,496,679 - $2,679,196",2496679.0,"397 Albert St, Rozelle NSW 2937",Rozelle,1,2,0,Townhouse,https://www.realestateview.com.au/property/rozelle/townhouse-3,realestateview.com.au
"$2,056,438 ONO",2056438.0,"957 Edward St, Rozelle NSW 2942",Rozelle,0,1,2,Studio,https://www.domain.com.au/property/rozelle/studio-4,domain.com.au
"$516,244",516244.0,"492 High St, Rozelle NSW 2216",Rozelle,3,1,0,Villa,https://www.realestateview.com.au/property/rozelle/villa-5,realestateview.com.au
"$1,440,442",1440442.0,"355 Victoria St, Rozelle NSW 2490",Rozelle,1,1,1,House,https://www.domain.com.au/property/rozelle/house-6,domain.com.au
"From $1,635,245",1635245.0,"61 George St, Rozelle NSW 2285",Rozelle,3,4,1,Penthouse,https://www.realestate.com.au/property/rozelle/penthouse-7,realestate.com.au
"Guide $978,760",978760.0,"983 George St, Rozelle NSW 2424",Rozelle,3,4,0,Penthouse,https://www.realestateview.com.au/property/rozelle/penthouse-8,realestateview.com.au
"From $1,326,278",1326278.0,"699 Pacific Highway, Rozelle NSW 2204",Rozelle,2,1,2,Villa,https://www.domain.com.au/property/rozelle/villa-9,domain.com.au
"$1,967,943",1967943.0,"295 Beach Rd, Rozelle NSW 2354",Rozelle,2,3,0,Villa,https://www.realestateview.com.au/property/rozelle/villa-10,realestateview.com.au
"$1,654,770 - $1,749,450",1654770.0,"728 Elizabeth St, Rozelle NSW 2557",Rozelle,0,1,0,Studio,https://www.realestate.com.au/property/rozelle/studio-11,realestate.com.au
"Guide $2,208,423",2208423.0,"697 Elizabeth St, Rozelle NSW 2907",Rozelle,2,1,2,House,https://www.rent.com.au/property/rozelle/house-12,rent.com.au
"From $1,304,510",1304510.0,"290 Albert St, Rozelle NSW 2449",Rozelle,4,2,3,Townhouse,https://www.domain.com.au/property/rozelle/townhouse-13,domain.com.au
"$2,409,564 - $2,559,976",2409564.0,"798 Military Rd, Rozelle NSW 2530",Rozelle,6,2,3,Penthouse,https://www.rent.com.au/property/rozelle/penthouse-14,rent.com.au
"From $1,453,369",1453369.0,"935 Edward St, Rozelle NSW 2125",Rozelle,0,1,3,Studio,https://www.realestateview.com.au/property/rozelle/studio-15,realestateview.com.au
"From $1,385,229",1385229.0,"803 George St, Rozelle NSW 2723",Rozelle,4,3,2,Townhouse,https://www.rent.com.au/property/rozelle/townhouse-16,rent.com.au
"From $966,020",966020.0,"638 Railway St, Rozelle NSW 2225",Rozelle,3,3,3,Townhouse,https://www.realestateview.com.au/property/rozelle/townhouse-17,realestateview.com.au
"$1,357,957 - $1,638,310",1357957.0,"937 James St, Rozelle NSW 2160",Rozelle,4,3,0,Penthouse,https://www.realestate.com.au/property/rozelle/penthouse-18,realestate.com.au
"Guide $1,862,790",1862790.0,"688 Princes Highway, Rozelle NSW 2788",Rozelle,5,4,2,Penthouse,https://www.domain.com.au/property/rozelle/penthouse-19,domain.com.au
"From $1,363,498",1363498.0,"348 Elizabeth St, Rozelle NSW 2829",Rozelle,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rozelle/apartment--unit--flat-20,realestateview.com.au
"$1,816,264 - $1,959,229",1816264.0,"761 William St, Rozelle NSW 2789",Rozelle,3,2,3,Villa,https://www.domain.com.au/property/rozelle/villa-22,domain.com.au
"From $1,192,292",1192292.0,"728 Church St, Rozelle NSW 2636",Rozelle,4,2,1,Villa,https://www.domain.com.au/property/rozelle/villa-23,domain.com.au
