price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,468,486 - $2,643,241",2468486.0,"243 Railway St, Rushcutters Bay NSW 2792",Rushcutters Bay,2,2,1,House,https://www.realestate.com.au/property/rushcutters-bay/house-0,realestate.com.au
"$1,889,865 - $2,064,603",1889865.0,"767 William St, Rushcutters Bay NSW 2390",Rushcutters Bay,0,1,0,Studio,https://www.realestate.com.au/property/rushcutters-bay/studio-1,realestate.com.au
"From $959,065",959065.0,"779 George St, Rushcutters Bay NSW 2611",Rushcutters Bay,3,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/rushcutters-bay/apartment--unit--flat-2,realestateview.com.au
"Guide $915,068",915068.0,"498 Park Ave, Rushcutters Bay NSW 2754",Rushcutters Bay,1,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/rushcutters-bay/apartment--unit--flat-3,rent.com.au
"From $2,157,971",2157971.0,"3 Railway St, Rushcutters Bay NSW 2203",Rushcutters Bay,3,2,1,Penthouse,https://www.rent.com.au/property/rushcutters-bay/penthouse-4,rent.com.au
"Guide $1,097,433",1097433.0,"84 Albert St, Rushcutters Bay NSW 2818",Rushcutters Bay,4,2,0,Penthouse,https://www.realestateview.com.au/property/rushcutters-bay/penthouse-5,realestateview.com.au
"From $705,362",705362.0,"644 Queen St, Rushcutters Bay NSW 2397",Rushcutters Bay,1,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/rushcutters-bay/apartment--unit--flat-6,realestate.com.au
"$2,315,121 ONO",2315121.0,"838 Market St, Rushcutters Bay NSW 2972",Rushcutters Bay,4,1,2,Townhouse,https://www.realestate.com.au/property/rushcutters-bay/townhouse-7,realestate.com.au
"$2,274,557 - $2,354,097",2274557.0,"160 Railway St, Rushcutters Bay NSW 2685",Rushcutters Bay,3,2,0,House,https://www.realestate.com.au/property/rushcutters-bay/house-8,realestate.com.au
"From $2,430,995",2430995.0,"322 George St, Rushcutters Bay NSW 2363",Rushcutters Bay,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/rushcutters-bay/apartment--unit--flat-9,domain.com.au
"Guide $1,090,054",1090054.0,"594 Queen St, Rushcutters Bay NSW 2639",Rushcutters Bay,3,1,2,Townhouse,https://www.realestate.com.au/property/rushcutters-bay/townhouse-10,realestate.com.au
"From $1,315,908",1315908.0,"318 Victoria St, Rushcutters Bay NSW 2005",Rushcutters Bay,3,3,1,House,https://www.rent.com.au/property/rushcutters-bay/house-11,rent.com.au
"From $1,207,082",1207082.0,"144 Elizabeth St, Rushcutters Bay NSW 2440",Rushcutters Bay,0,1,2,Studio,https://www.domain.com.au/property/rushcutters-bay/studio-12,domain.com.au
"From $1,899,505",1899505.0,"314 Park Ave, Rushcutters Bay NSW 2047",Rushcutters Bay,6,4,2,Penthouse,https://www.realestate.com.au/property/rushcutters-bay/penthouse-13,realestate.com.au
"$922,444 ONO",922444.0,"422 King St, Rushcutters Bay NSW 2117",Rushcutters Bay,0,1,0,Studio,https://www.domain.com.au/property/rushcutters-bay/studio-14,domain.com.au
"$1,797,716 ONO",1797716.0,"580 Pacific Highway, Rushcutters Bay NSW 2654",Rushcutters Bay,4,3,2,House,https://www.domain.com.au/property/rushcutters-bay/house-15,domain.com.au
"$1,369,380",1369380.0,"354 George St, Rushcutters Bay NSW 2865",Rushcutters Bay,4,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/rushcutters-bay/apartment--unit--flat-16,domain.com.au
"Guide $2,441,953",2441953.0,"900 William St, Rushcutters Bay NSW 2106",Rushcutters Bay,4,3,2,Penthouse,https://www.domain.com.au/property/rushcutters-bay/penthouse-17,domain.com.au
"$2,163,245",2163245.0,"652 King St, Rushcutters Bay NSW 2415",Rushcutters Bay,4,3,0,Townhouse,https://www.realestate.com.au/property/rushcutters-bay/townhouse-18,realestate.com.au
"$1,079,241 - $1,156,955",1079241.0,"683 The Boulevarde, Rushcutters Bay NSW 2748",Rushcutters Bay,4,2,0,House,https://www.rent.com.au/property/rushcutters-bay/house-19,rent.com.au
"Guide $531,085",531085.0,"755 Railway St, Rushcutters Bay NSW 2295",Rushcutters Bay,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/rushcutters-bay/apartment--unit--flat-21,realestate.com.au
"$1,484,087 ONO",1484087.0,"348 Ocean Rd, Rushcutters Bay NSW 2391",Rushcutters Bay,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/rushcutters-bay/apartment--unit--flat-22,realestate.com.au
"$1,989,358 ONO",1989358.0,"231 High St, Rushcutters Bay NSW 2542",Rushcutters Bay,0,1,0,Studio,https://www.realestateview.com.au/property/rushcutters-bay/studio-23,realestateview.com.au
"$1,786,955",1786955.0,"743 The Boulevarde, Rushcutters Bay NSW 2204",Rushcutters Bay,4,4,1,House,https://www.realestateview.com.au/property/rushcutters-bay/house-24,realestateview.com.au
