price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,363,819",2363819.0,"842 William St, Russell Lea NSW 2220",Russell Lea,6,2,3,Villa,https://www.rent.com.au/property/russell-lea/villa-0,rent.com.au
"From $1,842,680",1842680.0,"326 Victoria St, Russell Lea NSW 2289",Russell Lea,4,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/russell-lea/apartment--unit--flat-1,rent.com.au
"$596,682 - $675,527",596682.0,"938 Military Rd, Russell Lea NSW 2912",Russell Lea,2,3,2,Villa,https://www.realestate.com.au/property/russell-lea/villa-3,realestate.com.au
"$1,828,554 - $1,878,837",1828554.0,"370 Queen St, Russell Lea NSW 2313",Russell Lea,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/russell-lea/apartment--unit--flat-4,domain.com.au
"$1,218,572 - $1,329,251",1218572.0,"595 King St, Russell Lea NSW 2774",Russell Lea,3,2,1,Townhouse,https://www.realestateview.com.au/property/russell-lea/townhouse-5,realestateview.com.au
"$1,111,991 ONO",1111991.0,"87 The Boulevarde, Russell Lea NSW 2181",Russell Lea,3,2,2,Townhouse,https://www.realestate.com.au/property/russell-lea/townhouse-6,realestate.com.au
"Guide $1,363,952",1363952.0,"719 Market St, Russell Lea NSW 2623",Russell Lea,1,2,3,Villa,https://www.realestate.com.au/property/russell-lea/villa-7,realestate.com.au
"$1,887,004 - $1,966,062",1887004.0,"855 Main St, Russell Lea NSW 2934",Russell Lea,0,1,1,Studio,https://www.rent.com.au/property/russell-lea/studio-8,rent.com.au
"$2,493,878 ONO",2493878.0,"303 Princes Highway, Russell Lea NSW 2103",Russell Lea,6,4,1,Penthouse,https://www.realestate.com.au/property/russell-lea/penthouse-9,realestate.com.au
"$1,911,001 ONO",1911001.0,"123 James St, Russell Lea NSW 2422",Russell Lea,0,1,0,Studio,https://www.realestateview.com.au/property/russell-lea/studio-10,realestateview.com.au
"$924,864 ONO",924864.0,"605 Albert St, Russell Lea NSW 2962",Russell Lea,3,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/russell-lea/apartment--unit--flat-11,realestate.com.au
"$695,137 ONO",695137.0,"511 Princes Highway, Russell Lea NSW 2231",Russell Lea,4,2,3,Penthouse,https://www.realestateview.com.au/property/russell-lea/penthouse-12,realestateview.com.au
"$2,446,185 ONO",2446185.0,"290 Albert St, Russell Lea NSW 2778",Russell Lea,0,1,1,Studio,https://www.realestateview.com.au/property/russell-lea/studio-13,realestateview.com.au
"$1,260,230",1260230.0,"595 Queen St, Russell Lea NSW 2765",Russell Lea,4,2,0,Villa,https://www.rent.com.au/property/russell-lea/villa-14,rent.com.au
"$958,675 ONO",958675.0,"246 George St, Russell Lea NSW 2378",Russell Lea,1,2,1,Villa,https://www.rent.com.au/property/russell-lea/villa-15,rent.com.au
"Guide $2,290,272",2290272.0,"919 Edward St, Russell Lea NSW 2676",Russell Lea,3,2,1,Penthouse,https://www.rent.com.au/property/russell-lea/penthouse-16,rent.com.au
"$1,519,905 ONO",1519905.0,"260 Beach Rd, Russell Lea NSW 2885",Russell Lea,4,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/russell-lea/apartment--unit--flat-17,realestateview.com.au
"$1,653,270 - $1,868,758",1653270.0,"531 Edward St, Russell Lea NSW 2231",Russell Lea,2,2,4,Townhouse,https://www.domain.com.au/property/russell-lea/townhouse-18,domain.com.au
"$2,189,193 ONO",2189193.0,"703 Railway St, Russell Lea NSW 2900",Russell Lea,3,3,0,Villa,https://www.domain.com.au/property/russell-lea/villa-19,domain.com.au
"$1,557,598 - $1,691,950",1557598.0,"376 Church St, Russell Lea NSW 2154",Russell Lea,1,1,1,Villa,https://www.domain.com.au/property/russell-lea/villa-20,domain.com.au
"From $1,989,239",1989239.0,"848 King St, Russell Lea NSW 2515",Russell Lea,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/russell-lea/apartment--unit--flat-21,realestate.com.au
"$2,109,617 ONO",2109617.0,"113 Princes Highway, Russell Lea NSW 2646",Russell Lea,1,1,2,Townhouse,https://www.realestateview.com.au/property/russell-lea/townhouse-22,realestateview.com.au
"From $807,982",807982.0,"570 High St, Russell Lea NSW 2017",Russell Lea,0,1,2,Studio,https://www.domain.com.au/property/russell-lea/studio-23,domain.com.au
"$2,122,053 ONO",2122053.0,"949 Beach Rd, Russell Lea NSW 2231",Russell Lea,0,1,0,Studio,https://www.rent.com.au/property/russell-lea/studio-24,rent.com.au
