price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$530,024 - $792,749",530024.0,"589 Pacific Highway, Ryde NSW 2356",Ryde,3,3,2,Penthouse,https://www.realestateview.com.au/property/ryde/penthouse-0,realestateview.com.au
"From $1,101,392",1101392.0,"238 William St, Ryde NSW 2716",Ryde,4,4,0,House,https://www.rent.com.au/property/ryde/house-2,rent.com.au
"$1,351,626 - $1,526,067",1351626.0,"468 Church St, Ryde NSW 2727",Ryde,0,1,1,Studio,https://www.rent.com.au/property/ryde/studio-3,rent.com.au
"$1,052,331",1052331.0,"422 Pacific Highway, Ryde NSW 2004",Ryde,2,3,0,Townhouse,https://www.realestateview.com.au/property/ryde/townhouse-4,realestateview.com.au
"$1,950,624 ONO",1950624.0,"970 The Boulevarde, Ryde NSW 2899",Ryde,1,2,0,Townhouse,https://www.rent.com.au/property/ryde/townhouse-5,rent.com.au
"$2,228,998 ONO",2228998.0,"802 Market St, Ryde NSW 2179",Ryde,2,3,2,Townhouse,https://www.rent.com.au/property/ryde/townhouse-6,rent.com.au
"From $1,191,972",1191972.0,"779 High St, Ryde NSW 2427",Ryde,2,3,3,Villa,https://www.rent.com.au/property/ryde/villa-7,rent.com.au
"Guide $1,382,217",1382217.0,"952 Railway St, Ryde NSW 2725",Ryde,3,3,0,House,https://www.rent.com.au/property/ryde/house-8,rent.com.au
"$1,193,719 ONO",1193719.0,"869 Main St, Ryde NSW 2628",Ryde,0,1,1,Studio,https://www.rent.com.au/property/ryde/studio-9,rent.com.au
"$2,185,628 ONO",2185628.0,"606 Elizabeth St, Ryde NSW 2249",Ryde,3,2,1,Penthouse,https://www.realestate.com.au/property/ryde/penthouse-10,realestate.com.au
"From $2,084,053",2084053.0,"399 Church St, Ryde NSW 2371",Ryde,0,1,3,Studio,https://www.realestate.com.au/property/ryde/studio-11,realestate.com.au
"$2,010,419 ONO",2010419.0,"332 Princes Highway, Ryde NSW 2955",Ryde,2,1,1,House,https://www.realestateview.com.au/property/ryde/house-12,realestateview.com.au
"$1,457,526",1457526.0,"772 Princes Highway, Ryde NSW 2473",Ryde,0,1,3,Studio,https://www.domain.com.au/property/ryde/studio-13,domain.com.au
"From $667,387",667387.0,"895 Victoria St, Ryde NSW 2497",Ryde,6,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/ryde/apartment--unit--flat-15,realestate.com.au
"$1,025,301 ONO",1025301.0,"842 The Boulevarde, Ryde NSW 2717",Ryde,2,2,0,Villa,https://www.realestateview.com.au/property/ryde/villa-16,realestateview.com.au
"$955,489 - $1,175,499",955489.0,"10 Elizabeth St, Ryde NSW 2742",Ryde,5,2,1,Penthouse,https://www.rent.com.au/property/ryde/penthouse-17,rent.com.au
"From $2,171,986",2171986.0,"749 George St, Ryde NSW 2811",Ryde,3,3,2,Penthouse,https://www.domain.com.au/property/ryde/penthouse-18,domain.com.au
"$2,412,183",2412183.0,"704 Elizabeth St, Ryde NSW 2713",Ryde,4,3,2,Penthouse,https://www.rent.com.au/property/ryde/penthouse-19,rent.com.au
"$1,376,247",1376247.0,"603 Main St, Ryde NSW 2061",Ryde,5,3,3,Villa,https://www.realestate.com.au/property/ryde/villa-20,realestate.com.au
"From $1,830,630",1830630.0,"814 Main St, Ryde NSW 2017",Ryde,1,2,0,Villa,https://www.rent.com.au/property/ryde/villa-21,rent.com.au
"$1,279,830",1279830.0,"953 James St, Ryde NSW 2224",Ryde,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ryde/apartment--unit--flat-22,realestateview.com.au
"$1,710,964 ONO",1710964.0,"868 George St, Ryde NSW 2080",Ryde,5,2,3,Penthouse,https://www.realestateview.com.au/property/ryde/penthouse-23,realestateview.com.au
"$2,326,897 ONO",2326897.0,"664 Queen St, Ryde NSW 2060",Ryde,3,4,2,Penthouse,https://www.domain.com.au/property/ryde/penthouse-24,domain.com.au
