price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $527,683",527683.0,"148 William St, Sandringham NSW 2845",Sandringham,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/sandringham/apartment--unit--flat-0,rent.com.au
"$2,464,465 ONO",2464465.0,"850 Church St, Sandringham NSW 2170",Sandringham,3,2,3,Townhouse,https://www.realestate.com.au/property/sandringham/townhouse-3,realestate.com.au
"$1,138,130 ONO",1138130.0,"915 Edward St, Sandringham NSW 2479",Sandringham,2,1,0,Townhouse,https://www.realestate.com.au/property/sandringham/townhouse-4,realestate.com.au
"$1,351,108 - $1,643,843",1351108.0,"615 Queen St, Sandringham NSW 2541",Sandringham,2,3,1,House,https://www.domain.com.au/property/sandringham/house-5,domain.com.au
"Guide $2,374,751",2374751.0,"648 King St, Sandringham NSW 2367",Sandringham,0,1,2,Studio,https://www.realestate.com.au/property/sandringham/studio-6,realestate.com.au
"Guide $1,574,091",1574091.0,"524 Church St, Sandringham NSW 2693",Sandringham,5,2,1,Penthouse,https://www.rent.com.au/property/sandringham/penthouse-7,rent.com.au
"$1,208,217 ONO",1208217.0,"115 Railway St, Sandringham NSW 2462",Sandringham,2,3,4,Villa,https://www.domain.com.au/property/sandringham/villa-8,domain.com.au
"From $574,429",574429.0,"903 Military Rd, Sandringham NSW 2442",Sandringham,1,1,3,Villa,https://www.rent.com.au/property/sandringham/villa-9,rent.com.au
"Guide $2,223,670",2223670.0,"772 Victoria St, Sandringham NSW 2152",Sandringham,4,2,0,Penthouse,https://www.realestate.com.au/property/sandringham/penthouse-10,realestate.com.au
"From $967,769",967769.0,"407 Princes Highway, Sandringham NSW 2402",Sandringham,0,1,1,Studio,https://www.realestateview.com.au/property/sandringham/studio-11,realestateview.com.au
"Guide $2,419,543",2419543.0,"570 The Boulevarde, Sandringham NSW 2902",Sandringham,1,1,1,Townhouse,https://www.realestateview.com.au/property/sandringham/townhouse-12,realestateview.com.au
"$2,068,797 ONO",2068797.0,"461 Elizabeth St, Sandringham NSW 2809",Sandringham,3,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/sandringham/apartment--unit--flat-13,realestate.com.au
"$2,327,144 ONO",2327144.0,"481 Military Rd, Sandringham NSW 2693",Sandringham,2,2,3,Villa,https://www.domain.com.au/property/sandringham/villa-14,domain.com.au
"Guide $1,530,604",1530604.0,"75 Edward St, Sandringham NSW 2849",Sandringham,4,3,0,Villa,https://www.realestate.com.au/property/sandringham/villa-15,realestate.com.au
"$2,050,244 ONO",2050244.0,"459 Albert St, Sandringham NSW 2755",Sandringham,5,2,1,Penthouse,https://www.rent.com.au/property/sandringham/penthouse-17,rent.com.au
"Guide $1,039,781",1039781.0,"574 Market St, Sandringham NSW 2859",Sandringham,4,4,1,Penthouse,https://www.realestate.com.au/property/sandringham/penthouse-18,realestate.com.au
"$2,452,618 ONO",2452618.0,"3 Park Ave, Sandringham NSW 2615",Sandringham,5,2,1,Penthouse,https://www.realestate.com.au/property/sandringham/penthouse-19,realestate.com.au
"$2,198,995",2198995.0,"835 Victoria St, Sandringham NSW 2189",Sandringham,6,3,2,Penthouse,https://www.realestate.com.au/property/sandringham/penthouse-20,realestate.com.au
"$1,321,567",1321567.0,"171 Edward St, Sandringham NSW 2485",Sandringham,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/sandringham/apartment--unit--flat-21,rent.com.au
"From $1,211,777",1211777.0,"739 Beach Rd, Sandringham NSW 2297",Sandringham,0,1,2,Studio,https://www.realestate.com.au/property/sandringham/studio-22,realestate.com.au
"From $864,618",864618.0,"83 Church St, Sandringham NSW 2087",Sandringham,0,1,2,Studio,https://www.realestateview.com.au/property/sandringham/studio-23,realestateview.com.au
"$1,986,695",1986695.0,"929 Military Rd, Sandringham NSW 2385",Sandringham,3,2,3,Villa,https://www.domain.com.au/property/sandringham/villa-24,domain.com.au
