price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,868,906 - $2,017,767",1868906.0,"578 Market St, Sandy Bay NSW 2695",Sandy Bay,1,1,2,Townhouse,https://www.realestateview.com.au/property/sandy-bay/townhouse-1,realestateview.com.au
"Guide $1,483,512",1483512.0,"592 Queen St, Sandy Bay NSW 2338",Sandy Bay,1,1,3,House,https://www.domain.com.au/property/sandy-bay/house-2,domain.com.au
"Guide $2,017,096",2017096.0,"118 The Boulevarde, Sandy Bay NSW 2677",Sandy Bay,0,1,2,Studio,https://www.realestateview.com.au/property/sandy-bay/studio-3,realestateview.com.au
"$633,872 ONO",633872.0,"173 Albert St, Sandy Bay NSW 2788",Sandy Bay,2,3,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sandy-bay/apartment--unit--flat-4,realestateview.com.au
"$2,212,356 - $2,378,381",2212356.0,"855 Military Rd, Sandy Bay NSW 2348",Sandy Bay,3,1,1,Townhouse,https://www.rent.com.au/property/sandy-bay/townhouse-5,rent.com.au
"$1,764,593 ONO",1764593.0,"866 Park Ave, Sandy Bay NSW 2115",Sandy Bay,2,1,1,Townhouse,https://www.rent.com.au/property/sandy-bay/townhouse-6,rent.com.au
"$2,014,413",2014413.0,"12 Railway St, Sandy Bay NSW 2361",Sandy Bay,6,2,1,Penthouse,https://www.domain.com.au/property/sandy-bay/penthouse-7,domain.com.au
"From $1,335,003",1335003.0,"219 Elizabeth St, Sandy Bay NSW 2178",Sandy Bay,5,1,1,Villa,https://www.realestateview.com.au/property/sandy-bay/villa-8,realestateview.com.au
"From $586,291",586291.0,"936 William St, Sandy Bay NSW 2305",Sandy Bay,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/sandy-bay/apartment--unit--flat-10,realestate.com.au
"Guide $1,066,180",1066180.0,"560 King St, Sandy Bay NSW 2611",Sandy Bay,3,3,1,House,https://www.domain.com.au/property/sandy-bay/house-11,domain.com.au
"$2,112,993 - $2,406,286",2112993.0,"45 James St, Sandy Bay NSW 2044",Sandy Bay,0,1,1,Studio,https://www.realestateview.com.au/property/sandy-bay/studio-12,realestateview.com.au
"From $667,115",667115.0,"988 The Boulevarde, Sandy Bay NSW 2824",Sandy Bay,1,2,3,Townhouse,https://www.rent.com.au/property/sandy-bay/townhouse-13,rent.com.au
"From $1,748,018",1748018.0,"682 High St, Sandy Bay NSW 2940",Sandy Bay,6,3,3,Penthouse,https://www.domain.com.au/property/sandy-bay/penthouse-14,domain.com.au
"Guide $1,886,121",1886121.0,"720 Albert St, Sandy Bay NSW 2354",Sandy Bay,2,1,2,Townhouse,https://www.rent.com.au/property/sandy-bay/townhouse-15,rent.com.au
"$1,724,327",1724327.0,"943 Pacific Highway, Sandy Bay NSW 2571",Sandy Bay,1,2,2,Villa,https://www.realestateview.com.au/property/sandy-bay/villa-17,realestateview.com.au
"From $797,005",797005.0,"707 High St, Sandy Bay NSW 2631",Sandy Bay,3,4,3,Villa,https://www.realestateview.com.au/property/sandy-bay/villa-18,realestateview.com.au
"$1,259,384",1259384.0,"174 Pacific Highway, Sandy Bay NSW 2498",Sandy Bay,0,1,2,Studio,https://www.realestateview.com.au/property/sandy-bay/studio-19,realestateview.com.au
"Guide $2,210,487",2210487.0,"768 Pacific Highway, Sandy Bay NSW 2938",Sandy Bay,4,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/sandy-bay/apartment--unit--flat-20,rent.com.au
"Guide $1,538,312",1538312.0,"428 Church St, Sandy Bay NSW 2987",Sandy Bay,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/sandy-bay/apartment--unit--flat-21,realestate.com.au
"$833,700 ONO",833700.0,"760 Pacific Highway, Sandy Bay NSW 2317",Sandy Bay,6,4,1,Townhouse,https://www.realestate.com.au/property/sandy-bay/townhouse-22,realestate.com.au
"$1,719,354 ONO",1719354.0,"606 Queen St, Sandy Bay NSW 2701",Sandy Bay,3,1,4,Villa,https://www.realestateview.com.au/property/sandy-bay/villa-23,realestateview.com.au
"Guide $1,231,836",1231836.0,"484 The Boulevarde, Sandy Bay NSW 2294",Sandy Bay,0,1,0,Studio,https://www.rent.com.au/property/sandy-bay/studio-24,rent.com.au
