price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,996,124",1996124.0,"339 Princes Highway, Sans Souci NSW 2123",Sans Souci,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sans-souci/apartment--unit--flat-1,realestateview.com.au
"From $2,452,434",2452434.0,"80 Railway St, Sans Souci NSW 2293",Sans Souci,1,1,3,Villa,https://www.domain.com.au/property/sans-souci/villa-2,domain.com.au
"$990,231 ONO",990231.0,"760 Edward St, Sans Souci NSW 2103",Sans Souci,2,1,0,House,https://www.realestateview.com.au/property/sans-souci/house-3,realestateview.com.au
"$540,544",540544.0,"189 Albert St, Sans Souci NSW 2963",Sans Souci,0,1,2,Studio,https://www.rent.com.au/property/sans-souci/studio-4,rent.com.au
"$958,504 ONO",958504.0,"659 High St, Sans Souci NSW 2798",Sans Souci,3,4,0,Penthouse,https://www.rent.com.au/property/sans-souci/penthouse-6,rent.com.au
"$1,223,543",1223543.0,"450 Ocean Rd, Sans Souci NSW 2468",Sans Souci,2,1,0,Townhouse,https://www.realestate.com.au/property/sans-souci/townhouse-7,realestate.com.au
"Guide $1,404,824",1404824.0,"597 Albert St, Sans Souci NSW 2473",Sans Souci,0,1,1,Studio,https://www.rent.com.au/property/sans-souci/studio-8,rent.com.au
"From $2,015,801",2015801.0,"311 Victoria St, Sans Souci NSW 2435",Sans Souci,3,3,1,Townhouse,https://www.realestate.com.au/property/sans-souci/townhouse-9,realestate.com.au
"$2,127,490 - $2,180,836",2127490.0,"846 Ocean Rd, Sans Souci NSW 2545",Sans Souci,2,2,0,Villa,https://www.domain.com.au/property/sans-souci/villa-10,domain.com.au
"$982,279",982279.0,"227 Park Ave, Sans Souci NSW 2375",Sans Souci,4,3,1,House,https://www.realestateview.com.au/property/sans-souci/house-11,realestateview.com.au
"From $2,437,004",2437004.0,"937 High St, Sans Souci NSW 2621",Sans Souci,2,3,2,Townhouse,https://www.realestate.com.au/property/sans-souci/townhouse-12,realestate.com.au
"Guide $1,712,695",1712695.0,"356 King St, Sans Souci NSW 2907",Sans Souci,0,1,4,Studio,https://www.rent.com.au/property/sans-souci/studio-13,rent.com.au
"Guide $1,483,538",1483538.0,"369 Princes Highway, Sans Souci NSW 2765",Sans Souci,3,2,3,Penthouse,https://www.realestate.com.au/property/sans-souci/penthouse-14,realestate.com.au
"Guide $553,440",553440.0,"488 Elizabeth St, Sans Souci NSW 2033",Sans Souci,1,2,3,Villa,https://www.domain.com.au/property/sans-souci/villa-15,domain.com.au
"$717,093 - $1,014,580",717093.0,"719 Beach Rd, Sans Souci NSW 2579",Sans Souci,1,1,0,Townhouse,https://www.realestate.com.au/property/sans-souci/townhouse-17,realestate.com.au
"$1,131,875",1131875.0,"192 Church St, Sans Souci NSW 2570",Sans Souci,0,1,1,Studio,https://www.domain.com.au/property/sans-souci/studio-18,domain.com.au
"$1,265,010 - $1,560,751",1265010.0,"878 Edward St, Sans Souci NSW 2094",Sans Souci,1,1,2,House,https://www.rent.com.au/property/sans-souci/house-19,rent.com.au
"$1,632,948 - $1,917,901",1632948.0,"437 Princes Highway, Sans Souci NSW 2864",Sans Souci,4,3,0,Villa,https://www.domain.com.au/property/sans-souci/villa-20,domain.com.au
"$1,499,695",1499695.0,"352 Albert St, Sans Souci NSW 2883",Sans Souci,3,4,1,Townhouse,https://www.domain.com.au/property/sans-souci/townhouse-21,domain.com.au
"Guide $900,148",900148.0,"853 Park Ave, Sans Souci NSW 2912",Sans Souci,2,3,1,Villa,https://www.realestate.com.au/property/sans-souci/villa-24,realestate.com.au
