price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$536,072 ONO",536072.0,"81 Park Ave, Schofields NSW 2166",Schofields,1,1,2,Villa,https://www.realestateview.com.au/property/schofields/villa-0,realestateview.com.au
"$1,692,378",1692378.0,"906 Pacific Highway, Schofields NSW 2580",Schofields,3,2,2,House,https://www.domain.com.au/property/schofields/house-1,domain.com.au
"$776,331 - $1,039,531",776331.0,"83 Beach Rd, Schofields NSW 2875",Schofields,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/schofields/apartment--unit--flat-2,rent.com.au
"Guide $754,821",754821.0,"973 Albert St, Schofields NSW 2569",Schofields,4,1,1,Villa,https://www.realestate.com.au/property/schofields/villa-3,realestate.com.au
"$1,431,245 - $1,691,740",1431245.0,"861 Park Ave, Schofields NSW 2010",Schofields,4,4,1,Penthouse,https://www.realestateview.com.au/property/schofields/penthouse-4,realestateview.com.au
"$2,345,148 - $2,469,185",2345148.0,"283 Pacific Highway, Schofields NSW 2115",Schofields,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/schofields/apartment--unit--flat-5,realestateview.com.au
"$668,040",668040.0,"842 Edward St, Schofields NSW 2551",Schofields,3,4,2,House,https://www.realestateview.com.au/property/schofields/house-6,realestateview.com.au
"$2,319,766 - $2,389,396",2319766.0,"603 Market St, Schofields NSW 2856",Schofields,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/schofields/apartment--unit--flat-7,domain.com.au
"$1,235,560 - $1,489,674",1235560.0,"94 Main St, Schofields NSW 2834",Schofields,4,3,0,House,https://www.realestate.com.au/property/schofields/house-9,realestate.com.au
"From $594,756",594756.0,"675 Victoria St, Schofields NSW 2691",Schofields,5,3,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/schofields/apartment--unit--flat-10,realestateview.com.au
"$899,344 - $993,061",899344.0,"591 Princes Highway, Schofields NSW 2348",Schofields,2,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/schofields/apartment--unit--flat-11,rent.com.au
"$2,331,387 - $2,513,532",2331387.0,"2 Princes Highway, Schofields NSW 2685",Schofields,1,1,1,Villa,https://www.domain.com.au/property/schofields/villa-12,domain.com.au
"From $2,140,085",2140085.0,"661 The Boulevarde, Schofields NSW 2664",Schofields,5,3,3,House,https://www.realestateview.com.au/property/schofields/house-13,realestateview.com.au
"From $1,468,818",1468818.0,"322 Victoria St, Schofields NSW 2412",Schofields,1,2,1,Townhouse,https://www.rent.com.au/property/schofields/townhouse-14,rent.com.au
"Guide $972,360",972360.0,"987 George St, Schofields NSW 2264",Schofields,0,1,2,Studio,https://www.domain.com.au/property/schofields/studio-15,domain.com.au
"$954,603 ONO",954603.0,"397 Market St, Schofields NSW 2796",Schofields,0,1,1,Studio,https://www.realestateview.com.au/property/schofields/studio-16,realestateview.com.au
"Guide $1,616,500",1616500.0,"383 The Boulevarde, Schofields NSW 2319",Schofields,3,1,1,Townhouse,https://www.realestateview.com.au/property/schofields/townhouse-17,realestateview.com.au
"From $2,480,117",2480117.0,"229 William St, Schofields NSW 2689",Schofields,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/schofields/apartment--unit--flat-18,domain.com.au
"From $560,340",560340.0,"876 Victoria St, Schofields NSW 2770",Schofields,6,1,0,Villa,https://www.domain.com.au/property/schofields/villa-19,domain.com.au
"$967,107",967107.0,"502 George St, Schofields NSW 2380",Schofields,0,1,0,Studio,https://www.rent.com.au/property/schofields/studio-20,rent.com.au
"$2,158,939",2158939.0,"136 Market St, Schofields NSW 2424",Schofields,2,1,2,House,https://www.rent.com.au/property/schofields/house-21,rent.com.au
"$1,353,741 - $1,539,864",1353741.0,"830 High St, Schofields NSW 2197",Schofields,2,1,2,House,https://www.realestate.com.au/property/schofields/house-23,realestate.com.au
"$2,455,144",2455144.0,"542 Edward St, Schofields NSW 2990",Schofields,5,3,3,Penthouse,https://www.domain.com.au/property/schofields/penthouse-24,domain.com.au
