price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$581,461",581461.0,"348 Queen St, Seaforth NSW 2248",Seaforth,2,1,0,Townhouse,https://www.realestateview.com.au/property/seaforth/townhouse-0,realestateview.com.au
"$2,203,493 ONO",2203493.0,"440 King St, Seaforth NSW 2748",Seaforth,3,4,3,Villa,https://www.domain.com.au/property/seaforth/villa-2,domain.com.au
"$1,295,734 ONO",1295734.0,"110 Ocean Rd, Seaforth NSW 2168",Seaforth,3,2,2,Penthouse,https://www.realestate.com.au/property/seaforth/penthouse-3,realestate.com.au
"Guide $561,719",561719.0,"535 George St, Seaforth NSW 2848",Seaforth,2,3,0,Villa,https://www.domain.com.au/property/seaforth/villa-4,domain.com.au
"$1,391,443",1391443.0,"293 Pacific Highway, Seaforth NSW 2028",Seaforth,2,2,2,House,https://www.realestate.com.au/property/seaforth/house-5,realestate.com.au
"Guide $799,984",799984.0,"799 King St, Seaforth NSW 2553",Seaforth,0,1,1,Studio,https://www.domain.com.au/property/seaforth/studio-6,domain.com.au
"$1,867,189",1867189.0,"598 James St, Seaforth NSW 2277",Seaforth,3,1,1,Townhouse,https://www.rent.com.au/property/seaforth/townhouse-7,rent.com.au
"$1,202,385 - $1,374,886",1202385.0,"847 The Boulevarde, Seaforth NSW 2022",Seaforth,2,2,3,Townhouse,https://www.domain.com.au/property/seaforth/townhouse-9,domain.com.au
"Guide $1,070,975",1070975.0,"551 King St, Seaforth NSW 2126",Seaforth,0,1,1,Studio,https://www.realestateview.com.au/property/seaforth/studio-10,realestateview.com.au
"$1,061,969 ONO",1061969.0,"104 Main St, Seaforth NSW 2535",Seaforth,1,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/seaforth/apartment--unit--flat-11,domain.com.au
"$881,184",881184.0,"667 Military Rd, Seaforth NSW 2130",Seaforth,4,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/seaforth/apartment--unit--flat-12,realestateview.com.au
"$999,377 - $1,139,613",999377.0,"569 Pacific Highway, Seaforth NSW 2481",Seaforth,2,2,0,Villa,https://www.domain.com.au/property/seaforth/villa-13,domain.com.au
"$1,461,652 - $1,567,136",1461652.0,"758 Ocean Rd, Seaforth NSW 2953",Seaforth,0,1,3,Studio,https://www.realestate.com.au/property/seaforth/studio-14,realestate.com.au
"$732,830",732830.0,"858 George St, Seaforth NSW 2916",Seaforth,1,1,2,Villa,https://www.realestate.com.au/property/seaforth/villa-15,realestate.com.au
"From $2,275,548",2275548.0,"539 Ocean Rd, Seaforth NSW 2895",Seaforth,0,1,0,Studio,https://www.rent.com.au/property/seaforth/studio-17,rent.com.au
"$761,652",761652.0,"279 High St, Seaforth NSW 2151",Seaforth,0,1,1,Studio,https://www.realestateview.com.au/property/seaforth/studio-18,realestateview.com.au
"$2,138,356",2138356.0,"619 Ocean Rd, Seaforth NSW 2260",Seaforth,1,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/seaforth/apartment--unit--flat-21,realestateview.com.au
"$642,237",642237.0,"293 Military Rd, Seaforth NSW 2200",Seaforth,1,2,1,Villa,https://www.domain.com.au/property/seaforth/villa-22,domain.com.au
"$802,702",802702.0,"425 Elizabeth St, Seaforth NSW 2177",Seaforth,4,3,3,Penthouse,https://www.rent.com.au/property/seaforth/penthouse-23,rent.com.au
"$2,092,890",2092890.0,"234 King St, Seaforth NSW 2979",Seaforth,3,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/seaforth/apartment--unit--flat-24,realestate.com.au
