price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,135,832",2135832.0,"130 Church St, South Granville NSW 2767",South Granville,5,2,1,Penthouse,https://www.realestateview.com.au/property/south-granville/penthouse-1,realestateview.com.au
"From $1,369,262",1369262.0,"736 Pacific Highway, South Granville NSW 2353",South Granville,5,3,1,Townhouse,https://www.domain.com.au/property/south-granville/townhouse-2,domain.com.au
"$906,477 - $1,153,382",906477.0,"268 Park Ave, South Granville NSW 2684",South Granville,2,3,1,Villa,https://www.rent.com.au/property/south-granville/villa-3,rent.com.au
"$558,907 - $708,867",558907.0,"981 Edward St, South Granville NSW 2183",South Granville,3,2,2,Penthouse,https://www.realestate.com.au/property/south-granville/penthouse-4,realestate.com.au
"$2,122,861 - $2,409,133",2122861.0,"365 Park Ave, South Granville NSW 2165",South Granville,3,1,2,Townhouse,https://www.domain.com.au/property/south-granville/townhouse-5,domain.com.au
"$1,592,677 ONO",1592677.0,"342 Victoria St, South Granville NSW 2006",South Granville,5,4,2,Penthouse,https://www.domain.com.au/property/south-granville/penthouse-6,domain.com.au
"Guide $1,950,836",1950836.0,"765 Main St, South Granville NSW 2466",South Granville,3,2,2,House,https://www.realestate.com.au/property/south-granville/house-8,realestate.com.au
"$1,436,647",1436647.0,"201 Edward St, South Granville NSW 2839",South Granville,2,3,1,Townhouse,https://www.rent.com.au/property/south-granville/townhouse-9,rent.com.au
"From $2,272,416",2272416.0,"283 Market St, South Granville NSW 2488",South Granville,0,1,1,Studio,https://www.rent.com.au/property/south-granville/studio-10,rent.com.au
"$628,888 - $894,429",628888.0,"362 Elizabeth St, South Granville NSW 2268",South Granville,6,3,0,Penthouse,https://www.realestateview.com.au/property/south-granville/penthouse-11,realestateview.com.au
"$754,647 ONO",754647.0,"578 High St, South Granville NSW 2901",South Granville,3,1,0,Villa,https://www.realestateview.com.au/property/south-granville/villa-12,realestateview.com.au
"$978,641 - $1,177,171",978641.0,"711 Main St, South Granville NSW 2044",South Granville,1,2,2,Townhouse,https://www.rent.com.au/property/south-granville/townhouse-13,rent.com.au
"Guide $689,979",689979.0,"553 Church St, South Granville NSW 2312",South Granville,2,1,1,House,https://www.domain.com.au/property/south-granville/house-14,domain.com.au
"$2,383,469 - $2,469,047",2383469.0,"578 Albert St, South Granville NSW 2032",South Granville,3,1,1,House,https://www.realestate.com.au/property/south-granville/house-15,realestate.com.au
"Guide $1,967,209",1967209.0,"95 Park Ave, South Granville NSW 2713",South Granville,2,2,0,House,https://www.domain.com.au/property/south-granville/house-16,domain.com.au
"$1,549,545",1549545.0,"966 Military Rd, South Granville NSW 2365",South Granville,0,1,1,Studio,https://www.domain.com.au/property/south-granville/studio-17,domain.com.au
"$2,106,150 ONO",2106150.0,"44 Pacific Highway, South Granville NSW 2497",South Granville,0,1,0,Studio,https://www.realestateview.com.au/property/south-granville/studio-18,realestateview.com.au
"$1,535,429",1535429.0,"824 Market St, South Granville NSW 2190",South Granville,6,4,1,Penthouse,https://www.domain.com.au/property/south-granville/penthouse-19,domain.com.au
"$1,677,657",1677657.0,"97 Market St, South Granville NSW 2991",South Granville,2,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/south-granville/apartment--unit--flat-20,realestate.com.au
"From $585,998",585998.0,"639 George St, South Granville NSW 2941",South Granville,1,1,4,House,https://www.realestateview.com.au/property/south-granville/house-21,realestateview.com.au
"$1,967,543 - $2,067,773",1967543.0,"666 Victoria St, South Granville NSW 2925",South Granville,3,4,3,Townhouse,https://www.rent.com.au/property/south-granville/townhouse-22,rent.com.au
"$1,054,910 - $1,289,572",1054910.0,"7 James St, South Granville NSW 2840",South Granville,0,1,1,Studio,https://www.realestateview.com.au/property/south-granville/studio-23,realestateview.com.au
"$2,125,868",2125868.0,"790 Victoria St, South Granville NSW 2511",South Granville,3,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/south-granville/apartment--unit--flat-24,domain.com.au
