price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,054,614",1054614.0,"259 Queen St, St Clair NSW 2660",St Clair,0,1,1,Studio,https://www.domain.com.au/property/st-clair/studio-0,domain.com.au
"$814,808 ONO",814808.0,"240 James St, St Clair NSW 2326",St Clair,3,2,3,Villa,https://www.realestate.com.au/property/st-clair/villa-1,realestate.com.au
"From $1,100,838",1100838.0,"250 Beach Rd, St Clair NSW 2222",St Clair,0,1,3,Studio,https://www.rent.com.au/property/st-clair/studio-2,rent.com.au
"$1,588,842 - $1,848,058",1588842.0,"439 High St, St Clair NSW 2792",St Clair,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/st-clair/apartment--unit--flat-3,realestate.com.au
"$2,178,025",2178025.0,"993 Market St, St Clair NSW 2147",St Clair,3,1,1,Townhouse,https://www.domain.com.au/property/st-clair/townhouse-4,domain.com.au
"$2,424,202",2424202.0,"690 Main St, St Clair NSW 2064",St Clair,3,2,2,Townhouse,https://www.domain.com.au/property/st-clair/townhouse-6,domain.com.au
"$2,106,506 - $2,382,204",2106506.0,"367 Victoria St, St Clair NSW 2227",St Clair,2,3,3,Villa,https://www.rent.com.au/property/st-clair/villa-7,rent.com.au
"$714,427 - $937,064",714427.0,"681 Elizabeth St, St Clair NSW 2735",St Clair,3,3,3,Penthouse,https://www.realestate.com.au/property/st-clair/penthouse-8,realestate.com.au
"$2,376,446 - $2,535,016",2376446.0,"974 Military Rd, St Clair NSW 2916",St Clair,4,3,3,Townhouse,https://www.realestate.com.au/property/st-clair/townhouse-9,realestate.com.au
"$2,212,202 ONO",2212202.0,"541 George St, St Clair NSW 2715",St Clair,3,4,2,Villa,https://www.realestateview.com.au/property/st-clair/villa-10,realestateview.com.au
"$2,246,411 - $2,352,718",2246411.0,"89 William St, St Clair NSW 2367",St Clair,0,1,2,Studio,https://www.domain.com.au/property/st-clair/studio-11,domain.com.au
"$1,149,271 ONO",1149271.0,"517 Victoria St, St Clair NSW 2624",St Clair,2,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/st-clair/apartment--unit--flat-12,domain.com.au
"$547,518 - $683,796",547518.0,"569 Princes Highway, St Clair NSW 2937",St Clair,4,2,0,Penthouse,https://www.rent.com.au/property/st-clair/penthouse-13,rent.com.au
"$1,794,029 ONO",1794029.0,"224 Princes Highway, St Clair NSW 2047",St Clair,1,1,3,Townhouse,https://www.realestateview.com.au/property/st-clair/townhouse-14,realestateview.com.au
"From $1,751,598",1751598.0,"209 Edward St, St Clair NSW 2122",St Clair,4,2,0,Townhouse,https://www.realestate.com.au/property/st-clair/townhouse-15,realestate.com.au
"From $1,144,861",1144861.0,"369 Beach Rd, St Clair NSW 2712",St Clair,1,1,2,Townhouse,https://www.realestateview.com.au/property/st-clair/townhouse-16,realestateview.com.au
"$2,460,668",2460668.0,"547 Church St, St Clair NSW 2089",St Clair,0,1,1,Studio,https://www.realestateview.com.au/property/st-clair/studio-17,realestateview.com.au
"$990,993 - $1,131,765",990993.0,"674 King St, St Clair NSW 2175",St Clair,3,2,3,Penthouse,https://www.domain.com.au/property/st-clair/penthouse-19,domain.com.au
"$2,259,740",2259740.0,"806 Edward St, St Clair NSW 2425",St Clair,0,1,3,Studio,https://www.domain.com.au/property/st-clair/studio-21,domain.com.au
"$2,391,941",2391941.0,"312 Railway St, St Clair NSW 2093",St Clair,3,3,1,Townhouse,https://www.rent.com.au/property/st-clair/townhouse-22,rent.com.au
"Guide $1,728,086",1728086.0,"717 Princes Highway, St Clair NSW 2812",St Clair,0,1,1,Studio,https://www.domain.com.au/property/st-clair/studio-23,domain.com.au
"$1,602,122",1602122.0,"680 William St, St Clair NSW 2682",St Clair,0,1,2,Studio,https://www.domain.com.au/property/st-clair/studio-24,domain.com.au
