price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$865,594 - $1,032,710",865594.0,"896 The Boulevarde, St Marys NSW 2394",St Marys,3,1,2,House,https://www.rent.com.au/property/st-marys/house-0,rent.com.au
"$845,733 - $1,066,357",845733.0,"235 George St, St Marys NSW 2739",St Marys,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/st-marys/apartment--unit--flat-1,realestateview.com.au
"From $1,778,685",1778685.0,"192 Main St, St Marys NSW 2901",St Marys,0,1,3,Studio,https://www.rent.com.au/property/st-marys/studio-3,rent.com.au
"Guide $1,127,724",1127724.0,"111 Edward St, St Marys NSW 2316",St Marys,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/st-marys/apartment--unit--flat-4,rent.com.au
"$1,060,997 ONO",1060997.0,"378 James St, St Marys NSW 2049",St Marys,3,3,2,House,https://www.realestate.com.au/property/st-marys/house-5,realestate.com.au
"$879,857 - $1,004,769",879857.0,"443 Church St, St Marys NSW 2134",St Marys,5,4,1,House,https://www.realestateview.com.au/property/st-marys/house-7,realestateview.com.au
"$1,794,365 ONO",1794365.0,"802 Main St, St Marys NSW 2439",St Marys,0,1,0,Studio,https://www.realestateview.com.au/property/st-marys/studio-8,realestateview.com.au
"$1,789,601 ONO",1789601.0,"633 Railway St, St Marys NSW 2833",St Marys,3,1,0,Townhouse,https://www.realestateview.com.au/property/st-marys/townhouse-9,realestateview.com.au
"Guide $1,572,425",1572425.0,"27 George St, St Marys NSW 2828",St Marys,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/st-marys/apartment--unit--flat-10,realestate.com.au
"From $1,837,969",1837969.0,"180 Church St, St Marys NSW 2621",St Marys,1,2,0,Villa,https://www.rent.com.au/property/st-marys/villa-11,rent.com.au
"$534,483",534483.0,"416 Edward St, St Marys NSW 2211",St Marys,2,3,0,Townhouse,https://www.realestateview.com.au/property/st-marys/townhouse-13,realestateview.com.au
"$1,238,305 ONO",1238305.0,"647 Albert St, St Marys NSW 2169",St Marys,0,1,2,Studio,https://www.realestate.com.au/property/st-marys/studio-14,realestate.com.au
"From $769,237",769237.0,"434 Market St, St Marys NSW 2420",St Marys,5,3,2,Townhouse,https://www.rent.com.au/property/st-marys/townhouse-15,rent.com.au
"$1,775,820 - $2,053,839",1775820.0,"884 William St, St Marys NSW 2855",St Marys,1,2,0,Townhouse,https://www.rent.com.au/property/st-marys/townhouse-16,rent.com.au
"Guide $1,269,986",1269986.0,"811 James St, St Marys NSW 2174",St Marys,4,3,0,Penthouse,https://www.rent.com.au/property/st-marys/penthouse-17,rent.com.au
"From $1,797,581",1797581.0,"863 Princes Highway, St Marys NSW 2233",St Marys,0,1,2,Studio,https://www.realestateview.com.au/property/st-marys/studio-18,realestateview.com.au
"Guide $544,904",544904.0,"390 The Boulevarde, St Marys NSW 2011",St Marys,5,4,3,Penthouse,https://www.realestateview.com.au/property/st-marys/penthouse-19,realestateview.com.au
"$2,292,825 ONO",2292825.0,"990 Albert St, St Marys NSW 2846",St Marys,0,1,0,Studio,https://www.realestate.com.au/property/st-marys/studio-20,realestate.com.au
"$2,454,658 ONO",2454658.0,"552 Railway St, St Marys NSW 2856",St Marys,0,1,0,Studio,https://www.realestate.com.au/property/st-marys/studio-21,realestate.com.au
"$1,505,503 - $1,710,170",1505503.0,"583 Princes Highway, St Marys NSW 2778",St Marys,4,2,0,Penthouse,https://www.rent.com.au/property/st-marys/penthouse-22,rent.com.au
"$2,187,447 - $2,383,771",2187447.0,"928 Albert St, St Marys NSW 2278",St Marys,4,2,3,House,https://www.domain.com.au/property/st-marys/house-23,domain.com.au
"Guide $1,906,985",1906985.0,"582 Market St, St Marys NSW 2678",St Marys,0,1,2,Studio,https://www.realestate.com.au/property/st-marys/studio-24,realestate.com.au
