price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$688,710 - $940,530",688710.0,"955 High St, St Peters NSW 2651",St Peters,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/st-peters/apartment--unit--flat-0,rent.com.au
"$723,677 ONO",723677.0,"497 The Boulevarde, St Peters NSW 2754",St Peters,0,1,2,Studio,https://www.realestateview.com.au/property/st-peters/studio-1,realestateview.com.au
"Guide $645,098",645098.0,"407 High St, St Peters NSW 2262",St Peters,0,1,1,Studio,https://www.realestate.com.au/property/st-peters/studio-2,realestate.com.au
"$1,686,570 - $1,769,064",1686570.0,"911 Market St, St Peters NSW 2860",St Peters,0,1,1,Studio,https://www.domain.com.au/property/st-peters/studio-3,domain.com.au
"$2,454,324",2454324.0,"704 Victoria St, St Peters NSW 2231",St Peters,1,2,0,House,https://www.realestateview.com.au/property/st-peters/house-4,realestateview.com.au
"$2,182,269 ONO",2182269.0,"314 Elizabeth St, St Peters NSW 2069",St Peters,2,2,0,Villa,https://www.realestate.com.au/property/st-peters/villa-5,realestate.com.au
"$718,010 ONO",718010.0,"672 Elizabeth St, St Peters NSW 2742",St Peters,3,2,2,Penthouse,https://www.realestate.com.au/property/st-peters/penthouse-6,realestate.com.au
"$2,422,683 ONO",2422683.0,"36 Elizabeth St, St Peters NSW 2640",St Peters,4,3,3,Villa,https://www.realestate.com.au/property/st-peters/villa-7,realestate.com.au
"$862,910",862910.0,"339 Military Rd, St Peters NSW 2092",St Peters,1,1,0,Villa,https://www.realestate.com.au/property/st-peters/villa-8,realestate.com.au
"Guide $1,501,852",1501852.0,"372 Military Rd, St Peters NSW 2889",St Peters,3,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/st-peters/apartment--unit--flat-10,realestate.com.au
"$1,225,155 ONO",1225155.0,"519 Victoria St, St Peters NSW 2614",St Peters,3,3,1,Townhouse,https://www.realestate.com.au/property/st-peters/townhouse-11,realestate.com.au
"$986,857 - $1,189,816",986857.0,"173 Elizabeth St, St Peters NSW 2250",St Peters,1,1,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/st-peters/apartment--unit--flat-13,realestateview.com.au
"Guide $736,853",736853.0,"784 Pacific Highway, St Peters NSW 2329",St Peters,4,2,0,House,https://www.realestate.com.au/property/st-peters/house-14,realestate.com.au
"$2,052,973",2052973.0,"128 King St, St Peters NSW 2290",St Peters,5,4,1,Penthouse,https://www.realestateview.com.au/property/st-peters/penthouse-15,realestateview.com.au
"$815,711",815711.0,"442 Princes Highway, St Peters NSW 2032",St Peters,3,3,2,Townhouse,https://www.rent.com.au/property/st-peters/townhouse-16,rent.com.au
"Guide $1,933,111",1933111.0,"193 William St, St Peters NSW 2344",St Peters,0,1,1,Studio,https://www.domain.com.au/property/st-peters/studio-17,domain.com.au
"From $1,984,658",1984658.0,"486 Princes Highway, St Peters NSW 2415",St Peters,4,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/st-peters/apartment--unit--flat-18,domain.com.au
"$879,920 - $1,108,122",879920.0,"129 George St, St Peters NSW 2174",St Peters,6,3,3,Penthouse,https://www.domain.com.au/property/st-peters/penthouse-20,domain.com.au
"$575,174 ONO",575174.0,"372 The Boulevarde, St Peters NSW 2374",St Peters,2,1,2,Townhouse,https://www.domain.com.au/property/st-peters/townhouse-21,domain.com.au
"$1,758,031",1758031.0,"956 High St, St Peters NSW 2036",St Peters,5,3,0,Penthouse,https://www.realestateview.com.au/property/st-peters/penthouse-22,realestateview.com.au
"$1,917,568",1917568.0,"574 Edward St, St Peters NSW 2872",St Peters,3,2,0,Townhouse,https://www.rent.com.au/property/st-peters/townhouse-23,rent.com.au
