price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,130,997 ONO",1130997.0,"152 William St, Stanhope Gardens NSW 2109",Stanhope Gardens,6,2,1,Penthouse,https://www.rent.com.au/property/stanhope-gardens/penthouse-0,rent.com.au
"From $1,392,816",1392816.0,"808 Elizabeth St, Stanhope Gardens NSW 2463",Stanhope Gardens,2,1,1,Townhouse,https://www.realestateview.com.au/property/stanhope-gardens/townhouse-2,realestateview.com.au
"Guide $2,350,317",2350317.0,"524 Church St, Stanhope Gardens NSW 2888",Stanhope Gardens,3,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/stanhope-gardens/apartment--unit--flat-3,domain.com.au
"$2,204,033 ONO",2204033.0,"266 Pacific Highway, Stanhope Gardens NSW 2026",Stanhope Gardens,0,1,1,Studio,https://www.domain.com.au/property/stanhope-gardens/studio-4,domain.com.au
"$839,265",839265.0,"962 Main St, Stanhope Gardens NSW 2240",Stanhope Gardens,3,3,2,House,https://www.realestate.com.au/property/stanhope-gardens/house-5,realestate.com.au
"Guide $1,211,849",1211849.0,"546 Ocean Rd, Stanhope Gardens NSW 2409",Stanhope Gardens,0,1,0,Studio,https://www.rent.com.au/property/stanhope-gardens/studio-6,rent.com.au
"$1,376,022",1376022.0,"328 Church St, Stanhope Gardens NSW 2389",Stanhope Gardens,0,1,1,Studio,https://www.domain.com.au/property/stanhope-gardens/studio-7,domain.com.au
"$2,353,419 ONO",2353419.0,"340 James St, Stanhope Gardens NSW 2163",Stanhope Gardens,5,4,1,House,https://www.domain.com.au/property/stanhope-gardens/house-8,domain.com.au
"From $1,079,608",1079608.0,"689 Princes Highway, Stanhope Gardens NSW 2700",Stanhope Gardens,0,1,1,Studio,https://www.domain.com.au/property/stanhope-gardens/studio-9,domain.com.au
"From $572,873",572873.0,"424 Church St, Stanhope Gardens NSW 2181",Stanhope Gardens,3,3,1,Villa,https://www.realestateview.com.au/property/stanhope-gardens/villa-10,realestateview.com.au
"$1,792,496 - $1,852,707",1792496.0,"210 Albert St, Stanhope Gardens NSW 2281",Stanhope Gardens,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/stanhope-gardens/apartment--unit--flat-12,domain.com.au
"From $552,298",552298.0,"43 Military Rd, Stanhope Gardens NSW 2493",Stanhope Gardens,1,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/stanhope-gardens/apartment--unit--flat-13,rent.com.au
"Guide $1,296,920",1296920.0,"840 Princes Highway, Stanhope Gardens NSW 2148",Stanhope Gardens,2,3,1,Townhouse,https://www.rent.com.au/property/stanhope-gardens/townhouse-14,rent.com.au
"From $1,381,535",1381535.0,"681 Market St, Stanhope Gardens NSW 2243",Stanhope Gardens,2,3,1,Villa,https://www.realestateview.com.au/property/stanhope-gardens/villa-15,realestateview.com.au
"Guide $995,854",995854.0,"325 Edward St, Stanhope Gardens NSW 2253",Stanhope Gardens,3,4,0,House,https://www.realestateview.com.au/property/stanhope-gardens/house-16,realestateview.com.au
"$1,755,221",1755221.0,"329 William St, Stanhope Gardens NSW 2225",Stanhope Gardens,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/stanhope-gardens/apartment--unit--flat-17,realestate.com.au
"From $808,548",808548.0,"741 George St, Stanhope Gardens NSW 2963",Stanhope Gardens,2,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/stanhope-gardens/apartment--unit--flat-19,realestateview.com.au
"Guide $1,498,646",1498646.0,"949 Edward St, Stanhope Gardens NSW 2107",Stanhope Gardens,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/stanhope-gardens/apartment--unit--flat-20,rent.com.au
"From $1,705,393",1705393.0,"769 Albert St, Stanhope Gardens NSW 2847",Stanhope Gardens,3,3,1,Penthouse,https://www.rent.com.au/property/stanhope-gardens/penthouse-21,rent.com.au
"$1,386,340 ONO",1386340.0,"53 King St, Stanhope Gardens NSW 2674",Stanhope Gardens,3,4,1,Townhouse,https://www.rent.com.au/property/stanhope-gardens/townhouse-23,rent.com.au
