price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,421,820 - $2,487,384",2421820.0,"832 James St, Stanmore NSW 2805",Stanmore,5,4,0,Penthouse,https://www.domain.com.au/property/stanmore/penthouse-0,domain.com.au
"$1,543,491 ONO",1543491.0,"969 Albert St, Stanmore NSW 2970",Stanmore,3,3,2,Penthouse,https://www.realestateview.com.au/property/stanmore/penthouse-1,realestateview.com.au
"$1,561,619",1561619.0,"495 George St, Stanmore NSW 2953",Stanmore,1,1,1,House,https://www.domain.com.au/property/stanmore/house-2,domain.com.au
"$2,415,481 ONO",2415481.0,"488 William St, Stanmore NSW 2150",Stanmore,3,1,0,House,https://www.realestateview.com.au/property/stanmore/house-3,realestateview.com.au
"From $1,846,147",1846147.0,"436 George St, Stanmore NSW 2753",Stanmore,0,1,0,Studio,https://www.realestateview.com.au/property/stanmore/studio-4,realestateview.com.au
"$2,438,559 - $2,672,466",2438559.0,"187 King St, Stanmore NSW 2191",Stanmore,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/stanmore/apartment--unit--flat-5,domain.com.au
"From $1,700,517",1700517.0,"578 James St, Stanmore NSW 2251",Stanmore,3,4,1,Villa,https://www.domain.com.au/property/stanmore/villa-6,domain.com.au
"From $2,277,681",2277681.0,"299 James St, Stanmore NSW 2089",Stanmore,4,2,1,Townhouse,https://www.realestate.com.au/property/stanmore/townhouse-7,realestate.com.au
"From $1,080,742",1080742.0,"291 Ocean Rd, Stanmore NSW 2081",Stanmore,5,4,0,Penthouse,https://www.realestate.com.au/property/stanmore/penthouse-8,realestate.com.au
"$1,837,454",1837454.0,"580 Victoria St, Stanmore NSW 2022",Stanmore,4,4,3,House,https://www.domain.com.au/property/stanmore/house-9,domain.com.au
"$2,280,765 - $2,435,743",2280765.0,"442 Market St, Stanmore NSW 2261",Stanmore,0,1,0,Studio,https://www.rent.com.au/property/stanmore/studio-10,rent.com.au
"From $831,603",831603.0,"259 Queen St, Stanmore NSW 2745",Stanmore,2,2,0,Villa,https://www.rent.com.au/property/stanmore/villa-11,rent.com.au
"$1,713,282 ONO",1713282.0,"764 Edward St, Stanmore NSW 2737",Stanmore,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/stanmore/apartment--unit--flat-12,domain.com.au
"$718,542 - $847,123",718542.0,"46 Queen St, Stanmore NSW 2741",Stanmore,3,3,3,House,https://www.realestate.com.au/property/stanmore/house-13,realestate.com.au
"$2,049,334 ONO",2049334.0,"21 Albert St, Stanmore NSW 2274",Stanmore,0,1,2,Studio,https://www.domain.com.au/property/stanmore/studio-14,domain.com.au
"Guide $971,825",971825.0,"744 Main St, Stanmore NSW 2820",Stanmore,3,1,1,Villa,https://www.realestate.com.au/property/stanmore/villa-15,realestate.com.au
"Guide $1,748,184",1748184.0,"126 George St, Stanmore NSW 2745",Stanmore,0,1,1,Studio,https://www.domain.com.au/property/stanmore/studio-16,domain.com.au
"From $2,357,022",2357022.0,"918 Main St, Stanmore NSW 2945",Stanmore,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/stanmore/apartment--unit--flat-17,rent.com.au
"$1,876,344 ONO",1876344.0,"454 The Boulevarde, Stanmore NSW 2351",Stanmore,4,4,2,House,https://www.domain.com.au/property/stanmore/house-19,domain.com.au
"$2,340,099 - $2,429,738",2340099.0,"863 George St, Stanmore NSW 2392",Stanmore,2,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/stanmore/apartment--unit--flat-21,domain.com.au
"$2,062,560 - $2,238,955",2062560.0,"574 Victoria St, Stanmore NSW 2627",Stanmore,3,2,0,Townhouse,https://www.rent.com.au/property/stanmore/townhouse-22,rent.com.au
"$701,209",701209.0,"904 Pacific Highway, Stanmore NSW 2550",Stanmore,0,1,0,Studio,https://www.rent.com.au/property/stanmore/studio-23,rent.com.au
