price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,379,624",2379624.0,"441 George St, Stanwell Park NSW 2023",Stanwell Park,1,1,1,House,https://www.domain.com.au/property/stanwell-park/house-0,domain.com.au
"$1,585,392 ONO",1585392.0,"53 Elizabeth St, Stanwell Park NSW 2634",Stanwell Park,3,1,4,Villa,https://www.domain.com.au/property/stanwell-park/villa-1,domain.com.au
"From $1,733,395",1733395.0,"752 Market St, Stanwell Park NSW 2931",Stanwell Park,3,4,0,Villa,https://www.domain.com.au/property/stanwell-park/villa-2,domain.com.au
"$2,136,171 - $2,209,155",2136171.0,"288 Elizabeth St, Stanwell Park NSW 2556",Stanwell Park,2,1,2,Townhouse,https://www.domain.com.au/property/stanwell-park/townhouse-3,domain.com.au
"Guide $589,418",589418.0,"128 Albert St, Stanwell Park NSW 2573",Stanwell Park,3,2,3,Townhouse,https://www.domain.com.au/property/stanwell-park/townhouse-4,domain.com.au
"$1,209,100 ONO",1209100.0,"578 William St, Stanwell Park NSW 2114",Stanwell Park,3,4,3,House,https://www.realestateview.com.au/property/stanwell-park/house-5,realestateview.com.au
"Guide $1,557,408",1557408.0,"186 Elizabeth St, Stanwell Park NSW 2004",Stanwell Park,2,3,2,Villa,https://www.domain.com.au/property/stanwell-park/villa-6,domain.com.au
"$1,472,314",1472314.0,"664 Princes Highway, Stanwell Park NSW 2333",Stanwell Park,1,2,2,Villa,https://www.rent.com.au/property/stanwell-park/villa-7,rent.com.au
"Guide $1,974,191",1974191.0,"163 Elizabeth St, Stanwell Park NSW 2652",Stanwell Park,3,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/stanwell-park/apartment--unit--flat-8,realestateview.com.au
"Guide $1,801,471",1801471.0,"109 King St, Stanwell Park NSW 2380",Stanwell Park,2,1,0,Villa,https://www.domain.com.au/property/stanwell-park/villa-9,domain.com.au
"$814,871 ONO",814871.0,"380 King St, Stanwell Park NSW 2256",Stanwell Park,3,2,1,Townhouse,https://www.rent.com.au/property/stanwell-park/townhouse-10,rent.com.au
"$888,844 ONO",888844.0,"910 Albert St, Stanwell Park NSW 2097",Stanwell Park,2,1,0,Townhouse,https://www.realestateview.com.au/property/stanwell-park/townhouse-11,realestateview.com.au
"$864,092 - $1,005,327",864092.0,"688 High St, Stanwell Park NSW 2060",Stanwell Park,2,1,2,House,https://www.realestate.com.au/property/stanwell-park/house-12,realestate.com.au
"Guide $777,814",777814.0,"957 George St, Stanwell Park NSW 2145",Stanwell Park,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/stanwell-park/apartment--unit--flat-14,realestate.com.au
"Guide $832,545",832545.0,"624 Beach Rd, Stanwell Park NSW 2953",Stanwell Park,5,4,1,Penthouse,https://www.realestate.com.au/property/stanwell-park/penthouse-15,realestate.com.au
"From $2,165,642",2165642.0,"4 Railway St, Stanwell Park NSW 2404",Stanwell Park,6,3,0,Penthouse,https://www.rent.com.au/property/stanwell-park/penthouse-16,rent.com.au
"Guide $858,412",858412.0,"877 William St, Stanwell Park NSW 2021",Stanwell Park,0,1,2,Studio,https://www.realestateview.com.au/property/stanwell-park/studio-17,realestateview.com.au
"$851,226",851226.0,"716 Edward St, Stanwell Park NSW 2696",Stanwell Park,4,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/stanwell-park/apartment--unit--flat-18,rent.com.au
"$1,107,991 - $1,403,972",1107991.0,"971 Albert St, Stanwell Park NSW 2963",Stanwell Park,4,3,1,House,https://www.rent.com.au/property/stanwell-park/house-19,rent.com.au
"From $1,360,432",1360432.0,"908 Albert St, Stanwell Park NSW 2713",Stanwell Park,2,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/stanwell-park/apartment--unit--flat-20,rent.com.au
"$2,061,634 - $2,278,457",2061634.0,"778 Princes Highway, Stanwell Park NSW 2019",Stanwell Park,3,3,1,Penthouse,https://www.rent.com.au/property/stanwell-park/penthouse-21,rent.com.au
"Guide $2,448,044",2448044.0,"463 Ocean Rd, Stanwell Park NSW 2406",Stanwell Park,6,2,2,Penthouse,https://www.realestate.com.au/property/stanwell-park/penthouse-22,realestate.com.au
"$1,082,881 - $1,316,757",1082881.0,"260 James St, Stanwell Park NSW 2300",Stanwell Park,0,1,0,Studio,https://www.domain.com.au/property/stanwell-park/studio-23,domain.com.au
"$1,713,759",1713759.0,"406 Elizabeth St, Stanwell Park NSW 2865",Stanwell Park,0,1,3,Studio,https://www.realestateview.com.au/property/stanwell-park/studio-24,realestateview.com.au
