price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,402,532",2402532.0,"54 Edward St, Strathfield NSW 2216",Strathfield,3,3,0,Penthouse,https://www.domain.com.au/property/strathfield/penthouse-0,domain.com.au
"From $2,347,100",2347100.0,"475 Railway St, Strathfield NSW 2478",Strathfield,2,2,3,Villa,https://www.rent.com.au/property/strathfield/villa-1,rent.com.au
"$1,398,619 - $1,469,414",1398619.0,"529 Albert St, Strathfield NSW 2532",Strathfield,0,1,3,Studio,https://www.domain.com.au/property/strathfield/studio-2,domain.com.au
"Guide $1,113,279",1113279.0,"652 Railway St, Strathfield NSW 2790",Strathfield,1,2,0,Villa,https://www.realestateview.com.au/property/strathfield/villa-3,realestateview.com.au
"$813,357",813357.0,"897 Queen St, Strathfield NSW 2261",Strathfield,1,1,0,Villa,https://www.rent.com.au/property/strathfield/villa-4,rent.com.au
"From $1,505,804",1505804.0,"366 Church St, Strathfield NSW 2149",Strathfield,4,4,1,Penthouse,https://www.domain.com.au/property/strathfield/penthouse-5,domain.com.au
"$1,810,452 - $1,961,555",1810452.0,"415 Military Rd, Strathfield NSW 2607",Strathfield,0,1,2,Studio,https://www.domain.com.au/property/strathfield/studio-6,domain.com.au
"From $2,023,115",2023115.0,"521 George St, Strathfield NSW 2714",Strathfield,3,3,0,House,https://www.rent.com.au/property/strathfield/house-7,rent.com.au
"Guide $2,486,441",2486441.0,"154 Church St, Strathfield NSW 2979",Strathfield,2,3,2,Townhouse,https://www.realestate.com.au/property/strathfield/townhouse-8,realestate.com.au
"$2,179,272 - $2,399,968",2179272.0,"224 The Boulevarde, Strathfield NSW 2753",Strathfield,3,3,4,Penthouse,https://www.domain.com.au/property/strathfield/penthouse-9,domain.com.au
"$1,881,952",1881952.0,"72 Victoria St, Strathfield NSW 2538",Strathfield,4,1,3,House,https://www.rent.com.au/property/strathfield/house-10,rent.com.au
"$606,613 - $682,732",606613.0,"62 Park Ave, Strathfield NSW 2839",Strathfield,6,2,0,Penthouse,https://www.realestateview.com.au/property/strathfield/penthouse-11,realestateview.com.au
"$970,782 ONO",970782.0,"267 Park Ave, Strathfield NSW 2256",Strathfield,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/strathfield/apartment--unit--flat-13,realestate.com.au
"Guide $774,273",774273.0,"179 Princes Highway, Strathfield NSW 2062",Strathfield,2,1,0,House,https://www.rent.com.au/property/strathfield/house-14,rent.com.au
"From $1,937,349",1937349.0,"153 James St, Strathfield NSW 2227",Strathfield,1,2,2,Townhouse,https://www.rent.com.au/property/strathfield/townhouse-15,rent.com.au
"$1,247,073",1247073.0,"431 King St, Strathfield NSW 2807",Strathfield,2,2,0,House,https://www.rent.com.au/property/strathfield/house-16,rent.com.au
"From $570,282",570282.0,"540 Pacific Highway, Strathfield NSW 2054",Strathfield,1,2,0,House,https://www.domain.com.au/property/strathfield/house-17,domain.com.au
"$819,268 - $1,029,365",819268.0,"105 Princes Highway, Strathfield NSW 2356",Strathfield,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/strathfield/apartment--unit--flat-18,rent.com.au
"From $2,209,680",2209680.0,"322 Railway St, Strathfield NSW 2525",Strathfield,0,1,0,Studio,https://www.domain.com.au/property/strathfield/studio-19,domain.com.au
"From $1,134,543",1134543.0,"567 King St, Strathfield NSW 2950",Strathfield,5,4,1,Penthouse,https://www.rent.com.au/property/strathfield/penthouse-20,rent.com.au
"$1,177,185 - $1,418,851",1177185.0,"870 James St, Strathfield NSW 2518",Strathfield,5,2,1,Penthouse,https://www.domain.com.au/property/strathfield/penthouse-21,domain.com.au
"$910,449 ONO",910449.0,"399 The Boulevarde, Strathfield NSW 2587",Strathfield,0,1,3,Studio,https://www.domain.com.au/property/strathfield/studio-22,domain.com.au
"From $1,072,237",1072237.0,"701 Elizabeth St, Strathfield NSW 2196",Strathfield,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/strathfield/apartment--unit--flat-23,realestate.com.au
"Guide $1,347,476",1347476.0,"264 Beach Rd, Strathfield NSW 2349",Strathfield,2,1,2,Townhouse,https://www.rent.com.au/property/strathfield/townhouse-24,rent.com.au
