price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,358,528 ONO",1358528.0,"932 Market St, Surry Hills NSW 2563",Surry Hills,5,3,1,House,https://www.domain.com.au/property/surry-hills/house-0,domain.com.au
"Guide $1,866,871",1866871.0,"540 Elizabeth St, Surry Hills NSW 2469",Surry Hills,0,1,1,Studio,https://www.realestate.com.au/property/surry-hills/studio-1,realestate.com.au
"$2,083,812 - $2,251,769",2083812.0,"237 Main St, Surry Hills NSW 2891",Surry Hills,3,2,2,Penthouse,https://www.domain.com.au/property/surry-hills/penthouse-2,domain.com.au
"Guide $964,128",964128.0,"408 William St, Surry Hills NSW 2282",Surry Hills,3,4,1,Penthouse,https://www.realestate.com.au/property/surry-hills/penthouse-3,realestate.com.au
"$1,722,365 - $1,886,027",1722365.0,"303 Park Ave, Surry Hills NSW 2255",Surry Hills,3,3,1,Penthouse,https://www.domain.com.au/property/surry-hills/penthouse-4,domain.com.au
"From $1,905,382",1905382.0,"946 Edward St, Surry Hills NSW 2920",Surry Hills,2,2,2,House,https://www.rent.com.au/property/surry-hills/house-5,rent.com.au
"$1,127,933",1127933.0,"859 King St, Surry Hills NSW 2674",Surry Hills,3,4,0,House,https://www.rent.com.au/property/surry-hills/house-7,rent.com.au
"Guide $1,877,371",1877371.0,"856 Park Ave, Surry Hills NSW 2850",Surry Hills,5,3,2,Penthouse,https://www.rent.com.au/property/surry-hills/penthouse-8,rent.com.au
"From $1,594,851",1594851.0,"224 Market St, Surry Hills NSW 2779",Surry Hills,1,2,2,Villa,https://www.realestate.com.au/property/surry-hills/villa-9,realestate.com.au
"$720,208 ONO",720208.0,"194 Edward St, Surry Hills NSW 2903",Surry Hills,2,2,1,Townhouse,https://www.realestateview.com.au/property/surry-hills/townhouse-10,realestateview.com.au
"Guide $2,410,577",2410577.0,"779 Albert St, Surry Hills NSW 2033",Surry Hills,0,1,1,Studio,https://www.domain.com.au/property/surry-hills/studio-11,domain.com.au
"$2,438,561",2438561.0,"241 Edward St, Surry Hills NSW 2568",Surry Hills,3,3,2,Penthouse,https://www.domain.com.au/property/surry-hills/penthouse-13,domain.com.au
"$763,149",763149.0,"395 King St, Surry Hills NSW 2826",Surry Hills,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/surry-hills/apartment--unit--flat-15,domain.com.au
"From $1,911,120",1911120.0,"424 Edward St, Surry Hills NSW 2477",Surry Hills,2,3,3,Villa,https://www.realestateview.com.au/property/surry-hills/villa-17,realestateview.com.au
"$841,654 ONO",841654.0,"47 Main St, Surry Hills NSW 2845",Surry Hills,3,2,1,Villa,https://www.rent.com.au/property/surry-hills/villa-18,rent.com.au
"$945,051",945051.0,"264 Market St, Surry Hills NSW 2013",Surry Hills,0,1,1,Studio,https://www.rent.com.au/property/surry-hills/studio-19,rent.com.au
"Guide $2,031,263",2031263.0,"197 Main St, Surry Hills NSW 2350",Surry Hills,5,4,0,Penthouse,https://www.realestateview.com.au/property/surry-hills/penthouse-20,realestateview.com.au
"$1,141,588",1141588.0,"125 Church St, Surry Hills NSW 2343",Surry Hills,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/surry-hills/apartment--unit--flat-21,realestate.com.au
"From $1,824,427",1824427.0,"330 Beach Rd, Surry Hills NSW 2229",Surry Hills,0,1,0,Studio,https://www.realestateview.com.au/property/surry-hills/studio-23,realestateview.com.au
