price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,335,467",2335467.0,"549 High St, Sutherland NSW 2187",Sutherland,2,2,4,Townhouse,https://www.rent.com.au/property/sutherland/townhouse-0,rent.com.au
"$747,155 ONO",747155.0,"429 High St, Sutherland NSW 2322",Sutherland,5,2,1,Penthouse,https://www.realestate.com.au/property/sutherland/penthouse-1,realestate.com.au
"$1,019,449 - $1,266,816",1019449.0,"598 William St, Sutherland NSW 2912",Sutherland,4,1,4,House,https://www.domain.com.au/property/sutherland/house-2,domain.com.au
"From $1,613,566",1613566.0,"364 Pacific Highway, Sutherland NSW 2066",Sutherland,4,3,4,House,https://www.realestateview.com.au/property/sutherland/house-3,realestateview.com.au
"From $2,060,646",2060646.0,"808 Albert St, Sutherland NSW 2439",Sutherland,4,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/sutherland/apartment--unit--flat-4,rent.com.au
"$2,330,979 - $2,630,088",2330979.0,"78 Queen St, Sutherland NSW 2443",Sutherland,2,2,2,Villa,https://www.rent.com.au/property/sutherland/villa-5,rent.com.au
"From $685,992",685992.0,"887 Military Rd, Sutherland NSW 2754",Sutherland,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/sutherland/apartment--unit--flat-6,domain.com.au
"Guide $1,817,187",1817187.0,"794 Park Ave, Sutherland NSW 2886",Sutherland,0,1,1,Studio,https://www.realestateview.com.au/property/sutherland/studio-7,realestateview.com.au
"$2,265,896 ONO",2265896.0,"17 Albert St, Sutherland NSW 2504",Sutherland,2,3,3,Villa,https://www.rent.com.au/property/sutherland/villa-8,rent.com.au
"$2,112,456 - $2,194,722",2112456.0,"577 Military Rd, Sutherland NSW 2449",Sutherland,2,3,0,House,https://www.rent.com.au/property/sutherland/house-9,rent.com.au
"$1,739,579",1739579.0,"949 Railway St, Sutherland NSW 2423",Sutherland,5,3,1,Penthouse,https://www.realestateview.com.au/property/sutherland/penthouse-10,realestateview.com.au
"From $2,246,940",2246940.0,"536 King St, Sutherland NSW 2276",Sutherland,0,1,3,Studio,https://www.realestate.com.au/property/sutherland/studio-11,realestate.com.au
"From $2,222,877",2222877.0,"702 The Boulevarde, Sutherland NSW 2653",Sutherland,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sutherland/apartment--unit--flat-12,realestateview.com.au
"$1,041,748 - $1,301,435",1041748.0,"104 Beach Rd, Sutherland NSW 2068",Sutherland,0,1,0,Studio,https://www.realestateview.com.au/property/sutherland/studio-13,realestateview.com.au
"$588,009 - $680,879",588009.0,"473 Albert St, Sutherland NSW 2834",Sutherland,3,2,3,Villa,https://www.domain.com.au/property/sutherland/villa-14,domain.com.au
"$1,855,578",1855578.0,"932 Elizabeth St, Sutherland NSW 2302",Sutherland,3,3,1,House,https://www.rent.com.au/property/sutherland/house-15,rent.com.au
"$2,488,132 - $2,636,391",2488132.0,"385 Military Rd, Sutherland NSW 2872",Sutherland,1,2,1,Villa,https://www.rent.com.au/property/sutherland/villa-19,rent.com.au
"$642,956 - $827,470",642956.0,"3 Queen St, Sutherland NSW 2383",Sutherland,2,3,4,House,https://www.realestate.com.au/property/sutherland/house-22,realestate.com.au
"$2,408,975",2408975.0,"732 George St, Sutherland NSW 2053",Sutherland,3,3,0,Penthouse,https://www.realestateview.com.au/property/sutherland/penthouse-23,realestateview.com.au
"$1,827,746 ONO",1827746.0,"167 Queen St, Sutherland NSW 2990",Sutherland,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/sutherland/apartment--unit--flat-24,realestate.com.au
