price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,433,752",2433752.0,"289 Ocean Rd, Sydney NSW 2376",Sydney,2,2,1,House,https://www.rent.com.au/property/sydney/house-0,rent.com.au
"Guide $1,954,673",1954673.0,"113 The Boulevarde, Sydney NSW 2551",Sydney,4,4,3,Penthouse,https://www.realestate.com.au/property/sydney/penthouse-1,realestate.com.au
"Guide $705,608",705608.0,"828 King St, Sydney NSW 2436",Sydney,5,3,2,Townhouse,https://www.domain.com.au/property/sydney/townhouse-2,domain.com.au
"$1,895,286",1895286.0,"527 Albert St, Sydney NSW 2004",Sydney,4,2,1,Penthouse,https://www.rent.com.au/property/sydney/penthouse-3,rent.com.au
"$663,012 - $838,227",663012.0,"52 James St, Sydney NSW 2385",Sydney,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/sydney/apartment--unit--flat-4,domain.com.au
"$1,490,837 - $1,623,866",1490837.0,"970 Railway St, Sydney NSW 2413",Sydney,6,2,3,Penthouse,https://www.realestate.com.au/property/sydney/penthouse-5,realestate.com.au
"$2,213,634 ONO",2213634.0,"427 Park Ave, Sydney NSW 2199",Sydney,1,1,2,Townhouse,https://www.domain.com.au/property/sydney/townhouse-6,domain.com.au
"$1,673,144",1673144.0,"426 Edward St, Sydney NSW 2774",Sydney,2,1,4,House,https://www.realestate.com.au/property/sydney/house-7,realestate.com.au
"Guide $2,359,915",2359915.0,"341 James St, Sydney NSW 2097",Sydney,0,1,0,Studio,https://www.realestateview.com.au/property/sydney/studio-8,realestateview.com.au
"Guide $791,434",791434.0,"343 George St, Sydney NSW 2794",Sydney,3,4,0,House,https://www.domain.com.au/property/sydney/house-9,domain.com.au
"$2,338,765",2338765.0,"961 Pacific Highway, Sydney NSW 2738",Sydney,1,1,1,Townhouse,https://www.rent.com.au/property/sydney/townhouse-10,rent.com.au
"$1,327,648 - $1,485,351",1327648.0,"629 Ocean Rd, Sydney NSW 2219",Sydney,6,2,0,Penthouse,https://www.domain.com.au/property/sydney/penthouse-11,domain.com.au
"$2,481,693 - $2,615,713",2481693.0,"260 High St, Sydney NSW 2818",Sydney,3,2,0,Villa,https://www.realestate.com.au/property/sydney/villa-13,realestate.com.au
"From $1,633,654",1633654.0,"598 James St, Sydney NSW 2133",Sydney,0,1,0,Studio,https://www.domain.com.au/property/sydney/studio-15,domain.com.au
"$1,417,303 - $1,642,329",1417303.0,"249 Elizabeth St, Sydney NSW 2488",Sydney,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sydney/apartment--unit--flat-16,realestateview.com.au
"$893,634 ONO",893634.0,"638 Church St, Sydney NSW 2244",Sydney,5,1,0,Townhouse,https://www.realestateview.com.au/property/sydney/townhouse-17,realestateview.com.au
"$772,631",772631.0,"189 Elizabeth St, Sydney NSW 2488",Sydney,2,3,0,Villa,https://www.realestate.com.au/property/sydney/villa-19,realestate.com.au
"$1,469,309",1469309.0,"478 King St, Sydney NSW 2684",Sydney,1,2,2,Townhouse,https://www.domain.com.au/property/sydney/townhouse-20,domain.com.au
"$1,606,301 ONO",1606301.0,"754 Park Ave, Sydney NSW 2838",Sydney,4,4,3,Villa,https://www.realestate.com.au/property/sydney/villa-21,realestate.com.au
"$561,865",561865.0,"408 William St, Sydney NSW 2973",Sydney,0,1,1,Studio,https://www.realestate.com.au/property/sydney/studio-22,realestate.com.au
"From $1,165,351",1165351.0,"208 The Boulevarde, Sydney NSW 2048",Sydney,0,1,2,Studio,https://www.rent.com.au/property/sydney/studio-23,rent.com.au
