price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $781,808",781808.0,"150 George St, Sylvania NSW 2123",Sylvania,5,4,1,Penthouse,https://www.domain.com.au/property/sylvania/penthouse-1,domain.com.au
"From $1,836,019",1836019.0,"291 Park Ave, Sylvania NSW 2969",Sylvania,0,1,2,Studio,https://www.rent.com.au/property/sylvania/studio-2,rent.com.au
"$1,694,980",1694980.0,"972 Pacific Highway, Sylvania NSW 2583",Sylvania,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/sylvania/apartment--unit--flat-3,rent.com.au
"$827,996 - $1,076,037",827996.0,"823 Ocean Rd, Sylvania NSW 2849",Sylvania,2,1,2,Villa,https://www.rent.com.au/property/sylvania/villa-4,rent.com.au
"$2,358,423 - $2,428,738",2358423.0,"736 Market St, Sylvania NSW 2037",Sylvania,6,2,0,Penthouse,https://www.realestateview.com.au/property/sylvania/penthouse-6,realestateview.com.au
"$2,285,474",2285474.0,"198 Queen St, Sylvania NSW 2948",Sylvania,3,3,2,Villa,https://www.realestate.com.au/property/sylvania/villa-7,realestate.com.au
"$1,577,456",1577456.0,"492 Church St, Sylvania NSW 2131",Sylvania,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/sylvania/apartment--unit--flat-8,domain.com.au
"$582,917 - $774,376",582917.0,"847 The Boulevarde, Sylvania NSW 2258",Sylvania,5,3,0,House,https://www.realestateview.com.au/property/sylvania/house-9,realestateview.com.au
"$1,409,057 - $1,573,359",1409057.0,"809 Elizabeth St, Sylvania NSW 2136",Sylvania,4,2,2,Villa,https://www.realestate.com.au/property/sylvania/villa-11,realestate.com.au
"Guide $1,331,692",1331692.0,"453 George St, Sylvania NSW 2437",Sylvania,1,1,1,House,https://www.realestate.com.au/property/sylvania/house-12,realestate.com.au
"From $1,979,546",1979546.0,"545 Victoria St, Sylvania NSW 2564",Sylvania,0,1,3,Studio,https://www.domain.com.au/property/sylvania/studio-13,domain.com.au
"$787,207 ONO",787207.0,"387 Park Ave, Sylvania NSW 2970",Sylvania,2,2,0,Townhouse,https://www.domain.com.au/property/sylvania/townhouse-14,domain.com.au
"$841,742",841742.0,"658 Beach Rd, Sylvania NSW 2417",Sylvania,3,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sylvania/apartment--unit--flat-15,realestateview.com.au
"$1,470,562 ONO",1470562.0,"174 Beach Rd, Sylvania NSW 2222",Sylvania,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/sylvania/apartment--unit--flat-17,realestateview.com.au
"$804,020",804020.0,"516 William St, Sylvania NSW 2817",Sylvania,4,3,0,Villa,https://www.realestate.com.au/property/sylvania/villa-18,realestate.com.au
"Guide $967,886",967886.0,"554 Albert St, Sylvania NSW 2128",Sylvania,6,4,2,Townhouse,https://www.domain.com.au/property/sylvania/townhouse-19,domain.com.au
"$1,611,412 - $1,775,096",1611412.0,"785 Albert St, Sylvania NSW 2360",Sylvania,4,3,2,House,https://www.realestateview.com.au/property/sylvania/house-20,realestateview.com.au
"$734,755 ONO",734755.0,"760 Church St, Sylvania NSW 2116",Sylvania,3,1,1,Townhouse,https://www.realestate.com.au/property/sylvania/townhouse-21,realestate.com.au
"From $2,156,042",2156042.0,"775 Beach Rd, Sylvania NSW 2085",Sylvania,2,3,4,Villa,https://www.domain.com.au/property/sylvania/villa-22,domain.com.au
"$564,974 - $803,186",564974.0,"121 James St, Sylvania NSW 2875",Sylvania,3,3,2,House,https://www.rent.com.au/property/sylvania/house-24,rent.com.au
