price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,391,605 ONO",1391605.0,"785 Edward St, Sylvania Waters NSW 2941",Sylvania Waters,2,1,0,Villa,https://www.realestate.com.au/property/sylvania-waters/villa-1,realestate.com.au
"$1,463,097",1463097.0,"603 Market St, Sylvania Waters NSW 2180",Sylvania Waters,3,4,2,Penthouse,https://www.realestate.com.au/property/sylvania-waters/penthouse-2,realestate.com.au
"$710,311 - $986,051",710311.0,"628 Princes Highway, Sylvania Waters NSW 2437",Sylvania Waters,3,2,0,Penthouse,https://www.realestateview.com.au/property/sylvania-waters/penthouse-3,realestateview.com.au
"$532,438 ONO",532438.0,"315 Ocean Rd, Sylvania Waters NSW 2507",Sylvania Waters,0,1,2,Studio,https://www.domain.com.au/property/sylvania-waters/studio-4,domain.com.au
"$1,730,637",1730637.0,"949 Military Rd, Sylvania Waters NSW 2282",Sylvania Waters,2,1,2,House,https://www.rent.com.au/property/sylvania-waters/house-6,rent.com.au
"$2,038,632 ONO",2038632.0,"159 Ocean Rd, Sylvania Waters NSW 2294",Sylvania Waters,3,1,3,Townhouse,https://www.realestate.com.au/property/sylvania-waters/townhouse-7,realestate.com.au
"$757,204 - $967,133",757204.0,"25 Ocean Rd, Sylvania Waters NSW 2257",Sylvania Waters,3,4,2,Villa,https://www.realestateview.com.au/property/sylvania-waters/villa-8,realestateview.com.au
"$2,448,126",2448126.0,"168 Beach Rd, Sylvania Waters NSW 2599",Sylvania Waters,4,2,3,Townhouse,https://www.domain.com.au/property/sylvania-waters/townhouse-9,domain.com.au
"$1,015,357 ONO",1015357.0,"95 The Boulevarde, Sylvania Waters NSW 2761",Sylvania Waters,6,3,2,Penthouse,https://www.rent.com.au/property/sylvania-waters/penthouse-11,rent.com.au
"Guide $1,793,500",1793500.0,"817 Edward St, Sylvania Waters NSW 2781",Sylvania Waters,4,2,0,House,https://www.domain.com.au/property/sylvania-waters/house-12,domain.com.au
"$2,435,842 ONO",2435842.0,"357 Edward St, Sylvania Waters NSW 2571",Sylvania Waters,3,3,1,Townhouse,https://www.rent.com.au/property/sylvania-waters/townhouse-13,rent.com.au
"$1,803,426",1803426.0,"367 James St, Sylvania Waters NSW 2215",Sylvania Waters,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/sylvania-waters/apartment--unit--flat-14,rent.com.au
"$561,898",561898.0,"684 Elizabeth St, Sylvania Waters NSW 2716",Sylvania Waters,4,4,3,Penthouse,https://www.rent.com.au/property/sylvania-waters/penthouse-16,rent.com.au
"$1,700,890 - $1,999,348",1700890.0,"947 Beach Rd, Sylvania Waters NSW 2910",Sylvania Waters,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/sylvania-waters/apartment--unit--flat-17,rent.com.au
"From $2,030,835",2030835.0,"357 Ocean Rd, Sylvania Waters NSW 2020",Sylvania Waters,0,1,0,Studio,https://www.realestate.com.au/property/sylvania-waters/studio-18,realestate.com.au
"From $2,240,863",2240863.0,"959 Elizabeth St, Sylvania Waters NSW 2860",Sylvania Waters,3,2,4,Townhouse,https://www.realestate.com.au/property/sylvania-waters/townhouse-19,realestate.com.au
"From $1,159,345",1159345.0,"576 Pacific Highway, Sylvania Waters NSW 2100",Sylvania Waters,1,2,0,Villa,https://www.domain.com.au/property/sylvania-waters/villa-20,domain.com.au
"$1,586,284 ONO",1586284.0,"598 Market St, Sylvania Waters NSW 2822",Sylvania Waters,1,2,1,Villa,https://www.realestate.com.au/property/sylvania-waters/villa-21,realestate.com.au
"From $1,113,573",1113573.0,"261 Edward St, Sylvania Waters NSW 2008",Sylvania Waters,3,3,0,Penthouse,https://www.domain.com.au/property/sylvania-waters/penthouse-23,domain.com.au
"From $788,588",788588.0,"763 William St, Sylvania Waters NSW 2956",Sylvania Waters,2,2,0,Villa,https://www.realestate.com.au/property/sylvania-waters/villa-24,realestate.com.au
