price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,278,313",1278313.0,"990 Railway St, Tempe NSW 2106",Tempe,3,2,1,Penthouse,https://www.domain.com.au/property/tempe/penthouse-0,domain.com.au
"From $2,222,697",2222697.0,"97 Edward St, Tempe NSW 2564",Tempe,2,3,0,House,https://www.realestateview.com.au/property/tempe/house-1,realestateview.com.au
"From $914,214",914214.0,"471 Beach Rd, Tempe NSW 2633",Tempe,5,3,3,Penthouse,https://www.rent.com.au/property/tempe/penthouse-2,rent.com.au
"$1,622,604 - $1,887,114",1622604.0,"602 Edward St, Tempe NSW 2512",Tempe,3,1,3,House,https://www.realestate.com.au/property/tempe/house-3,realestate.com.au
"$524,650 ONO",524650.0,"176 Main St, Tempe NSW 2693",Tempe,0,1,1,Studio,https://www.realestateview.com.au/property/tempe/studio-4,realestateview.com.au
"Guide $1,673,852",1673852.0,"880 Main St, Tempe NSW 2670",Tempe,3,3,3,Villa,https://www.realestateview.com.au/property/tempe/villa-5,realestateview.com.au
"$1,568,767",1568767.0,"736 George St, Tempe NSW 2389",Tempe,3,2,2,Townhouse,https://www.realestateview.com.au/property/tempe/townhouse-6,realestateview.com.au
"From $858,172",858172.0,"522 Ocean Rd, Tempe NSW 2086",Tempe,1,1,1,House,https://www.realestateview.com.au/property/tempe/house-7,realestateview.com.au
"Guide $1,957,500",1957500.0,"863 Main St, Tempe NSW 2221",Tempe,2,1,1,Townhouse,https://www.rent.com.au/property/tempe/townhouse-9,rent.com.au
"$1,500,791 - $1,800,153",1500791.0,"810 King St, Tempe NSW 2325",Tempe,0,1,2,Studio,https://www.realestateview.com.au/property/tempe/studio-10,realestateview.com.au
"$1,170,308 ONO",1170308.0,"707 Beach Rd, Tempe NSW 2442",Tempe,0,1,1,Studio,https://www.domain.com.au/property/tempe/studio-11,domain.com.au
"$2,225,379 ONO",2225379.0,"422 Victoria St, Tempe NSW 2997",Tempe,4,3,2,House,https://www.realestate.com.au/property/tempe/house-12,realestate.com.au
"From $2,129,843",2129843.0,"745 Railway St, Tempe NSW 2785",Tempe,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/tempe/apartment--unit--flat-13,realestate.com.au
"$556,217 ONO",556217.0,"685 Queen St, Tempe NSW 2319",Tempe,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/tempe/apartment--unit--flat-15,realestateview.com.au
"$1,184,813 - $1,239,041",1184813.0,"402 Church St, Tempe NSW 2235",Tempe,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/tempe/apartment--unit--flat-16,realestate.com.au
"$740,772 - $1,022,370",740772.0,"174 Albert St, Tempe NSW 2946",Tempe,3,3,2,Townhouse,https://www.realestateview.com.au/property/tempe/townhouse-18,realestateview.com.au
"Guide $2,215,449",2215449.0,"554 Victoria St, Tempe NSW 2024",Tempe,4,1,0,House,https://www.domain.com.au/property/tempe/house-20,domain.com.au
"From $2,388,719",2388719.0,"766 The Boulevarde, Tempe NSW 2756",Tempe,1,2,2,House,https://www.realestateview.com.au/property/tempe/house-22,realestateview.com.au
"$1,850,742 ONO",1850742.0,"239 Railway St, Tempe NSW 2420",Tempe,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/tempe/apartment--unit--flat-23,domain.com.au
"$2,305,444 - $2,386,536",2305444.0,"224 Pacific Highway, Tempe NSW 2671",Tempe,2,3,3,Villa,https://www.rent.com.au/property/tempe/villa-24,rent.com.au
