price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,375,655 - $2,534,638",2375655.0,"445 Victoria St, Thornleigh NSW 2521",Thornleigh,3,2,2,Townhouse,https://www.rent.com.au/property/thornleigh/townhouse-0,rent.com.au
"$1,000,555",1000555.0,"646 Main St, Thornleigh NSW 2723",Thornleigh,3,1,0,House,https://www.rent.com.au/property/thornleigh/house-1,rent.com.au
"From $632,427",632427.0,"25 King St, Thornleigh NSW 2134",Thornleigh,2,3,0,Townhouse,https://www.rent.com.au/property/thornleigh/townhouse-2,rent.com.au
"Guide $559,306",559306.0,"226 King St, Thornleigh NSW 2788",Thornleigh,0,1,0,Studio,https://www.domain.com.au/property/thornleigh/studio-3,domain.com.au
"Guide $1,120,069",1120069.0,"825 William St, Thornleigh NSW 2883",Thornleigh,6,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/thornleigh/apartment--unit--flat-4,domain.com.au
"$1,416,786",1416786.0,"968 Main St, Thornleigh NSW 2457",Thornleigh,3,4,0,House,https://www.rent.com.au/property/thornleigh/house-6,rent.com.au
"$744,877",744877.0,"338 Church St, Thornleigh NSW 2176",Thornleigh,1,2,2,Villa,https://www.realestate.com.au/property/thornleigh/villa-7,realestate.com.au
"Guide $1,050,932",1050932.0,"159 Edward St, Thornleigh NSW 2784",Thornleigh,3,2,0,Penthouse,https://www.rent.com.au/property/thornleigh/penthouse-8,rent.com.au
"$577,882 - $684,571",577882.0,"531 Pacific Highway, Thornleigh NSW 2879",Thornleigh,4,3,2,Penthouse,https://www.rent.com.au/property/thornleigh/penthouse-9,rent.com.au
"From $672,854",672854.0,"876 Park Ave, Thornleigh NSW 2205",Thornleigh,1,2,0,House,https://www.rent.com.au/property/thornleigh/house-11,rent.com.au
"$1,858,169",1858169.0,"921 Ocean Rd, Thornleigh NSW 2005",Thornleigh,3,1,0,Villa,https://www.realestateview.com.au/property/thornleigh/villa-12,realestateview.com.au
"$2,214,124",2214124.0,"861 Beach Rd, Thornleigh NSW 2463",Thornleigh,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/thornleigh/apartment--unit--flat-13,rent.com.au
"$1,444,581 ONO",1444581.0,"12 Market St, Thornleigh NSW 2105",Thornleigh,3,3,1,Penthouse,https://www.realestate.com.au/property/thornleigh/penthouse-14,realestate.com.au
"$1,788,613 - $1,950,648",1788613.0,"355 High St, Thornleigh NSW 2934",Thornleigh,2,2,2,House,https://www.realestate.com.au/property/thornleigh/house-15,realestate.com.au
"From $1,788,210",1788210.0,"808 Market St, Thornleigh NSW 2813",Thornleigh,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/thornleigh/apartment--unit--flat-17,realestate.com.au
"$2,092,968 - $2,282,277",2092968.0,"247 Elizabeth St, Thornleigh NSW 2171",Thornleigh,5,3,0,Penthouse,https://www.domain.com.au/property/thornleigh/penthouse-18,domain.com.au
"Guide $1,282,515",1282515.0,"990 Park Ave, Thornleigh NSW 2699",Thornleigh,3,1,3,House,https://www.realestateview.com.au/property/thornleigh/house-19,realestateview.com.au
"$1,840,512",1840512.0,"485 Albert St, Thornleigh NSW 2166",Thornleigh,0,1,0,Studio,https://www.domain.com.au/property/thornleigh/studio-20,domain.com.au
"$1,025,540",1025540.0,"901 Queen St, Thornleigh NSW 2186",Thornleigh,3,3,2,Townhouse,https://www.domain.com.au/property/thornleigh/townhouse-22,domain.com.au
"From $2,162,041",2162041.0,"702 Victoria St, Thornleigh NSW 2977",Thornleigh,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/thornleigh/apartment--unit--flat-24,realestateview.com.au
