price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,428,636",1428636.0,"146 Market St, Toongabbie NSW 2058",Toongabbie,0,1,1,Studio,https://www.realestateview.com.au/property/toongabbie/studio-0,realestateview.com.au
"Guide $1,790,350",1790350.0,"296 Princes Highway, Toongabbie NSW 2885",Toongabbie,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/toongabbie/apartment--unit--flat-1,realestate.com.au
"From $2,101,180",2101180.0,"298 The Boulevarde, Toongabbie NSW 2512",Toongabbie,0,1,2,Studio,https://www.rent.com.au/property/toongabbie/studio-2,rent.com.au
"From $1,434,394",1434394.0,"216 Railway St, Toongabbie NSW 2598",Toongabbie,5,3,3,Villa,https://www.realestateview.com.au/property/toongabbie/villa-3,realestateview.com.au
"Guide $839,144",839144.0,"458 Military Rd, Toongabbie NSW 2355",Toongabbie,2,1,0,Townhouse,https://www.rent.com.au/property/toongabbie/townhouse-4,rent.com.au
"Guide $899,726",899726.0,"738 The Boulevarde, Toongabbie NSW 2627",Toongabbie,5,1,3,Villa,https://www.realestate.com.au/property/toongabbie/villa-5,realestate.com.au
"$675,476",675476.0,"870 William St, Toongabbie NSW 2151",Toongabbie,1,2,2,House,https://www.domain.com.au/property/toongabbie/house-6,domain.com.au
"Guide $2,424,778",2424778.0,"732 Military Rd, Toongabbie NSW 2776",Toongabbie,1,2,1,Villa,https://www.domain.com.au/property/toongabbie/villa-8,domain.com.au
"$2,343,209 - $2,424,790",2343209.0,"194 Elizabeth St, Toongabbie NSW 2660",Toongabbie,4,3,0,House,https://www.domain.com.au/property/toongabbie/house-9,domain.com.au
"Guide $2,125,292",2125292.0,"517 Ocean Rd, Toongabbie NSW 2276",Toongabbie,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/toongabbie/apartment--unit--flat-10,realestate.com.au
"Guide $2,392,495",2392495.0,"834 Princes Highway, Toongabbie NSW 2488",Toongabbie,3,4,1,House,https://www.realestateview.com.au/property/toongabbie/house-11,realestateview.com.au
"From $1,199,782",1199782.0,"278 Pacific Highway, Toongabbie NSW 2554",Toongabbie,0,1,0,Studio,https://www.realestate.com.au/property/toongabbie/studio-13,realestate.com.au
"Guide $1,513,288",1513288.0,"866 Main St, Toongabbie NSW 2424",Toongabbie,4,3,2,Villa,https://www.rent.com.au/property/toongabbie/villa-14,rent.com.au
"Guide $1,269,623",1269623.0,"154 Albert St, Toongabbie NSW 2328",Toongabbie,3,4,2,House,https://www.realestate.com.au/property/toongabbie/house-15,realestate.com.au
"$1,097,413 ONO",1097413.0,"376 Beach Rd, Toongabbie NSW 2343",Toongabbie,3,3,2,Penthouse,https://www.domain.com.au/property/toongabbie/penthouse-16,domain.com.au
"$1,967,287",1967287.0,"43 Military Rd, Toongabbie NSW 2427",Toongabbie,3,4,0,Penthouse,https://www.realestate.com.au/property/toongabbie/penthouse-17,realestate.com.au
"Guide $811,001",811001.0,"242 James St, Toongabbie NSW 2757",Toongabbie,4,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/toongabbie/apartment--unit--flat-18,realestate.com.au
"$2,403,556 ONO",2403556.0,"278 Pacific Highway, Toongabbie NSW 2491",Toongabbie,4,1,2,House,https://www.domain.com.au/property/toongabbie/house-19,domain.com.au
"Guide $2,253,444",2253444.0,"988 Beach Rd, Toongabbie NSW 2658",Toongabbie,4,4,1,Townhouse,https://www.realestate.com.au/property/toongabbie/townhouse-20,realestate.com.au
"$1,059,692 - $1,110,214",1059692.0,"490 Pacific Highway, Toongabbie NSW 2095",Toongabbie,2,3,0,Villa,https://www.realestate.com.au/property/toongabbie/villa-21,realestate.com.au
"$693,800",693800.0,"576 George St, Toongabbie NSW 2381",Toongabbie,0,1,2,Studio,https://www.domain.com.au/property/toongabbie/studio-22,domain.com.au
