price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,823,672",1823672.0,"370 Ocean Rd, Tregear NSW 2588",Tregear,6,4,3,Penthouse,https://www.realestateview.com.au/property/tregear/penthouse-0,realestateview.com.au
"Guide $1,825,221",1825221.0,"458 Main St, Tregear NSW 2273",Tregear,3,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/tregear/apartment--unit--flat-1,realestateview.com.au
"$1,895,114 - $2,061,542",1895114.0,"601 Beach Rd, Tregear NSW 2531",Tregear,4,4,3,Villa,https://www.realestate.com.au/property/tregear/villa-2,realestate.com.au
"$994,768",994768.0,"659 King St, Tregear NSW 2403",Tregear,4,4,0,Townhouse,https://www.realestate.com.au/property/tregear/townhouse-3,realestate.com.au
"$2,275,567",2275567.0,"249 King St, Tregear NSW 2889",Tregear,6,3,0,Penthouse,https://www.domain.com.au/property/tregear/penthouse-4,domain.com.au
"$618,205",618205.0,"403 Market St, Tregear NSW 2086",Tregear,3,3,0,Penthouse,https://www.rent.com.au/property/tregear/penthouse-5,rent.com.au
"Guide $1,045,310",1045310.0,"987 Elizabeth St, Tregear NSW 2793",Tregear,2,3,1,Villa,https://www.domain.com.au/property/tregear/villa-6,domain.com.au
"$2,347,147 ONO",2347147.0,"979 Pacific Highway, Tregear NSW 2010",Tregear,4,3,2,Villa,https://www.domain.com.au/property/tregear/villa-7,domain.com.au
"$2,228,976 ONO",2228976.0,"462 High St, Tregear NSW 2416",Tregear,4,1,2,Townhouse,https://www.domain.com.au/property/tregear/townhouse-8,domain.com.au
"$2,143,838 ONO",2143838.0,"667 High St, Tregear NSW 2444",Tregear,0,1,2,Studio,https://www.rent.com.au/property/tregear/studio-9,rent.com.au
"$1,013,695 - $1,202,416",1013695.0,"52 Military Rd, Tregear NSW 2818",Tregear,0,1,0,Studio,https://www.rent.com.au/property/tregear/studio-11,rent.com.au
"Guide $1,558,745",1558745.0,"848 Railway St, Tregear NSW 2138",Tregear,2,3,0,Villa,https://www.rent.com.au/property/tregear/villa-12,rent.com.au
"$2,499,434 ONO",2499434.0,"832 Albert St, Tregear NSW 2180",Tregear,4,2,0,Townhouse,https://www.domain.com.au/property/tregear/townhouse-13,domain.com.au
"$1,477,468 - $1,531,009",1477468.0,"227 Pacific Highway, Tregear NSW 2905",Tregear,2,2,3,House,https://www.realestateview.com.au/property/tregear/house-14,realestateview.com.au
"Guide $1,977,155",1977155.0,"736 George St, Tregear NSW 2324",Tregear,0,1,2,Studio,https://www.domain.com.au/property/tregear/studio-15,domain.com.au
"$1,550,246",1550246.0,"386 Pacific Highway, Tregear NSW 2438",Tregear,0,1,0,Studio,https://www.realestateview.com.au/property/tregear/studio-17,realestateview.com.au
"$1,357,129",1357129.0,"71 Princes Highway, Tregear NSW 2651",Tregear,2,3,2,Townhouse,https://www.realestateview.com.au/property/tregear/townhouse-18,realestateview.com.au
"$1,091,836 - $1,322,589",1091836.0,"460 Victoria St, Tregear NSW 2540",Tregear,4,4,1,Townhouse,https://www.realestate.com.au/property/tregear/townhouse-19,realestate.com.au
"$2,250,894",2250894.0,"761 Ocean Rd, Tregear NSW 2427",Tregear,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/tregear/apartment--unit--flat-20,realestate.com.au
"Guide $1,878,887",1878887.0,"819 Market St, Tregear NSW 2687",Tregear,4,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/tregear/apartment--unit--flat-21,rent.com.au
"$615,735 - $721,075",615735.0,"950 Church St, Tregear NSW 2728",Tregear,2,1,0,House,https://www.realestateview.com.au/property/tregear/house-22,realestateview.com.au
"Guide $2,394,044",2394044.0,"761 Edward St, Tregear NSW 2927",Tregear,4,2,2,Penthouse,https://www.realestateview.com.au/property/tregear/penthouse-23,realestateview.com.au
"$721,180 ONO",721180.0,"243 Princes Highway, Tregear NSW 2270",Tregear,1,2,1,Townhouse,https://www.realestateview.com.au/property/tregear/townhouse-24,realestateview.com.au
