price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,162,688 - $1,303,355",1162688.0,"12 Park Ave, Turramurra NSW 2195",Turramurra,2,3,1,House,https://www.rent.com.au/property/turramurra/house-0,rent.com.au
"$1,778,655 - $2,008,011",1778655.0,"465 King St, Turramurra NSW 2299",Turramurra,4,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/turramurra/apartment--unit--flat-1,domain.com.au
"$1,966,262",1966262.0,"986 Albert St, Turramurra NSW 2294",Turramurra,0,1,3,Studio,https://www.realestateview.com.au/property/turramurra/studio-2,realestateview.com.au
"From $656,705",656705.0,"992 Queen St, Turramurra NSW 2716",Turramurra,6,2,1,Penthouse,https://www.realestate.com.au/property/turramurra/penthouse-3,realestate.com.au
"$584,956",584956.0,"737 Princes Highway, Turramurra NSW 2437",Turramurra,2,2,0,Townhouse,https://www.realestate.com.au/property/turramurra/townhouse-5,realestate.com.au
"$2,438,966",2438966.0,"80 Main St, Turramurra NSW 2896",Turramurra,0,1,1,Studio,https://www.realestateview.com.au/property/turramurra/studio-6,realestateview.com.au
"From $1,482,662",1482662.0,"953 William St, Turramurra NSW 2576",Turramurra,6,3,3,Penthouse,https://www.realestate.com.au/property/turramurra/penthouse-7,realestate.com.au
"From $1,371,557",1371557.0,"637 George St, Turramurra NSW 2321",Turramurra,3,4,2,Townhouse,https://www.realestateview.com.au/property/turramurra/townhouse-8,realestateview.com.au
"$2,267,905 ONO",2267905.0,"788 Railway St, Turramurra NSW 2414",Turramurra,5,3,0,Villa,https://www.domain.com.au/property/turramurra/villa-9,domain.com.au
"Guide $752,591",752591.0,"264 William St, Turramurra NSW 2171",Turramurra,5,3,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/turramurra/apartment--unit--flat-11,realestate.com.au
"Guide $1,711,381",1711381.0,"187 Railway St, Turramurra NSW 2707",Turramurra,3,3,0,Penthouse,https://www.rent.com.au/property/turramurra/penthouse-12,rent.com.au
"From $623,200",623200.0,"834 King St, Turramurra NSW 2142",Turramurra,2,1,1,House,https://www.domain.com.au/property/turramurra/house-13,domain.com.au
"From $681,414",681414.0,"427 Ocean Rd, Turramurra NSW 2519",Turramurra,3,1,0,Townhouse,https://www.rent.com.au/property/turramurra/townhouse-14,rent.com.au
"From $772,229",772229.0,"203 Princes Highway, Turramurra NSW 2128",Turramurra,1,1,2,Townhouse,https://www.domain.com.au/property/turramurra/townhouse-15,domain.com.au
"$992,552 - $1,218,307",992552.0,"77 Military Rd, Turramurra NSW 2873",Turramurra,2,1,3,House,https://www.realestateview.com.au/property/turramurra/house-16,realestateview.com.au
"$1,200,409 ONO",1200409.0,"437 Railway St, Turramurra NSW 2915",Turramurra,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/turramurra/apartment--unit--flat-17,rent.com.au
"$1,838,598",1838598.0,"291 Market St, Turramurra NSW 2716",Turramurra,5,4,1,Penthouse,https://www.realestate.com.au/property/turramurra/penthouse-18,realestate.com.au
"Guide $1,332,436",1332436.0,"32 Church St, Turramurra NSW 2261",Turramurra,5,2,1,Penthouse,https://www.realestate.com.au/property/turramurra/penthouse-19,realestate.com.au
"$1,676,334 ONO",1676334.0,"402 Albert St, Turramurra NSW 2058",Turramurra,1,2,2,House,https://www.rent.com.au/property/turramurra/house-20,rent.com.au
"$1,741,618",1741618.0,"608 Railway St, Turramurra NSW 2585",Turramurra,2,3,1,House,https://www.domain.com.au/property/turramurra/house-21,domain.com.au
"$1,291,780",1291780.0,"935 Princes Highway, Turramurra NSW 2748",Turramurra,2,2,0,Townhouse,https://www.realestate.com.au/property/turramurra/townhouse-22,realestate.com.au
"$1,979,373",1979373.0,"110 Edward St, Turramurra NSW 2108",Turramurra,5,2,0,Villa,https://www.realestate.com.au/property/turramurra/villa-24,realestate.com.au
