price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,812,279 - $1,973,111",1812279.0,"29 James St, Ultimo NSW 2738",Ultimo,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/ultimo/apartment--unit--flat-0,domain.com.au
"$2,390,247 - $2,444,400",2390247.0,"880 Market St, Ultimo NSW 2354",Ultimo,2,1,1,Villa,https://www.rent.com.au/property/ultimo/villa-1,rent.com.au
"$1,781,053 ONO",1781053.0,"74 Princes Highway, Ultimo NSW 2189",Ultimo,3,1,2,Townhouse,https://www.realestate.com.au/property/ultimo/townhouse-2,realestate.com.au
"$1,695,979 - $1,907,447",1695979.0,"78 Elizabeth St, Ultimo NSW 2379",Ultimo,4,3,1,Townhouse,https://www.realestateview.com.au/property/ultimo/townhouse-3,realestateview.com.au
"$930,302",930302.0,"888 Albert St, Ultimo NSW 2052",Ultimo,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/ultimo/apartment--unit--flat-5,rent.com.au
"$748,878 - $990,893",748878.0,"535 Albert St, Ultimo NSW 2626",Ultimo,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/ultimo/apartment--unit--flat-6,rent.com.au
"From $1,708,363",1708363.0,"531 Beach Rd, Ultimo NSW 2862",Ultimo,1,2,2,Villa,https://www.realestateview.com.au/property/ultimo/villa-7,realestateview.com.au
"From $655,043",655043.0,"372 Beach Rd, Ultimo NSW 2790",Ultimo,1,2,4,Villa,https://www.realestateview.com.au/property/ultimo/villa-8,realestateview.com.au
"$1,884,604 - $1,988,820",1884604.0,"4 James St, Ultimo NSW 2430",Ultimo,2,3,1,Townhouse,https://www.realestate.com.au/property/ultimo/townhouse-9,realestate.com.au
"$1,213,857 ONO",1213857.0,"216 Princes Highway, Ultimo NSW 2972",Ultimo,2,3,0,Villa,https://www.realestate.com.au/property/ultimo/villa-10,realestate.com.au
"$1,875,300 - $2,137,046",1875300.0,"133 Beach Rd, Ultimo NSW 2742",Ultimo,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/ultimo/apartment--unit--flat-11,domain.com.au
"$1,068,089 - $1,314,944",1068089.0,"778 Victoria St, Ultimo NSW 2991",Ultimo,4,3,1,Penthouse,https://www.rent.com.au/property/ultimo/penthouse-12,rent.com.au
"Guide $1,652,963",1652963.0,"899 Victoria St, Ultimo NSW 2670",Ultimo,5,1,1,House,https://www.domain.com.au/property/ultimo/house-13,domain.com.au
"Guide $2,103,339",2103339.0,"680 Princes Highway, Ultimo NSW 2166",Ultimo,2,1,0,Townhouse,https://www.rent.com.au/property/ultimo/townhouse-14,rent.com.au
"$576,778",576778.0,"573 James St, Ultimo NSW 2498",Ultimo,4,3,1,Townhouse,https://www.rent.com.au/property/ultimo/townhouse-15,rent.com.au
"$2,394,631 ONO",2394631.0,"170 James St, Ultimo NSW 2109",Ultimo,0,1,3,Studio,https://www.realestate.com.au/property/ultimo/studio-16,realestate.com.au
"From $2,211,307",2211307.0,"365 Main St, Ultimo NSW 2691",Ultimo,4,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ultimo/apartment--unit--flat-17,realestateview.com.au
"$1,302,087",1302087.0,"829 Market St, Ultimo NSW 2847",Ultimo,4,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ultimo/apartment--unit--flat-18,realestateview.com.au
"$971,556",971556.0,"889 Church St, Ultimo NSW 2073",Ultimo,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ultimo/apartment--unit--flat-19,realestateview.com.au
"$2,258,381",2258381.0,"118 Victoria St, Ultimo NSW 2957",Ultimo,5,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ultimo/apartment--unit--flat-20,realestateview.com.au
"From $2,154,297",2154297.0,"344 Beach Rd, Ultimo NSW 2163",Ultimo,2,1,1,House,https://www.realestate.com.au/property/ultimo/house-21,realestate.com.au
"From $1,415,620",1415620.0,"696 James St, Ultimo NSW 2892",Ultimo,1,2,0,Townhouse,https://www.rent.com.au/property/ultimo/townhouse-22,rent.com.au
"$1,853,394",1853394.0,"759 Main St, Ultimo NSW 2778",Ultimo,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/ultimo/apartment--unit--flat-23,realestateview.com.au
