price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,390,896",2390896.0,"298 Princes Highway, Vaucluse NSW 2405",Vaucluse,4,3,1,Penthouse,https://www.realestate.com.au/property/vaucluse/penthouse-1,realestate.com.au
"$2,592,241 - $2,863,437",2592241.0,"669 Queen St, Vaucluse NSW 2566",Vaucluse,4,3,1,Penthouse,https://www.realestate.com.au/property/vaucluse/penthouse-4,realestate.com.au
"From $4,546,354",4546354.0,"210 William St, Vaucluse NSW 2526",Vaucluse,0,1,2,Studio,https://www.domain.com.au/property/vaucluse/studio-5,domain.com.au
"$2,888,805 ONO",2888805.0,"695 The Boulevarde, Vaucluse NSW 2797",Vaucluse,2,2,3,Terrace,https://www.realestate.com.au/property/vaucluse/terrace-6,realestate.com.au
"$1,898,588",1898588.0,"931 Albert St, Vaucluse NSW 2972",Vaucluse,0,1,1,Studio,https://www.rent.com.au/property/vaucluse/studio-7,rent.com.au
"From $4,043,845",4043845.0,"241 King St, Vaucluse NSW 2455",Vaucluse,0,1,1,Studio,https://www.realestateview.com.au/property/vaucluse/studio-8,realestateview.com.au
"$4,418,044 ONO",4418044.0,"90 Railway St, Vaucluse NSW 2097",Vaucluse,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/vaucluse/apartment--unit--flat-9,domain.com.au
"Guide $1,634,546",1634546.0,"984 Elizabeth St, Vaucluse NSW 2157",Vaucluse,3,4,3,Penthouse,https://www.realestateview.com.au/property/vaucluse/penthouse-11,realestateview.com.au
"$3,278,065",3278065.0,"660 Albert St, Vaucluse NSW 2354",Vaucluse,0,1,2,Studio,https://www.realestate.com.au/property/vaucluse/studio-12,realestate.com.au
"$3,528,044 - $3,601,048",3528044.0,"648 Pacific Highway, Vaucluse NSW 2866",Vaucluse,5,3,1,Penthouse,https://www.realestate.com.au/property/vaucluse/penthouse-14,realestate.com.au
"$2,591,202 - $2,821,038",2591202.0,"211 Queen St, Vaucluse NSW 2214",Vaucluse,3,3,2,House,https://www.rent.com.au/property/vaucluse/house-15,rent.com.au
"$1,909,340",1909340.0,"525 Church St, Vaucluse NSW 2738",Vaucluse,6,4,1,Penthouse,https://www.realestate.com.au/property/vaucluse/penthouse-17,realestate.com.au
"$2,270,481",2270481.0,"407 Edward St, Vaucluse NSW 2717",Vaucluse,4,3,1,Terrace,https://www.rent.com.au/property/vaucluse/terrace-19,rent.com.au
"$2,908,785 - $3,003,795",2908785.0,"633 Railway St, Vaucluse NSW 2369",Vaucluse,4,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/vaucluse/apartment--unit--flat-20,domain.com.au
"Guide $2,584,235",2584235.0,"717 Main St, Vaucluse NSW 2039",Vaucluse,2,2,1,House,https://www.realestate.com.au/property/vaucluse/house-21,realestate.com.au
"$5,103,772 - $5,236,692",5103772.0,"978 George St, Vaucluse NSW 2243",Vaucluse,3,1,1,Terrace,https://www.rent.com.au/property/vaucluse/terrace-22,rent.com.au
"$2,954,387 ONO",2954387.0,"720 Beach Rd, Vaucluse NSW 2903",Vaucluse,4,4,1,House,https://www.realestateview.com.au/property/vaucluse/house-24,realestateview.com.au
