price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,736,265",1736265.0,"46 Elizabeth St, Wahroonga NSW 2083",Wahroonga,0,1,2,Studio,https://www.domain.com.au/property/wahroonga/studio-0,domain.com.au
"$1,530,486 - $1,605,056",1530486.0,"948 High St, Wahroonga NSW 2458",Wahroonga,4,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/wahroonga/apartment--unit--flat-1,rent.com.au
"$1,614,442 ONO",1614442.0,"556 Elizabeth St, Wahroonga NSW 2613",Wahroonga,3,3,2,House,https://www.realestate.com.au/property/wahroonga/house-2,realestate.com.au
"Guide $1,880,540",1880540.0,"850 Park Ave, Wahroonga NSW 2084",Wahroonga,2,3,2,House,https://www.rent.com.au/property/wahroonga/house-3,rent.com.au
"From $1,438,127",1438127.0,"546 Market St, Wahroonga NSW 2876",Wahroonga,1,1,1,House,https://www.rent.com.au/property/wahroonga/house-4,rent.com.au
"$1,972,562",1972562.0,"906 King St, Wahroonga NSW 2893",Wahroonga,3,2,2,Townhouse,https://www.realestate.com.au/property/wahroonga/townhouse-5,realestate.com.au
"$1,115,995 ONO",1115995.0,"221 The Boulevarde, Wahroonga NSW 2923",Wahroonga,3,4,1,Villa,https://www.realestate.com.au/property/wahroonga/villa-6,realestate.com.au
"Guide $1,928,673",1928673.0,"671 Main St, Wahroonga NSW 2829",Wahroonga,3,1,1,Townhouse,https://www.rent.com.au/property/wahroonga/townhouse-7,rent.com.au
"$829,531",829531.0,"916 Edward St, Wahroonga NSW 2062",Wahroonga,3,1,1,Townhouse,https://www.rent.com.au/property/wahroonga/townhouse-8,rent.com.au
"From $2,251,582",2251582.0,"808 Church St, Wahroonga NSW 2523",Wahroonga,5,4,1,Penthouse,https://www.domain.com.au/property/wahroonga/penthouse-9,domain.com.au
"$2,068,090 - $2,269,276",2068090.0,"317 Church St, Wahroonga NSW 2682",Wahroonga,5,3,0,Villa,https://www.rent.com.au/property/wahroonga/villa-10,rent.com.au
"From $1,667,165",1667165.0,"884 Park Ave, Wahroonga NSW 2080",Wahroonga,1,2,0,House,https://www.domain.com.au/property/wahroonga/house-11,domain.com.au
"$1,356,391 - $1,540,841",1356391.0,"418 George St, Wahroonga NSW 2820",Wahroonga,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/wahroonga/apartment--unit--flat-12,realestate.com.au
"Guide $801,664",801664.0,"958 Victoria St, Wahroonga NSW 2717",Wahroonga,2,1,1,Villa,https://www.realestateview.com.au/property/wahroonga/villa-13,realestateview.com.au
"Guide $573,127",573127.0,"265 Pacific Highway, Wahroonga NSW 2794",Wahroonga,0,1,1,Studio,https://www.realestate.com.au/property/wahroonga/studio-14,realestate.com.au
"$2,090,512 - $2,350,626",2090512.0,"685 Pacific Highway, Wahroonga NSW 2559",Wahroonga,1,2,2,House,https://www.realestate.com.au/property/wahroonga/house-15,realestate.com.au
"Guide $1,457,320",1457320.0,"649 Beach Rd, Wahroonga NSW 2374",Wahroonga,3,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/wahroonga/apartment--unit--flat-16,rent.com.au
"Guide $1,512,540",1512540.0,"122 Park Ave, Wahroonga NSW 2104",Wahroonga,0,1,4,Studio,https://www.realestate.com.au/property/wahroonga/studio-17,realestate.com.au
"Guide $1,748,234",1748234.0,"422 Beach Rd, Wahroonga NSW 2460",Wahroonga,3,4,0,House,https://www.rent.com.au/property/wahroonga/house-18,rent.com.au
"Guide $1,120,242",1120242.0,"652 Victoria St, Wahroonga NSW 2029",Wahroonga,2,3,0,Townhouse,https://www.domain.com.au/property/wahroonga/townhouse-19,domain.com.au
"$1,208,877 ONO",1208877.0,"305 Market St, Wahroonga NSW 2294",Wahroonga,4,1,1,House,https://www.realestateview.com.au/property/wahroonga/house-20,realestateview.com.au
"Guide $1,967,589",1967589.0,"401 James St, Wahroonga NSW 2558",Wahroonga,0,1,0,Studio,https://www.rent.com.au/property/wahroonga/studio-21,rent.com.au
"From $1,020,235",1020235.0,"387 George St, Wahroonga NSW 2286",Wahroonga,0,1,0,Studio,https://www.realestate.com.au/property/wahroonga/studio-22,realestate.com.au
"$1,492,467",1492467.0,"301 King St, Wahroonga NSW 2800",Wahroonga,0,1,0,Studio,https://www.domain.com.au/property/wahroonga/studio-23,domain.com.au
"From $1,471,533",1471533.0,"853 High St, Wahroonga NSW 2052",Wahroonga,3,2,0,Penthouse,https://www.rent.com.au/property/wahroonga/penthouse-24,rent.com.au
