price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $860,400",860400.0,"982 High St, Waitara NSW 2111",Waitara,3,4,0,Penthouse,https://www.realestateview.com.au/property/waitara/penthouse-0,realestateview.com.au
"$1,667,704 - $1,809,735",1667704.0,"796 The Boulevarde, Waitara NSW 2980",Waitara,3,1,1,House,https://www.realestateview.com.au/property/waitara/house-1,realestateview.com.au
"$920,117 - $1,022,241",920117.0,"685 George St, Waitara NSW 2819",Waitara,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/waitara/apartment--unit--flat-2,realestate.com.au
"Guide $985,411",985411.0,"1 Ocean Rd, Waitara NSW 2864",Waitara,3,2,0,Penthouse,https://www.domain.com.au/property/waitara/penthouse-3,domain.com.au
"From $1,250,388",1250388.0,"71 Railway St, Waitara NSW 2286",Waitara,3,3,1,Villa,https://www.rent.com.au/property/waitara/villa-4,rent.com.au
"Guide $704,534",704534.0,"108 High St, Waitara NSW 2323",Waitara,3,3,0,House,https://www.domain.com.au/property/waitara/house-5,domain.com.au
"$580,011 - $845,949",580011.0,"724 High St, Waitara NSW 2610",Waitara,4,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/waitara/apartment--unit--flat-8,domain.com.au
"Guide $2,379,118",2379118.0,"897 George St, Waitara NSW 2625",Waitara,0,1,0,Studio,https://www.realestate.com.au/property/waitara/studio-9,realestate.com.au
"$1,002,985",1002985.0,"537 Main St, Waitara NSW 2874",Waitara,2,2,0,Villa,https://www.rent.com.au/property/waitara/villa-11,rent.com.au
"$874,125 ONO",874125.0,"836 Princes Highway, Waitara NSW 2186",Waitara,0,1,0,Studio,https://www.realestateview.com.au/property/waitara/studio-12,realestateview.com.au
"$534,588 ONO",534588.0,"34 Military Rd, Waitara NSW 2980",Waitara,3,4,1,Villa,https://www.realestateview.com.au/property/waitara/villa-13,realestateview.com.au
"From $1,589,315",1589315.0,"590 Church St, Waitara NSW 2742",Waitara,3,1,3,House,https://www.rent.com.au/property/waitara/house-14,rent.com.au
"$1,849,965",1849965.0,"75 Queen St, Waitara NSW 2651",Waitara,2,1,4,Villa,https://www.rent.com.au/property/waitara/villa-15,rent.com.au
"$1,864,659",1864659.0,"297 The Boulevarde, Waitara NSW 2576",Waitara,5,4,2,House,https://www.rent.com.au/property/waitara/house-18,rent.com.au
"$1,226,172 ONO",1226172.0,"477 Main St, Waitara NSW 2459",Waitara,4,4,2,Townhouse,https://www.domain.com.au/property/waitara/townhouse-19,domain.com.au
"Guide $1,170,335",1170335.0,"514 Market St, Waitara NSW 2775",Waitara,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/waitara/apartment--unit--flat-20,domain.com.au
"Guide $2,195,367",2195367.0,"597 High St, Waitara NSW 2578",Waitara,0,1,1,Studio,https://www.realestate.com.au/property/waitara/studio-21,realestate.com.au
"From $1,430,657",1430657.0,"737 Railway St, Waitara NSW 2837",Waitara,6,4,1,Penthouse,https://www.rent.com.au/property/waitara/penthouse-23,rent.com.au
"$1,556,670",1556670.0,"642 Beach Rd, Waitara NSW 2762",Waitara,2,1,0,Townhouse,https://www.domain.com.au/property/waitara/townhouse-24,domain.com.au
