price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,958,966",1958966.0,"819 High St, Walsh Bay NSW 2068",Walsh Bay,6,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/walsh-bay/apartment--unit--flat-0,domain.com.au
"From $804,704",804704.0,"59 Ocean Rd, Walsh Bay NSW 2924",Walsh Bay,5,4,3,Penthouse,https://www.realestate.com.au/property/walsh-bay/penthouse-1,realestate.com.au
"From $1,642,974",1642974.0,"293 Princes Highway, Walsh Bay NSW 2474",Walsh Bay,0,1,1,Studio,https://www.rent.com.au/property/walsh-bay/studio-2,rent.com.au
"$1,758,045 - $1,824,934",1758045.0,"13 Main St, Walsh Bay NSW 2887",Walsh Bay,1,2,0,House,https://www.domain.com.au/property/walsh-bay/house-3,domain.com.au
"$1,475,483 - $1,619,518",1475483.0,"376 Ocean Rd, Walsh Bay NSW 2924",Walsh Bay,4,3,1,Villa,https://www.rent.com.au/property/walsh-bay/villa-4,rent.com.au
"$1,533,920 - $1,831,132",1533920.0,"849 Railway St, Walsh Bay NSW 2835",Walsh Bay,4,3,0,House,https://www.domain.com.au/property/walsh-bay/house-6,domain.com.au
"Guide $1,974,942",1974942.0,"276 The Boulevarde, Walsh Bay NSW 2031",Walsh Bay,3,3,3,Penthouse,https://www.realestateview.com.au/property/walsh-bay/penthouse-7,realestateview.com.au
"$1,249,248 - $1,319,201",1249248.0,"480 Railway St, Walsh Bay NSW 2405",Walsh Bay,4,1,0,Villa,https://www.realestate.com.au/property/walsh-bay/villa-8,realestate.com.au
"From $2,294,419",2294419.0,"146 Railway St, Walsh Bay NSW 2789",Walsh Bay,2,2,0,House,https://www.realestate.com.au/property/walsh-bay/house-10,realestate.com.au
"$1,938,376",1938376.0,"111 Victoria St, Walsh Bay NSW 2058",Walsh Bay,0,1,1,Studio,https://www.domain.com.au/property/walsh-bay/studio-11,domain.com.au
"$1,106,377",1106377.0,"763 Railway St, Walsh Bay NSW 2707",Walsh Bay,3,4,2,Penthouse,https://www.realestateview.com.au/property/walsh-bay/penthouse-12,realestateview.com.au
"$1,388,443 ONO",1388443.0,"266 George St, Walsh Bay NSW 2110",Walsh Bay,1,1,0,Villa,https://www.domain.com.au/property/walsh-bay/villa-13,domain.com.au
"From $2,279,390",2279390.0,"750 Church St, Walsh Bay NSW 2434",Walsh Bay,2,2,2,House,https://www.domain.com.au/property/walsh-bay/house-14,domain.com.au
"$1,045,200 ONO",1045200.0,"162 Elizabeth St, Walsh Bay NSW 2688",Walsh Bay,4,2,0,Penthouse,https://www.domain.com.au/property/walsh-bay/penthouse-15,domain.com.au
"$851,862 - $946,178",851862.0,"644 Victoria St, Walsh Bay NSW 2733",Walsh Bay,5,1,0,Villa,https://www.rent.com.au/property/walsh-bay/villa-16,rent.com.au
"From $2,199,978",2199978.0,"93 William St, Walsh Bay NSW 2461",Walsh Bay,1,1,1,Villa,https://www.realestate.com.au/property/walsh-bay/villa-17,realestate.com.au
"From $2,492,017",2492017.0,"515 Main St, Walsh Bay NSW 2177",Walsh Bay,4,1,3,Villa,https://www.rent.com.au/property/walsh-bay/villa-18,rent.com.au
"$2,323,638 ONO",2323638.0,"795 Military Rd, Walsh Bay NSW 2152",Walsh Bay,0,1,0,Studio,https://www.realestateview.com.au/property/walsh-bay/studio-19,realestateview.com.au
"From $1,678,008",1678008.0,"412 Church St, Walsh Bay NSW 2191",Walsh Bay,0,1,0,Studio,https://www.domain.com.au/property/walsh-bay/studio-20,domain.com.au
"Guide $1,088,939",1088939.0,"594 The Boulevarde, Walsh Bay NSW 2149",Walsh Bay,3,4,3,Villa,https://www.realestate.com.au/property/walsh-bay/villa-21,realestate.com.au
"Guide $1,151,333",1151333.0,"423 Military Rd, Walsh Bay NSW 2904",Walsh Bay,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/walsh-bay/apartment--unit--flat-22,realestate.com.au
"$921,895",921895.0,"889 William St, Walsh Bay NSW 2596",Walsh Bay,3,4,2,Townhouse,https://www.realestateview.com.au/property/walsh-bay/townhouse-23,realestateview.com.au
"$608,761 ONO",608761.0,"203 Railway St, Walsh Bay NSW 2416",Walsh Bay,3,3,1,House,https://www.realestateview.com.au/property/walsh-bay/house-24,realestateview.com.au
