price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,841,159 ONO",1841159.0,"569 The Boulevarde, Wareemba NSW 2298",Wareemba,3,1,2,Villa,https://www.domain.com.au/property/wareemba/villa-0,domain.com.au
"$782,756 - $1,005,344",782756.0,"47 Main St, Wareemba NSW 2369",Wareemba,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wareemba/apartment--unit--flat-1,realestateview.com.au
"$730,982 ONO",730982.0,"684 Elizabeth St, Wareemba NSW 2603",Wareemba,0,1,3,Studio,https://www.rent.com.au/property/wareemba/studio-2,rent.com.au
"Guide $2,156,474",2156474.0,"676 George St, Wareemba NSW 2397",Wareemba,3,4,2,House,https://www.realestateview.com.au/property/wareemba/house-3,realestateview.com.au
"$761,047",761047.0,"941 Main St, Wareemba NSW 2737",Wareemba,3,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wareemba/apartment--unit--flat-4,realestateview.com.au
"$865,716 - $1,071,602",865716.0,"20 George St, Wareemba NSW 2865",Wareemba,2,2,0,Townhouse,https://www.rent.com.au/property/wareemba/townhouse-5,rent.com.au
"$877,230 ONO",877230.0,"821 Market St, Wareemba NSW 2046",Wareemba,5,3,1,House,https://www.realestateview.com.au/property/wareemba/house-6,realestateview.com.au
"Guide $2,148,241",2148241.0,"658 Ocean Rd, Wareemba NSW 2819",Wareemba,5,3,1,Penthouse,https://www.domain.com.au/property/wareemba/penthouse-7,domain.com.au
"$1,581,191",1581191.0,"610 Pacific Highway, Wareemba NSW 2588",Wareemba,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wareemba/apartment--unit--flat-9,realestateview.com.au
"$1,653,311",1653311.0,"566 Military Rd, Wareemba NSW 2731",Wareemba,2,2,0,House,https://www.domain.com.au/property/wareemba/house-10,domain.com.au
"$2,229,674 - $2,454,106",2229674.0,"791 Victoria St, Wareemba NSW 2310",Wareemba,1,2,1,House,https://www.rent.com.au/property/wareemba/house-11,rent.com.au
"$1,515,632 - $1,793,222",1515632.0,"955 Park Ave, Wareemba NSW 2579",Wareemba,6,3,1,Penthouse,https://www.realestate.com.au/property/wareemba/penthouse-13,realestate.com.au
"Guide $991,119",991119.0,"985 William St, Wareemba NSW 2635",Wareemba,3,1,1,Townhouse,https://www.realestate.com.au/property/wareemba/townhouse-14,realestate.com.au
"From $1,442,155",1442155.0,"462 Queen St, Wareemba NSW 2980",Wareemba,5,2,0,Penthouse,https://www.realestateview.com.au/property/wareemba/penthouse-15,realestateview.com.au
"$2,202,746 - $2,429,699",2202746.0,"536 Victoria St, Wareemba NSW 2899",Wareemba,0,1,0,Studio,https://www.realestate.com.au/property/wareemba/studio-16,realestate.com.au
"Guide $1,073,895",1073895.0,"94 Park Ave, Wareemba NSW 2298",Wareemba,0,1,1,Studio,https://www.realestate.com.au/property/wareemba/studio-17,realestate.com.au
"Guide $1,668,662",1668662.0,"380 Church St, Wareemba NSW 2314",Wareemba,3,3,0,Penthouse,https://www.domain.com.au/property/wareemba/penthouse-18,domain.com.au
"$993,806 ONO",993806.0,"969 The Boulevarde, Wareemba NSW 2384",Wareemba,2,3,0,House,https://www.realestate.com.au/property/wareemba/house-19,realestate.com.au
"$529,908 - $583,150",529908.0,"335 Beach Rd, Wareemba NSW 2658",Wareemba,3,1,2,Townhouse,https://www.rent.com.au/property/wareemba/townhouse-20,rent.com.au
"$694,021 - $800,902",694021.0,"715 Military Rd, Wareemba NSW 2130",Wareemba,5,2,0,House,https://www.domain.com.au/property/wareemba/house-21,domain.com.au
"$1,936,965 - $2,178,788",1936965.0,"867 Albert St, Wareemba NSW 2092",Wareemba,0,1,2,Studio,https://www.realestate.com.au/property/wareemba/studio-22,realestate.com.au
"$2,298,733",2298733.0,"346 The Boulevarde, Wareemba NSW 2718",Wareemba,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/wareemba/apartment--unit--flat-24,domain.com.au
